annotation_version,sample_id,cluster_key,leiden,n_cells,fraction,top_marker_genes,suggested_Tier_A,suggested_Tier_B,annotation_score,annotation_note,final_Tier_A,final_Tier_B,notes
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,18,1413,0.0074027504911591,"CPA3, KIT, IL1RL1, MS4A2, SLC18A2, LAPTM5, GATA2, CTSG",Mast cells,mast cell,5.711572778728793,ambiguous: top_marker_rule_5_hits close to second-best,Mast cells,mast cell,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,19,1337,0.0070045841519318,"TM4SF4, GPX2, APCDD1, CAPN8, MALL, TCIM, CFTR, DUSP1",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,2.2255293992928493,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,2,17836,0.0934433529796987,"FSTL3, CFB, BIRC3, CXCL2, CXCL6, CFTR, NTN4, DSP",pancreatic ductal epithelium,ductal/tumor epithelial,0.7629025088396433,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,ductal/tumor epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,20,814,0.0042645710543549,"TM4SF4, GPX2, APCDD1, DMBT1, ACE2, TCIM, TFF2, CAPN8",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,2.6228722471285804,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,21,456,0.0023889980353634,"TM4SF4, DMBT1, GPX2, TFF2, ACE2, APCDD1, TCIM, CAPN8",pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,2.880504060930443,best marker program: ductal_epithelial_score_z,pancreatic ductal epithelium,intestinal-like/PanIN-like ductal epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,3,17737,0.0929246889325474,"MS4A6A, LAPTM5, CXCR4, C1orf162, PTPRC, ASAH1, AIF1, CD163",Myeloid cells,myeloid/macrophage,2.4,best marker program: top_marker_rule_2_hits,Myeloid cells,myeloid/macrophage,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,4,16557,0.0867426326129666,"ANPEP, GATM, CFB, SERPINB1, NTN4, CXCL2, NOP53, GSTA1",pancreatic acinar epithelium,acinar epithelial,1.0198794805994331,best marker program: acinar_epithelial_score_z,pancreatic acinar epithelium,acinar epithelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,5,13613,0.0713189259986902,"ALOX5AP, CLEC4E, CXCR4, LAPTM5, IL1R2, MNDA, MCEMP1, AQP9",Unknown,Unknown,-0.236680449539006,weak best score: islet_endocrine_score_z,Unknown,Unknown,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,6,13533,0.0708998035363457,"VCAN, CTHRC1, FBN1, COL5A2, SFRP2, THBS2, FSTL1, ACTA2",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_3_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,7,12602,0.066022265880812,"LAPTM5, MS4A6A, CTHRC1, VCAN, SFRP2, CXCR4, FBN1, C1orf162",Fibroblasts,activated fibroblast/stellate,2.0,best marker program: top_marker_rule_2_hits,Fibroblasts,activated fibroblast/stellate,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,8,12110,0.0634446627373935,"PECAM1, EPAS1, CD93, CD34, VWF, ADGRL4, CLEC14A, APOLD1",Endothelial cells,endothelial,2.7964679326502546,ambiguous: top_marker_rule_4_hits close to second-best,Endothelial cells,endothelial,
cluster_full_panel_v9_xenium_graphclust_io_mucosa_submucosa_k24,pdac_addon_v1,xenium_graphclust,9,12020,0.062973149967256,"IL7R, CCL5, PTPRC, TRAC, CXCR4, CD8A, CD3E, CD2",T cells,Tregs,2.4173536836956218,ambiguous: top_marker_rule_6_hits close to second-best,T cells,Tregs,
