cell_id,epithelial_refinement_cluster,original_Tier_A,original_Tier_B,refined_Tier_A,refined_Tier_B
aeohdmom-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeohgmbm-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeohlock-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeoiegoc-1,9,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeoikbeh-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeojalfo-1,17,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeojkkha-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeojpdhh-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeokaepn-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeolnbdn-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aeolncih-1,17,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
afmoahel-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agajmoja-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agamjaei-1,5,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agamjleh-1,17,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aganknpo-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
aganoiki-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agapemfo-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agapfcnj-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agaphnkk-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agapidhc-1,5,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agapkgkk-1,7,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbadpal-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbaempe-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbbddmi-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbbgico-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbcfpfb-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbchimd-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbdcgaa-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbdellk-1,10,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbdgaga-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbdgcho-1,6,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbdnaij-1,17,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbebonb-1,10,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbefhkp-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbehimc-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbehmdb-1,17,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbffabp-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbfmabk-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbfnecf-1,10,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbgbcke-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbgckho-1,10,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbggoil-1,5,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbhcjgf-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbhfkll-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbhngng-1,5,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbiakdc-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbimclj-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbindaf-1,5,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbjmmin-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbkagdd-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbkbabk-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbncbjf-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbndopp-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbnklhg-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbnlohk-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbobmfj-1,10,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbofpnn-1,5,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbogaco-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agboggoo-1,3,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbokief-1,17,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbokpjj-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbopkdo-1,8,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbpbphn-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbpcnpo-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbpfbbm-1,15,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbphklj-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbpkbnl-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbpmdbo-1,1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agbppfif-1,3,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcaejhb-1,3,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcafolf-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcalfcl-1,10,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcandem-1,13,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcanhfp-1,9,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcbdpjc-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcbiebl-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcbmjnk-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agccbfpl-1,4,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agccdlfa-1,8,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcdfidc-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcehaij-1,8,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcepdah-1,13,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agcgildi-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
agiadoef-1,4,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahfchndi-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjhaplb-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjicgfh-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjidbkh-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjjlaja-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjjlgin-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjkbdhk-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjldfae-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjleddh-1,5,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjmbibj-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjmcljj-1,14,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjnfpef-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjnhail-1,16,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjobiab-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjofcmk-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjofmkg-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjojhbb-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahjppjbl-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkaebkl-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkaocki-1,18,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkbgfon-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkbiema-1,0,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkbiolo-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkbkcfa-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkbpogo-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkcjldj-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkcmnmi-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkdclpn-1,12,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
ahkddaed-1,11,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,pancreatic ductal epithelium,proliferative ductal/tumor epithelial
