,sample_id,Tier_A,Tier_B,leiden_annotation,x_centroid,y_centroid,epi_kmeans_6,epi_kmeans_8,epi_kmeans_10,epi_kmeans_12,epi_kmeans_14
mceconpb-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9032.7783203125,3652.2275390625,5,2,2,7,7
mcedinpb-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9035.40234375,3585.795166015625,5,2,2,2,2
mceeinbc-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9033.1875,3419.573974609375,0,7,8,8,8
mcefkffj-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9042.3359375,3425.182861328125,5,2,2,2,2
mcegegop-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9045.736328125,3418.49462890625,5,2,2,2,2
mceghmbb-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9051.6376953125,3413.24169921875,5,7,8,8,12
mcegnemo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9063.0546875,3420.03662109375,0,0,0,0,0
mcehebkm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9058.2783203125,3485.325927734375,5,2,2,2,2
mcehfogd-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9035.2861328125,3484.537841796875,5,2,2,2,2
mceiknlh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9043.7060546875,3461.786865234375,2,7,8,7,7
mceklpmd-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9048.876953125,3335.537841796875,5,2,2,2,2
mceldnhb-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9031.970703125,3373.19287109375,3,5,9,9,9
mcelgbmc-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9023.087890625,3410.431396484375,0,0,0,5,5
mcelgjbo-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9045.79296875,3385.823486328125,5,2,2,2,2
mcelmlcg-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9042.306640625,3355.5869140625,5,2,2,2,2
mcemened-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9057.232421875,3361.084228515625,5,2,2,2,2
mcencpbf-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9067.62109375,3403.84716796875,3,5,9,9,9
mceodbne-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9059.189453125,3403.913818359375,2,7,7,11,11
mceojnkm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9066.23828125,3378.432373046875,0,0,8,8,8
mceooeef-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9066.65234375,3392.272705078125,0,7,8,7,7
mceopcak-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9069.9326171875,3340.13232421875,2,7,8,7,11
mcepikfg-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9026.0546875,3323.76513671875,0,0,8,8,8
mcfajmkk-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9037.3232421875,3329.994384765625,2,7,8,8,8
mcffcpea-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9059.5166015625,3191.979248046875,0,0,0,0,0
mcfffeah-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9059.154296875,3236.04833984375,0,0,0,0,0
mcffljag-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9068.6171875,3228.06396484375,0,0,0,0,0
mcfhejkb-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9042.966796875,3234.22509765625,2,7,8,7,7
mcfiekhh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9026.849609375,3247.5576171875,0,0,0,0,0
mcfihfcc-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,12,9031.486328125,3194.0087890625,5,2,2,2,2
mcfiobkh-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9050.87109375,3214.269775390625,2,5,5,5,5
mcfiohjm-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9052.9541015625,3203.402099609375,0,7,8,8,8
mcfjakgc-1,pdac_io_v1,pancreatic ductal epithelium,proliferative ductal/tumor epithelial,0,9037.2919921875,3206.691162109375,2,5,5,5,5
