cell_id,dapi_n_pixels,dapi_area_um2,dapi_total_intensity,dapi_mean,dapi_std,dapi_min,dapi_p10,dapi_p50,dapi_p90,dapi_max,dapi_iqr,dapi_nonzero_fraction,dapi_intensity_centroid_x,dapi_intensity_centroid_y,dapi_centroid_shift_um,dapi_polarity_score,dapi_inertia,dapi_entropy,dapi_lacunarity,xenium_dapi_image_kind,xenium_dapi_image_path,xenium_pixel_size_um
lcilhjeh-1,116,5.238124999999999,145355.0,1253.0603448275863,196.81276279723605,864.0,976.5,1269.5,1529.5,1610.0,309.5,1.0,3204.2181134979874,260.9941183653813,0.4904008900157885,0.1898926964171699,2823007.053228303,4.066773793295849,0.19439771470170092,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
ldmaccpa-1,721,32.557656249999994,702899.0,974.8945908460472,180.7949390075426,518.0,689.0,1002.0,1196.0,1355.0,247.0,1.0,2941.5610476576294,624.4769798897139,0.9030898569434408,0.1402650072378309,91731274.67835066,5.012493485882501,0.6304404102454599,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
leolmmel-1,223,10.069843749999999,271625.0,1218.0493273542602,219.70984185322894,722.0,939.2,1215.0,1498.4,1785.0,313.0,1.0,2935.3674423377815,205.14777459733088,0.4761781090457775,0.13298510509243483,9863117.710512657,4.862602261047115,0.23314138892386374,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
lfkdbdfc-1,640,28.9,1097510.0,1714.859375,304.3347133085698,956.0,1286.8,1744.5,2083.2,2469.0,448.5,1.0,3259.164008949804,360.8465503047808,0.5606418705789804,0.09242331647470851,108265000.90847918,6.327183633179518,0.24999354265265972,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
lgkphlgn-1,563,25.422968749999995,1689641.0,3001.138543516874,495.1874238238806,1515.0,2355.2,3032.0,3592.8,4315.0,665.0,1.0,2696.655663473779,198.72313413766594,0.7042241494917126,0.12377778958708276,151978292.47029516,6.181750985032059,0.24963982843421903,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
lipjonhp-1,267,12.056718749999998,325128.0,1217.7078651685392,180.56008589881392,835.0,945.8,1220.0,1436.4,1595.0,274.0,1.0,2992.2189313132058,326.64735131240616,0.2287255939627025,0.05837745257192574,13512619.89104291,4.723763906802915,0.31788495952827955,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
llaamlbk-1,553,24.971406249999998,790217.0,1428.9638336347198,205.40122284153256,940.0,1149.2,1423.0,1698.6,2031.0,242.0,1.0,6500.771223300056,517.9310118929358,0.6779621332081333,0.12023443811863445,68457577.51088625,5.986601852837005,0.22375000843677428,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
lpaoccmm-1,267,12.056718749999998,246956.0,924.9288389513108,268.06247278969806,637.0,747.0,824.0,1449.6000000000001,1807.0,130.0,1.0,6083.621213444905,121.08058388943779,0.2212074478684382,0.05645860208631594,11236403.7482588,4.927588892410102,0.20970437085257834,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
madecokl-1,538,24.2940625,1318013.0,2449.8382899628255,357.53106535998734,1347.0,2016.5,2441.0,2907.5,3537.0,495.5,1.0,6242.517783976713,503.71233357523784,0.22296428352039194,0.04008945643516101,114566143.25190875,5.89612832959317,0.26185912646267634,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
mbgpbkeb-1,394,17.791562499999998,689160.0,1749.1370558375634,461.1410494741426,830.0,1132.8,1792.5,2324.1,2706.0,817.75,1.0,5902.697094216147,241.67603939941375,0.41614196706182544,0.08743381152041212,77335982.4101094,4.854035400850641,0.5224647186135843,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
mbieacom-1,612,27.635624999999997,1557603.0,2545.1029411764707,455.5752208875877,1380.0,1963.5,2512.0,3123.3999999999996,3953.0,563.5,1.0,5881.850266097972,173.50044643917607,0.6940677271423051,0.1170070813135562,145689115.4370414,6.155417088414557,0.2951057650719814,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
mdbinbgi-1,723,32.64796875,934700.0,1292.807745504841,155.8368932957405,728.0,1114.2,1300.0,1468.0,1732.0,166.0,1.0,6018.1627119797795,696.5386790280304,0.4555135310753178,0.07065097179845338,104742105.05003744,6.080260203847857,0.235649330931158,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
mdloahmh-1,346,15.624062499999999,855699.0,2473.1184971098264,604.2780868024662,1218.0,1537.0,2580.5,3223.5,3647.0,848.0,1.0,5835.951684164058,529.0856682080965,0.5463923010596403,0.1225046371201118,44732845.48922694,5.310270458128477,0.3496268224854461,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
mhkpanac-1,554,25.016562499999996,1423308.0,2569.148014440433,457.14125399723645,1196.0,1982.0,2592.5,3136.2,3577.0,582.0,1.0,3061.501978226076,1428.995104748937,0.39344349928413436,0.06971295594874764,124565266.978883,6.04802578636038,0.2668295859336351,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
mhldafnn-1,576,26.009999999999998,1301234.0,2259.0868055555557,410.7293133606176,1186.0,1717.5,2254.0,2825.0,3218.0,593.5,1.0,3044.638736374472,1436.1158200984603,0.312100267706965,0.05423365895743652,122579730.95477754,6.142329177846088,0.28677563602184497,mip,/Volumes/Shihong_5/for_spatioev/pancreas_Xenium_example_data_from_10X/Xenium_V1_hPancreas_nondiseased_section_outs/morphology_mip.ome.tif,0.2125
