phenotype,n_cells,n_with_fiber,median_distance_px,mean_distance_px,imageid,pathology,fiber_type,median_distance_um,mean_distance_um
B cells,3256,3198,44.502738090540404,50.52531442715988,JRP122,RA,COL6A1,14.463389879425632,16.420727188826962
CD4 T cells,3216,3191,41.196080233495756,45.04402090164289,JRP122,RA,COL6A1,13.38872607588612,14.639306793033938
CD8 T cells,1424,1418,38.703340453378786,42.8052750912743,JRP122,RA,COL6A1,12.578585647348106,13.911714404664147
Dendritic cells,953,876,40.65193464829692,47.47052828400903,JRP122,RA,COL6A1,13.2118787606965,15.427921692302935
MERTK+ Macrophages,451,441,41.56767346499522,50.486368112965465,JRP122,RA,COL6A1,13.509493876123447,16.408069636713776
Macrophages,4757,4676,41.500783952809385,47.598709170678696,JRP122,RA,COL6A1,13.48775478466305,15.469580480470576
Monocytes,10119,10086,36.50229703125667,40.82069526415127,JRP122,RA,COL6A1,11.863246535158417,13.266725960849163
Neutrophils,384,360,40.87180368338451,45.20620661498241,JRP122,RA,COL6A1,13.283336197099967,14.692017149869285
Plasma cells,5695,5686,37.01137402329775,41.103982685534476,JRP122,RA,COL6A1,12.028696557571768,13.358794372798705
T cells,302,271,39.127986513039524,48.026942219785596,JRP122,RA,COL6A1,12.716595616737846,15.608756221430319
Vascular cells,4936,4935,41.65366527027718,44.489636892092804,JRP122,RA,COL6A1,13.537441212840085,14.459131989930162
B cells,3256,2058,93.08947801285964,92.30247713032188,JRP122,RA,COL4A1,30.254080354179386,29.99830506735461
CD4 T cells,3216,2165,87.99305594113659,88.78781639964329,JRP122,RA,COL4A1,28.597743180869394,28.85604032988407
CD8 T cells,1424,861,85.86092185319848,86.29427677008984,JRP122,RA,COL4A1,27.904799602289504,28.0456399502792
Dendritic cells,953,419,79.85732392939023,83.10925036377725,JRP122,RA,COL4A1,25.953630277051825,27.010506368227606
MERTK+ Macrophages,451,28,125.32286422762446,124.67101626256246,JRP122,RA,COL4A1,40.72993087397795,40.5180802853328
Macrophages,4757,915,113.83118452241499,109.4030175539156,JRP122,RA,COL4A1,36.99513496978487,35.55598070502257
Monocytes,10119,4780,93.23335220496364,91.90277924229514,JRP122,RA,COL4A1,30.300839466613184,29.86840325374592
Neutrophils,384,184,76.5940197353467,75.98564521314411,JRP122,RA,COL4A1,24.89305641398768,24.695334694271835
Plasma cells,5695,3373,93.52514891109574,93.1813849555746,JRP122,RA,COL4A1,30.395673396106115,30.283950110561747
T cells,302,38,88.31435473491275,83.13232214082484,JRP122,RA,COL4A1,28.702165288846647,27.018004695768074
Vascular cells,4936,4600,34.64393035612673,44.10232987689548,JRP122,RA,COL4A1,11.259277365741188,14.333257209991032
B cells,3256,3239,37.62031170616828,42.70294760137065,JRP122,RA,CHP,12.226601304504692,13.878457970445462
CD4 T cells,3216,3173,40.662028058045514,45.818696502473315,JRP122,RA,CHP,13.215159118864793,14.891076363303828
CD8 T cells,1424,1400,46.29492746551681,52.0896196368851,JRP122,RA,CHP,15.045851426292963,16.929126381987658
Dendritic cells,953,893,49.928044174366036,54.66672211058985,JRP122,RA,CHP,16.22661435666896,17.7666846859417
MERTK+ Macrophages,451,377,88.60038681821972,86.32239135754583,JRP122,RA,CHP,28.795125715921408,28.054777191202394
Macrophages,4757,4284,65.42339393525589,70.18146305977156,JRP122,RA,CHP,21.262603028958164,22.80897549442576
Monocytes,10119,9691,53.46552180846069,59.46071967317832,JRP122,RA,CHP,17.376294587749726,19.324733893782955
Neutrophils,384,346,55.19311241577142,62.71175754218534,JRP122,RA,CHP,17.937761535125713,20.381321201210234
Plasma cells,5695,5637,39.711933921122274,46.1246310642259,JRP122,RA,CHP,12.90637852436474,14.990505095873418
T cells,302,294,68.07365359131379,72.2502018795788,JRP122,RA,CHP,22.123937417176982,23.48131561086311
Vascular cells,4936,4859,54.320811796940895,59.23827226270916,JRP122,RA,CHP,17.654263834005793,19.252438485380477
B cells,3256,2911,46.252864386605374,53.667009446840865,JRP122,RA,FN,15.032180925646747,17.441778070223283
CD4 T cells,3216,2930,44.06932910557735,53.727552759375385,JRP122,RA,FN,14.32253195931264,17.461454646797
CD8 T cells,1424,1313,41.51178973915152,49.26939357256144,JRP122,RA,FN,13.491331665224244,16.01255291108247
Dendritic cells,953,846,46.26810584667403,53.36981772899112,JRP122,RA,FN,15.03713440016906,17.345190761922115
MERTK+ Macrophages,451,406,44.99483756762502,54.3736039723851,JRP122,RA,FN,14.623322209478133,17.67142129102516
Macrophages,4757,4547,40.13651296207322,47.2330019585552,JRP122,RA,FN,13.044366712673797,15.35072563653044
Monocytes,10119,9894,36.74335020094591,42.299620613434506,JRP122,RA,FN,11.941588815307421,13.747376699366216
Neutrophils,384,353,41.3328183333523,46.2142093523495,JRP122,RA,FN,13.433165958339497,15.019618039513588
Plasma cells,5695,5279,44.75778715036887,53.55979782234896,JRP122,RA,FN,14.546280823869884,17.406934292263415
T cells,302,282,43.62765675747321,52.95400317427516,JRP122,RA,FN,14.178988446178794,17.210051031639427
Vascular cells,4936,4784,44.80826926959446,49.652740456067804,JRP122,RA,FN,14.5626875126182,16.137140648222037
B cells,3256,2129,69.36628116618876,73.67564100251546,JRP122,RA,COL1A1bis,22.544041379011347,23.944583325817526
CD4 T cells,3216,2112,61.21284084629407,67.13037369555482,JRP122,RA,COL1A1bis,19.894173275045574,21.81737145105532
CD8 T cells,1424,900,57.63875615527782,65.48259573674333,JRP122,RA,COL1A1bis,18.73259575046529,21.281843614441584
Dendritic cells,953,458,66.68795029965764,73.52303233459395,JRP122,RA,COL1A1bis,21.673583847388734,23.894985508743034
MERTK+ Macrophages,451,113,115.50452873114422,108.4682835557173,JRP122,RA,COL1A1bis,37.53897183762187,35.25219215560813
Macrophages,4757,1604,99.67344038428195,96.73400897986333,JRP122,RA,COL1A1bis,32.39386812489163,31.438552918455585
Monocytes,10119,6382,65.71686457837464,71.79293510609625,JRP122,RA,COL1A1bis,21.357980987971757,23.332703909481282
Neutrophils,384,172,48.72092390561218,61.32112484915686,JRP122,RA,COL1A1bis,15.83430026932396,19.92936557597598
Plasma cells,5695,3952,55.21902907808668,62.93059979223443,JRP122,RA,COL1A1bis,17.94618445037817,20.45244493247619
T cells,302,63,74.11069843706083,81.40318446730876,JRP122,RA,COL1A1bis,24.08597699204477,26.45603495187535
Vascular cells,4936,3526,36.809231817496254,45.88005396815903,JRP122,RA,COL1A1bis,11.963000340686284,14.911017539651686
B cells,3256,2953,65.44068291213627,69.83746104484905,JRP122,RA,MFAP5,21.26822194644429,22.697174839575943
CD4 T cells,3216,3006,63.82674958351775,68.24197719183746,JRP122,RA,MFAP5,20.74369361464327,22.178642587347177
CD8 T cells,1424,1393,51.88806105650454,56.315345675472216,JRP122,RA,MFAP5,16.863619843363978,18.30248734452847
Dendritic cells,953,905,54.864698014363924,59.029248597031156,JRP122,RA,MFAP5,17.831026854668277,19.184505794035125
MERTK+ Macrophages,451,427,64.7794614111514,68.11016473942738,JRP122,RA,MFAP5,21.053324958624206,22.135803540313898
Macrophages,4757,4630,46.9398840281016,53.01164384338655,JRP122,RA,MFAP5,15.255462309133021,17.22878424910063
