radius,K,L,L_minus_r,radius_um,imageid,pathology,phenotype,fiber_type,cell_fiber_pair
123.07692307692307,334877.41259788675,326.48857727270587,203.4116541957828,40.0,JRP141,RA,Monocytes,COL6A1,Monocytes vs COL6A1
153.84615384615384,517148.0700775302,405.7256996131076,251.87954576695378,50.0,JRP141,RA,Monocytes,COL6A1,Monocytes vs COL6A1
30.769230769230766,16277.9027566669,71.98206286142023,41.212832092189466,10.0,JRP141,RA,Macrophages,COL6A1,Macrophages vs COL6A1
61.53846153846153,64646.88122890703,143.44943850050592,81.91097696204439,20.0,JRP141,RA,Macrophages,COL6A1,Macrophages vs COL6A1
92.3076923076923,141517.63931912277,212.24152200893374,119.93382970124144,30.0,JRP141,RA,Macrophages,COL6A1,Macrophages vs COL6A1
123.07692307692307,246766.57867684585,280.2645920778974,157.18766900097435,40.0,JRP141,RA,Macrophages,COL6A1,Macrophages vs COL6A1
153.84615384615384,378178.8168616855,346.95540945828145,193.1092556121276,50.0,JRP141,RA,Macrophages,COL6A1,Macrophages vs COL6A1
30.769230769230766,15897.963424370912,71.13704329085917,40.3678125216284,10.0,JRP141,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
61.53846153846153,62318.95587534887,140.84296131427715,79.30449977581561,20.0,JRP141,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
92.3076923076923,136743.7004132921,208.6309462062265,116.32325389853419,30.0,JRP141,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
123.07692307692307,238893.75063960862,275.75757936294826,152.6806562860252,40.0,JRP141,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
153.84615384615384,367947.0267108364,342.2297126112672,188.38355876511335,50.0,JRP141,RA,MERTK+ Macrophages,COL6A1,MERTK+ Macrophages vs COL6A1
30.769230769230766,15621.001517823408,70.51467375812776,39.74544298889699,10.0,JRP141,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
61.53846153846153,62500.73905568316,141.04822981951,79.50976828104847,20.0,JRP141,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
92.3076923076923,139592.64049903426,210.7930679821858,118.48537567449348,30.0,JRP141,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
123.07692307692307,245833.4007489422,279.7341627555884,156.65723967866532,40.0,JRP141,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
153.84615384615384,380689.08548534114,348.10501213319276,194.25885828703892,50.0,JRP141,RA,Dendritic cells,COL6A1,Dendritic cells vs COL6A1
30.769230769230766,17648.48953094665,74.9512421105311,44.18201134130033,10.0,JRP141,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
61.53846153846153,73287.67494693109,152.73569154271794,91.19723000425641,20.0,JRP141,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
92.3076923076923,164507.3885640872,228.8325329367029,136.5248406290106,30.0,JRP141,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
123.07692307692307,293140.9222311975,305.4662887966918,182.38936571976873,40.0,JRP141,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
153.84615384615384,457332.98459729407,381.54109906438384,227.69494521823,50.0,JRP141,RA,CD4 T cells,COL6A1,CD4 T cells vs COL6A1
30.769230769230766,17585.178923038384,74.81668464663443,44.04745387740366,10.0,JRP141,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
61.53846153846153,70831.19279108169,150.15415051070465,88.61568897224312,20.0,JRP141,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
92.3076923076923,158217.1126184628,224.41495295525849,132.1072606475662,30.0,JRP141,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
123.07692307692307,280138.919916243,298.6151163524535,175.53819327553046,40.0,JRP141,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
153.84615384615384,437375.0783368495,373.1230512914327,219.27689744527888,50.0,JRP141,RA,CD8 T cells,COL6A1,CD8 T cells vs COL6A1
30.769230769230766,12730.13433330905,63.65632420066344,32.887093431432675,10.0,JRP141,RA,B cells,COL6A1,B cells vs COL6A1
61.53846153846153,51838.603980149164,128.45520671754758,66.91674517908605,20.0,JRP141,RA,B cells,COL6A1,B cells vs COL6A1
92.3076923076923,118465.6828013358,194.18753309411562,101.87984078642332,30.0,JRP141,RA,B cells,COL6A1,B cells vs COL6A1
123.07692307692307,212734.1695203414,260.22180786287515,137.1448847859521,40.0,JRP141,RA,B cells,COL6A1,B cells vs COL6A1
153.84615384615384,336889.52650923334,327.4679630737413,173.62180922758748,50.0,JRP141,RA,B cells,COL6A1,B cells vs COL6A1
30.769230769230766,23173.93504405755,85.88651015325118,55.117279384020414,10.0,JRP141,RA,Monocytes,CHP,Monocytes vs CHP
61.53846153846153,89768.07222582436,169.0386489922954,107.50018745383387,20.0,JRP141,RA,Monocytes,CHP,Monocytes vs CHP
92.3076923076923,195100.2045626443,249.2033786062492,156.89568629855688,30.0,JRP141,RA,Monocytes,CHP,Monocytes vs CHP
123.07692307692307,337555.9912058077,327.79171609633045,204.71479301940738,40.0,JRP141,RA,Monocytes,CHP,Monocytes vs CHP
153.84615384615384,515269.55927142914,404.9881415123912,251.14198766623738,50.0,JRP141,RA,Monocytes,CHP,Monocytes vs CHP
