COL6A1_region,fiber_type,feature,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
COL6A1-poor,COL4A1,eccentricity,3,3,0.046127413317867016,0.046252080544943175,-0.0001246672270761584,1.0
COL6A1-poor,COL1A1bis,eccentricity,3,3,0.03315174153715502,0.03561324630231521,-0.0024615047651601885,0.7
COL6A1-poor,CHP,area,3,3,-0.01100526484523679,-0.007674002797476616,-0.003331262047760173,0.7
COL6A1-poor,CHP,major_axis_length,3,3,-0.010875757883742655,-0.004298665717370097,-0.006577092166372559,1.0
COL6A1-rich,CHP,major_axis_length,3,3,-0.042196106807605875,-0.035243230474272004,-0.006952876333333871,1.0
COL6A1-poor,FN,eccentricity,3,3,0.028031230394863365,0.035602934244375405,-0.00757170384951204,0.7
COL6A1-rich,FN,major_axis_length,3,3,-0.009340453171858824,-0.001368542009292822,-0.007971911162566002,0.7
COL6A1-rich,FN,area,3,3,-0.00037540491794588643,0.007614913191867243,-0.007990318109813129,0.7
COL6A1-rich,COL6A1,major_axis_length,3,3,-0.018569194222752234,-0.009875861614401339,-0.008693332608350895,1.0
COL6A1-rich,FN,minor_axis_length,3,3,-0.006977453279443587,0.0023916496905351573,-0.009369102969978744,1.0
COL6A1-poor,COL4A1,alignment_score,3,3,0.29509921361681624,0.30588233268693754,-0.010783119070121305,0.7
COL6A1-poor,MFAP5,eccentricity,3,3,0.01874071153466456,0.029632786174789077,-0.010892074640124517,0.7
COL6A1-rich,MFAP5,eccentricity,2,3,-0.023166964866328677,-0.007890173528199873,-0.015276791338128804,0.8
COL6A1-poor,FN,major_axis_length,3,3,-0.003834947025902646,0.014110068731076042,-0.017945015756978686,0.4
COL6A1-rich,COL6A1,area,3,3,-0.021052321324788847,-0.0017045160363004718,-0.019347805288488375,0.7
COL6A1-poor,FN,minor_axis_length,3,3,0.007414671198057094,0.029109914500404333,-0.02169524330234724,0.7
COL6A1-poor,FN,area,3,3,0.0017576047163284099,0.02690465160994988,-0.02514704689362147,0.7
COL6A1-rich,CHP,minor_axis_length,3,3,-0.06370183149960155,-0.03247942924376057,-0.031222402255840984,0.4
COL6A1-rich,CHP,eccentricity,3,3,-0.04833863574997906,-0.01574263385375256,-0.0325960018962265,1.0
COL6A1-rich,COL6A1,minor_axis_length,3,3,-0.031194642001123537,0.0049547236361859965,-0.036149365637309534,0.1
COL6A1-rich,CHP,area,3,3,-0.05559278030856523,-0.018484243943294076,-0.03710853636527116,0.4
COL6A1-rich,COL1A1bis,minor_axis_length,3,3,-0.018470203128024613,0.038031598195790224,-0.05650180132381484,0.4
COL6A1-rich,COL4A1,major_axis_length,2,3,-0.1690927038400778,-0.11236062825676274,-0.056732075583315056,1.0
COL6A1-rich,COL1A1bis,eccentricity,3,3,-0.012633127155383506,0.05417502825761167,-0.06680815541299517,0.2
COL6A1-rich,COL4A1,area,2,3,-0.19758425506730415,-0.11777919326073909,-0.07980506180656506,1.0
COL6A1-rich,COL4A1,alignment_score,2,2,-0.23523940528304008,-0.15250684159479072,-0.08273256368824936,1.0
COL6A1-rich,COL4A1,minor_axis_length,2,3,-0.2210055740736104,-0.1309455158518829,-0.0900600582217275,1.0
COL6A1-rich,FN,alignment_score,3,3,0.2124217524597568,0.3215732620706095,-0.10915150961085268,1.0
COL6A1-rich,CHP,alignment_score,3,3,0.017398789136000795,0.26246434426212617,-0.24506555512612538,0.1
