imageid,pathology,COL6A1_region,fiber_type,feature,morans_i
JRP144,OA,COL6A1-rich,COL6A1,minor_axis_length,0.007520513668690595
JRP144,OA,COL6A1-rich,COL6A1,eccentricity,-0.004539673597120601
JRP144,OA,COL6A1-rich,COL4A1,alignment_score,-0.19999999999999998
JRP144,OA,COL6A1-rich,COL4A1,area,-0.14285714285714288
JRP144,OA,COL6A1-rich,COL4A1,major_axis_length,-0.1428571428571429
JRP144,OA,COL6A1-rich,COL4A1,minor_axis_length,-0.14285714285714288
JRP144,OA,COL6A1-rich,COL4A1,eccentricity,-0.1428571428571428
JRP144,OA,COL6A1-rich,CHP,alignment_score,0.4032585504406432
JRP144,OA,COL6A1-rich,CHP,area,-0.05393005588650101
JRP144,OA,COL6A1-rich,CHP,major_axis_length,-0.07106708902570678
JRP144,OA,COL6A1-rich,CHP,minor_axis_length,-0.05251760531745618
JRP144,OA,COL6A1-rich,CHP,eccentricity,-0.0015626036644426024
JRP144,OA,COL6A1-rich,FN,alignment_score,0.23220941625455294
JRP144,OA,COL6A1-rich,FN,area,0.011877482388210847
JRP144,OA,COL6A1-rich,FN,major_axis_length,-0.001609701494163882
JRP144,OA,COL6A1-rich,FN,minor_axis_length,0.007837043568834296
JRP144,OA,COL6A1-rich,FN,eccentricity,0.060611531573979374
JRP144,OA,COL6A1-rich,COL1A1bis,alignment_score,0.043642414938780696
JRP144,OA,COL6A1-rich,COL1A1bis,area,-0.019366312818099408
JRP144,OA,COL6A1-rich,COL1A1bis,major_axis_length,-0.06982432074543835
JRP144,OA,COL6A1-rich,COL1A1bis,minor_axis_length,-0.00501302296090435
JRP144,OA,COL6A1-rich,COL1A1bis,eccentricity,0.046748153942630224
JRP144,OA,COL6A1-rich,MFAP5,alignment_score,0.10245876137433155
JRP144,OA,COL6A1-rich,MFAP5,area,-0.029512133396849414
JRP144,OA,COL6A1-rich,MFAP5,major_axis_length,-0.031331618959887536
JRP144,OA,COL6A1-rich,MFAP5,minor_axis_length,0.0007239857988758051
JRP144,OA,COL6A1-rich,MFAP5,eccentricity,-0.009049032955698052
JRP144,OA,COL6A1-poor,COL6A1,alignment_score,0.3311304956033018
JRP144,OA,COL6A1-poor,COL6A1,area,-0.007385399900282854
JRP144,OA,COL6A1-poor,COL6A1,major_axis_length,-0.003407442833361074
JRP144,OA,COL6A1-poor,COL6A1,minor_axis_length,0.0032664949584849134
JRP144,OA,COL6A1-poor,COL6A1,eccentricity,0.032262351446987914
JRP144,OA,COL6A1-poor,COL4A1,alignment_score,0.23429224689960293
JRP144,OA,COL6A1-poor,COL4A1,area,0.028796808113111645
JRP144,OA,COL6A1-poor,COL4A1,major_axis_length,0.010244925983156287
JRP144,OA,COL6A1-poor,COL4A1,minor_axis_length,0.03863721774565998
JRP144,OA,COL6A1-poor,COL4A1,eccentricity,0.027952563253449574
JRP144,OA,COL6A1-poor,CHP,alignment_score,0.30350670176451744
JRP144,OA,COL6A1-poor,CHP,area,-0.0174835272365996
JRP144,OA,COL6A1-poor,CHP,major_axis_length,-0.018277680449841637
JRP144,OA,COL6A1-poor,CHP,minor_axis_length,-0.029187332667433716
JRP144,OA,COL6A1-poor,CHP,eccentricity,0.007497793625894742
JRP144,OA,COL6A1-poor,FN,alignment_score,0.29749526148793
JRP144,OA,COL6A1-poor,FN,area,0.011741114546788374
JRP144,OA,COL6A1-poor,FN,major_axis_length,0.010433783722693546
JRP144,OA,COL6A1-poor,FN,minor_axis_length,0.022042993929863423
JRP144,OA,COL6A1-poor,FN,eccentricity,0.031170189027988907
JRP144,OA,COL6A1-poor,COL1A1bis,alignment_score,0.26507218681894
JRP144,OA,COL6A1-poor,COL1A1bis,area,-0.008662173287074392
JRP144,OA,COL6A1-poor,COL1A1bis,major_axis_length,-0.002713877440285977
JRP144,OA,COL6A1-poor,COL1A1bis,minor_axis_length,-0.0142609118904276
JRP144,OA,COL6A1-poor,COL1A1bis,eccentricity,0.0361718162246773
JRP144,OA,COL6A1-poor,MFAP5,alignment_score,0.2914678014472602
JRP144,OA,COL6A1-poor,MFAP5,area,-0.014307443007263238
JRP144,OA,COL6A1-poor,MFAP5,major_axis_length,-0.012285670013940764
