phenotype,fiber_type,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Vascular cells,COL6A1,3,3,0.00013538004520625456,0.00011112181515001492,2.425823005623964e-05,0.2
Plasma cells,COL1A1bis,3,3,8.731349345383176e-05,6.347927294825043e-05,2.3834220505581326e-05,0.1
B cells,COL1A1bis,3,3,7.958701086254067e-05,5.740307684072916e-05,2.2183934021811508e-05,0.4
Vascular cells,FN,3,3,0.00012491041288406867,0.00010371606972075598,2.1194343163312695e-05,0.7
Plasma cells,FN,3,3,0.00013318978115737595,0.00011445545845592386,1.8734322701452095e-05,1.0
Plasma cells,COL6A1,3,3,0.00014575675189182485,0.00012768552133258745,1.8071230559237402e-05,0.1
Macrophages,MFAP5,3,3,7.885484951741595e-05,6.30523801429499e-05,1.5802469374466048e-05,0.2
CD8 T cells,COL6A1,3,3,0.00013937790452610112,0.00012607950826746858,1.3298396258632536e-05,0.4
CD4 T cells,COL6A1,3,3,0.00013240292157267548,0.0001211072389957628,1.1295682576912682e-05,0.7
B cells,CHP,3,3,0.00010550751529554799,9.624303850039232e-05,9.26447679515567e-06,0.7
Monocytes,MFAP5,3,3,9.191782249425365e-05,8.458138793987048e-05,7.336434554383172e-06,0.7
Macrophages,COL4A1,3,3,2.793742116176893e-05,2.144414726306899e-05,6.493273898699938e-06,0.7
Plasma cells,MFAP5,3,3,9.695671793079001e-05,9.064231484393944e-05,6.314403086850567e-06,0.4
Plasma cells,COL4A1,3,3,2.9234912947850806e-05,2.3591263304303187e-05,5.643649643547619e-06,1.0
Vascular cells,COL4A1,3,3,3.5851781635312755e-05,3.093335496270245e-05,4.918426672610305e-06,0.2
Monocytes,COL4A1,3,3,2.880223800381547e-05,2.5006760532148388e-05,3.795477471667083e-06,1.0
Dendritic cells,COL6A1,3,3,0.00012848781266057232,0.0001265137353631458,1.9740772974265078e-06,0.7
CD8 T cells,COL4A1,3,3,3.0312892866864557e-05,2.8346234528970483e-05,1.9666583378940747e-06,1.0
Dendritic cells,COL4A1,3,3,2.831092525434945e-05,2.6428915220715737e-05,1.8820100336337139e-06,1.0
T cells,MFAP5,3,3,8.15669114703405e-05,8.106085682976412e-05,5.06054640576377e-07,1.0
MERTK+ Macrophages,CHP,3,3,6.60630388726824e-05,6.623174438651073e-05,-1.6870551382833698e-07,1.0
B cells,COL4A1,3,3,2.6846669218123385e-05,2.7096204304602034e-05,-2.4953508647864933e-07,0.7
Vascular cells,MFAP5,3,3,8.913355000661587e-05,8.980852047146472e-05,-6.749704648488497e-07,0.7
CD4 T cells,COL4A1,3,3,2.9923136945104272e-05,3.069115713530319e-05,-7.680201901989188e-07,0.7
Neutrophils,CHP,3,3,7.63469733737612e-05,7.721421743858338e-05,-8.672440648221892e-07,1.0
Neutrophils,COL4A1,3,3,2.756105350614894e-05,2.914619964470637e-05,-1.5851461385574313e-06,0.7
Macrophages,CHP,3,3,6.47725841101732e-05,6.675527630129357e-05,-1.9826921911203624e-06,1.0
T cells,COL4A1,3,3,2.943289819852254e-05,3.186994024633963e-05,-2.4370420478170923e-06,0.7
Neutrophils,MFAP5,3,3,7.054861324315426e-05,7.762384054661835e-05,-7.075227303464092e-06,0.7
MERTK+ Macrophages,COL4A1,3,3,2.4786575603111713e-05,3.3010182060378116e-05,-8.223606457266403e-06,0.7
MERTK+ Macrophages,MFAP5,3,3,5.873681303306089e-05,6.988207287993896e-05,-1.1145259846878073e-05,1.0
CD4 T cells,CHP,3,3,8.505542903703256e-05,9.857449754774263e-05,-1.3519068510710062e-05,0.7
Monocytes,CHP,3,3,7.609637531558868e-05,9.087746127586052e-05,-1.4781085960271839e-05,0.4
T cells,CHP,3,3,5.538473216559153e-05,7.655400033165884e-05,-2.1169268166067308e-05,0.4
Dendritic cells,CHP,3,3,7.739795288399635e-05,0.00010030340201798802,-2.2905449133991674e-05,0.1
CD4 T cells,MFAP5,3,3,6.975092549440393e-05,9.471258941027206e-05,-2.496166391586813e-05,0.1
Dendritic cells,MFAP5,3,3,6.889830661406693e-05,9.39261976119435e-05,-2.502789099787657e-05,0.1
CD8 T cells,MFAP5,3,3,7.306002495276489e-05,9.818272183830587e-05,-2.512269688554098e-05,0.1
Vascular cells,CHP,3,3,6.724310651980271e-05,9.244307246286146e-05,-2.519996594305875e-05,0.2
CD8 T cells,CHP,3,3,8.138538364570298e-05,0.000106597400603664,-2.521201695796101e-05,0.2
B cells,MFAP5,3,3,5.636684391863036e-05,8.369229428859181e-05,-2.732545036996145e-05,0.4
Plasma cells,CHP,3,3,9.049643056766416e-05,0.00012233466897887995,-3.1838238411215794e-05,0.7
