feature
state__nucleus_boundary_feret_diameter_max__p10
state__nucleus_boundary_feret_diameter_max__p90
state__nucleus_boundary_irregularity__mean
state__nucleus_boundary_irregularity__median
state__nucleus_boundary_irregularity__std
state__nucleus_boundary_irregularity__iqr
state__nucleus_boundary_irregularity__p10
state__nucleus_boundary_irregularity__p90
state__nucleus_boundary_major_minor_axis_ratio__mean
state__nucleus_boundary_major_minor_axis_ratio__median
state__nucleus_boundary_major_minor_axis_ratio__std
state__nucleus_boundary_major_minor_axis_ratio__iqr
state__nucleus_boundary_major_minor_axis_ratio__p10
state__nucleus_boundary_major_minor_axis_ratio__p90
state__nucleus_boundary_perimeter__median
state__nucleus_boundary_perimeter__std
state__nucleus_boundary_perimeter__iqr
state__nucleus_boundary_perimeter__p90
state__nucleus_boundary_solidity__mean
state__nucleus_boundary_solidity__median
state__nucleus_boundary_solidity__std
state__nucleus_boundary_solidity__iqr
state__nucleus_boundary_solidity__p10
state__nucleus_boundary_solidity__p90
state__nucleus_boundary_area_z__mean
state__nucleus_boundary_area_z__median
state__nucleus_boundary_area_z__std
state__nucleus_boundary_area_z__iqr
state__nucleus_boundary_area_z__p10
state__nucleus_boundary_area_z__p90
state__nucleus_boundary_perimeter_z__mean
state__nucleus_boundary_perimeter_z__median
state__nucleus_boundary_perimeter_z__std
state__nucleus_boundary_perimeter_z__iqr
state__nucleus_boundary_perimeter_z__p10
state__nucleus_boundary_perimeter_z__p90
state__nucleus_boundary_circularity_z__mean
state__nucleus_boundary_circularity_z__median
state__nucleus_boundary_circularity_z__std
state__nucleus_boundary_circularity_z__iqr
state__nucleus_boundary_circularity_z__p10
state__nucleus_boundary_circularity_z__p90
state__nucleus_boundary_solidity_z__mean
state__nucleus_boundary_solidity_z__median
state__nucleus_boundary_solidity_z__std
state__nucleus_boundary_solidity_z__iqr
state__nucleus_boundary_solidity_z__p10
state__nucleus_boundary_solidity_z__p90
state__nucleus_boundary_major_minor_axis_ratio_z__mean
state__nucleus_boundary_major_minor_axis_ratio_z__median
state__nucleus_boundary_major_minor_axis_ratio_z__std
state__nucleus_boundary_major_minor_axis_ratio_z__iqr
state__nucleus_boundary_major_minor_axis_ratio_z__p10
state__nucleus_boundary_major_minor_axis_ratio_z__p90
state__nucleus_boundary_orientation_z__mean
state__nucleus_boundary_orientation_z__median
state__nucleus_boundary_orientation_z__std
state__nucleus_boundary_orientation_z__iqr
state__nucleus_boundary_orientation_z__p10
state__nucleus_boundary_orientation_z__p90
state__nucleus_boundary_feret_diameter_max_z__mean
state__nucleus_boundary_feret_diameter_max_z__median
state__nucleus_boundary_feret_diameter_max_z__std
state__nucleus_boundary_feret_diameter_max_z__iqr
state__nucleus_boundary_feret_diameter_max_z__p10
state__nucleus_boundary_feret_diameter_max_z__p90
state__nucleus_boundary_irregularity_z__mean
state__nucleus_boundary_irregularity_z__median
state__nucleus_boundary_irregularity_z__std
state__nucleus_boundary_irregularity_z__iqr
state__nucleus_boundary_irregularity_z__p10
state__nucleus_boundary_irregularity_z__p90
state__dapi_n_pixels_z__mean
state__dapi_n_pixels_z__median
state__dapi_n_pixels_z__std
state__dapi_n_pixels_z__iqr
state__dapi_n_pixels_z__p10
state__dapi_n_pixels_z__p90
state__dapi_min_z__mean
state__dapi_min_z__median
state__dapi_min_z__std
state__dapi_min_z__iqr
state__dapi_min_z__p10
state__dapi_min_z__p90
state__dapi_p10_z__mean
state__dapi_p10_z__median
state__dapi_p10_z__std
state__dapi_p10_z__iqr
state__dapi_p10_z__p10
state__dapi_p10_z__p90
state__dapi_p90_z__median
state__dapi_p90_z__std
state__dapi_p90_z__iqr
state__dapi_p90_z__p90
state__dapi_max_z__mean
state__dapi_max_z__median
state__dapi_max_z__std
state__dapi_max_z__iqr
state__dapi_max_z__p10
state__dapi_max_z__p90
state__dapi_nonzero_fraction_z__mean
state__dapi_nonzero_fraction_z__std
state__dapi_nonzero_fraction_z__p10
state__dapi_intensity_centroid_x_z__mean
state__dapi_intensity_centroid_x_z__std
state__dapi_intensity_centroid_y_z__mean
state__dapi_intensity_centroid_y_z__std
state__dapi_centroid_shift_um_z__mean
state__dapi_centroid_shift_um_z__median
state__dapi_centroid_shift_um_z__std
state__dapi_centroid_shift_um_z__iqr
state__dapi_centroid_shift_um_z__p10
state__dapi_centroid_shift_um_z__p90
surround_prop__pancreatic_ductal_epithelium
surround_prop__Fibroblasts
surround_prop__pancreatic_acinar_epithelium
surround_prop__Myeloid_cells
surround_prop__T_cells
surround_prop__Endothelial_cells
surround_prop__Islets
surround_prop__B_lineage
