imageid,pathology,phenotype,fiber_type,n_links,median_distance_px,mean_distance_px,median_distance_um,mean_distance_um
JRP112,RA,Myeloid cells,COL4A1,1756,112.79149704216672,104.65786737249576,36.65723653870419,34.01380689606112
JRP112,RA,Myeloid cells,COL6A1,9916,107.78260494603308,101.78862029131541,35.02934660746075,33.08130159467751
JRP112,RA,Myeloid cells,FN,11224,108.41086245158044,102.2727989495212,35.23353029676365,33.23865965859439
JRP112,RA,Myeloid cells,MFAP5,2747,107.69382991240073,101.8509280231179,35.00049472153024,33.10155160751332
JRP112,RA,Neutrophils,CHP,13286,108.73847616897447,102.50795488741231,35.340004754916706,33.315085338409006
JRP112,RA,Neutrophils,COL1A1bis,19829,108.67917288045467,102.62476260325289,35.32073118614777,33.35304784605719
JRP112,RA,Neutrophils,COL4A1,3915,112.49089083470331,106.45965935761157,36.55953952127857,34.59938929122376
JRP112,RA,Neutrophils,COL6A1,28590,108.9906378876702,102.55267891126387,35.42195731349282,33.329620646160755
JRP112,RA,Neutrophils,FN,33052,107.92913574219267,101.89172868850703,35.07696911621262,33.11481182376479
JRP112,RA,Neutrophils,MFAP5,5465,109.54696544988488,103.07806545240165,35.60276377121259,33.500371272030534
JRP112,RA,Non-immune cells,CHP,20037,108.76993282646963,102.34562211799538,35.350228168602634,33.2623271883485
JRP112,RA,Non-immune cells,COL1A1bis,53551,107.47040682409634,101.50790552598362,34.92788221783131,32.99006929594468
JRP112,RA,Non-immune cells,COL4A1,7299,113.5273299418559,108.21542243189218,36.89638223110317,35.17001229036496
JRP112,RA,Non-immune cells,COL6A1,67843,107.47581508723974,101.49497626647963,34.929639903352914,32.98586728660588
JRP112,RA,Non-immune cells,FN,54568,108.57778908956976,102.30006183972841,35.287781454110174,33.24752009791174
JRP112,RA,Non-immune cells,MFAP5,43352,107.27464760559023,101.2841400000657,34.86426047181683,32.917345500021355
JRP112,RA,Other Immune cells,CHP,17290,109.96335491437252,103.67692860834954,35.73809034717107,33.6950017977136
JRP112,RA,Other Immune cells,COL1A1bis,43327,108.42881232096084,102.28500382871967,35.23936400431228,33.24262624433389
JRP112,RA,Other Immune cells,COL4A1,15513,106.32100140485588,99.75511933739554,34.55432545657816,32.420413784653555
JRP112,RA,Other Immune cells,COL6A1,52192,108.67327714370666,102.55202629207659,35.31881507170466,33.329408544924895
JRP112,RA,Other Immune cells,FN,63359,108.33895583390273,102.16687553327755,35.21016064601839,33.204234548315206
JRP112,RA,Other Immune cells,MFAP5,22063,109.66449954186507,103.58873902373428,35.64096235110615,33.66634018271364
JRP112,RA,Plasma cells,CHP,3719,105.92561363393168,99.9490655230997,34.4258244310278,32.483446295007404
JRP112,RA,Plasma cells,COL1A1bis,5170,108.38378475683075,102.65793445690146,35.22473004596999,33.36382869849297
JRP112,RA,Plasma cells,COL4A1,2089,111.37216794114194,105.44179064330518,36.19595458087113,34.26858195907418
JRP112,RA,Plasma cells,COL6A1,8985,107.19339599043164,101.07818768695286,34.837853696890285,32.85041099825968
JRP112,RA,Plasma cells,FN,9914,107.96680810698399,101.65733217698019,35.0892126347698,33.038632957518566
JRP112,RA,Plasma cells,MFAP5,5284,107.4005406886701,101.70449408950743,34.905175723817784,33.05396057908992
JRP112,RA,T cells,CHP,7076,109.66422448538361,102.81996068763344,35.64087295774968,33.41648722348087
JRP112,RA,T cells,COL1A1bis,19391,107.4954292226497,101.69290174663014,34.93601449736116,33.050193067654796
JRP112,RA,T cells,COL4A1,3895,98.79463896035337,92.3534831319026,32.108257662114845,30.01488201786835
JRP112,RA,T cells,COL6A1,25953,108.02574893725675,102.11229328118856,35.10836840460845,33.186495316386285
JRP112,RA,T cells,FN,26888,106.95574179883386,101.18358045535436,34.760616084621006,32.884663647990166
JRP112,RA,T cells,MFAP5,8051,109.35715550355253,103.85152998100132,35.541075538654574,33.75174724382543
JRP112,RA,Vascular cells,CHP,16342,109.89502072223272,104.12566966193364,35.715881734725635,33.840842640128436
JRP112,RA,Vascular cells,COL1A1bis,38728,108.16167680613361,101.41380333194668,35.15254496199343,32.95948608288267
JRP112,RA,Vascular cells,COL4A1,14047,96.88989731783892,91.24027060001094,31.489216628297648,29.65308794500356
JRP112,RA,Vascular cells,COL6A1,50227,109.47958488349288,103.31121605565586,35.58086508713519,33.57614521808816
JRP112,RA,Vascular cells,FN,52148,108.13966054523786,101.91110701452118,35.1453896772023,33.12110977971938
JRP112,RA,Vascular cells,MFAP5,31705,110.56630122860611,104.67048755438726,35.934047899296985,34.01790845517586
JRP122,RA,B cells,CHP,27152,105.53539769681147,99.84517111579787,34.29900425146373,32.44968061263431
JRP122,RA,B cells,COL1A1bis,9135,109.52977253293574,103.36095902175148,35.59717607320412,33.59231168206923
JRP122,RA,B cells,COL4A1,3768,108.56615178260093,104.05740427966693,35.2839993293453,33.81865639089175
JRP122,RA,B cells,COL6A1,25537,108.54930918058548,102.46221239070032,35.27852548369028,33.3002190269776
JRP122,RA,B cells,FN,22967,108.37055613613607,102.38649401079806,35.220430744244226,33.275610553509374
JRP122,RA,B cells,MFAP5,14053,111.4878116447438,104.82635891234368,36.233538784541736,34.0685666465117
JRP122,RA,CD4 T cells,CHP,24911,105.80357781108555,100.169695478264,34.3861627886028,32.5551510304358
JRP122,RA,CD4 T cells,COL1A1bis,10115,107.35504757678306,101.96038636269265,34.8903904624545,33.13712556787511
JRP122,RA,CD4 T cells,COL4A1,3965,104.41623269715426,101.2343453135353,33.935275626575134,32.901162226898975
JRP122,RA,CD4 T cells,COL6A1,26814,107.0800411525988,101.52698288501605,34.80101337459461,32.99626943763022
JRP122,RA,CD4 T cells,FN,24404,108.27777654295092,102.38275854061922,35.19027737645905,33.27439652570125
JRP122,RA,CD4 T cells,MFAP5,15904,111.44133397200702,104.98243177833572,36.21843354090228,34.11929032795911
JRP122,RA,CD8 T cells,CHP,8707,105.57226565883568,100.1331253590785,34.3109863391216,32.543265741700516
JRP122,RA,CD8 T cells,COL1A1bis,4764,107.25391112227507,101.4856607936035,34.8575211147394,32.98283975792114
JRP122,RA,CD8 T cells,COL4A1,1676,104.06601052542058,100.23904346981959,33.82145342076169,32.57768912769137
JRP122,RA,CD8 T cells,COL6A1,13110,106.35916657679311,101.00246184802859,34.56672913745776,32.82580010060929
JRP122,RA,CD8 T cells,FN,11251,107.06085186005099,101.37065273524996,34.79477685451657,32.94546213895624
JRP122,RA,CD8 T cells,MFAP5,8988,109.91761332123505,103.53640231103854,35.72322432940139,33.649330751087525
JRP122,RA,Dendritic cells,CHP,4959,104.62800803985387,99.15683954105135,34.00410261295251,32.22597285084169
JRP122,RA,Dendritic cells,COL1A1bis,1751,104.37813883163591,99.87897690592877,33.92289512028167,32.46066749442685
JRP122,RA,Dendritic cells,COL4A1,818,100.99905602021951,97.48043990107125,32.82469320657134,31.681142967848157
JRP122,RA,Dendritic cells,COL6A1,7228,105.62805569264316,100.39235457138808,34.32911810010903,32.627515235701125
JRP122,RA,Dendritic cells,FN,6365,107.66151326773495,101.93906275410231,34.98999181201386,33.13019539508325
JRP122,RA,Dendritic cells,MFAP5,5485,108.72621170130839,102.68067992525114,35.336018802925224,33.37122097570662
JRP122,RA,MERTK+ Macrophages,CHP,1064,113.71458094493451,107.8917913889345,36.957238807103714,35.06483220140371
JRP122,RA,MERTK+ Macrophages,COL1A1bis,186,124.58330352586,116.69898950516227,40.4895736459045,37.92717158917774
JRP122,RA,MERTK+ Macrophages,COL4A1,35,127.00393520658325,127.01501026306555,41.276278942139555,41.279878335496306
JRP122,RA,MERTK+ Macrophages,COL6A1,2414,103.12245340831983,97.32294608375132,33.51479735770395,31.62995747721918
JRP122,RA,MERTK+ Macrophages,FN,2022,103.579749254652,97.65052750812988,33.663418507761904,31.736421440142212
JRP122,RA,MERTK+ Macrophages,MFAP5,1721,109.38901660389345,103.3781744301865,35.551430396265374,33.597906689810614
JRP122,RA,Macrophages,CHP,18032,109.60835836816032,102.94775447408661,35.622716469652104,33.458020204078146
JRP122,RA,Macrophages,COL1A1bis,4343,117.71705897935799,111.31055080655455,38.25804416829135,36.175929012130226
JRP122,RA,Macrophages,COL4A1,1376,120.49646762415578,114.49502402161333,39.16135197785063,37.21088280702433
JRP122,RA,Macrophages,COL6A1,35370,107.04639702281135,101.01749407648856,34.790079032413686,32.830685574858784
JRP122,RA,Macrophages,FN,36220,106.75346031264085,100.82930275924606,34.69487460160828,32.76952339675497
JRP122,RA,Macrophages,MFAP5,29969,107.3147313322249,101.13337273937401,34.87728768297309,32.86834614029655
JRP122,RA,Monocytes,CHP,48731,105.78476415560854,100.12811108967962,34.38004835057278,32.54163610414588
JRP122,RA,Monocytes,COL1A1bis,29463,108.43608062996174,102.57923891335832,35.24172620473757,33.338252646841454
JRP122,RA,Monocytes,COL4A1,8367,108.2624165311929,102.88785761064715,35.18528537263769,33.43855372346032
JRP122,RA,Monocytes,COL6A1,92742,106.22365604349301,100.49079227263431,34.52268821413523,32.65950748860615
JRP122,RA,Monocytes,FN,94792,106.11613539145321,100.5964975679539,34.48774400222229,32.69386170958502
JRP122,RA,Monocytes,MFAP5,68988,106.40419915386695,100.48434404429038,34.581364725006765,32.65741181439437
JRP122,RA,Myeloid cells,CHP,1353,110.06097312552899,102.9994439874063,35.76981626579692,33.47481929590705
JRP122,RA,Myeloid cells,COL1A1bis,713,108.16683237226108,100.98660460972428,35.15422052098485,32.82064649816039
JRP122,RA,Myeloid cells,COL4A1,178,108.9104350334105,97.61462671411148,35.39589138585841,31.72475368208623
JRP122,RA,Myeloid cells,COL6A1,2422,105.75711118616044,100.15358841263073,34.371061135502146,32.549916234104984
JRP122,RA,Myeloid cells,FN,1777,108.50650294612382,102.87172195864657,35.26461345749024,33.43330963656014
JRP122,RA,Myeloid cells,MFAP5,2114,105.11356609619881,99.11577589800352,34.16190898126462,32.21262716685114
JRP122,RA,Neutrophils,CHP,1824,108.63147797747982,101.8737761496167,35.30523034268094,33.10897724862543
JRP122,RA,Neutrophils,COL1A1bis,925,106.52960068998723,99.67835854431927,34.622120224245855,32.39546652690376
JRP122,RA,Neutrophils,COL4A1,333,95.62835144743481,90.24286113811446,31.079214220416315,29.3289298698872
JRP122,RA,Neutrophils,COL6A1,3165,109.4037363457171,102.31311716253514,35.55621431235806,33.251763077823924
JRP122,RA,Neutrophils,FN,3091,108.59292147175445,102.62850847795438,35.292699478320195,33.35426525533518
JRP122,RA,Neutrophils,MFAP5,2428,106.90968399856305,101.56379867334394,34.74564729953299,33.008234568836784
JRP122,RA,Non-immune cells,CHP,149487,107.59416436973642,101.4771370927324,34.96810342016434,32.98006955513803
JRP122,RA,Non-immune cells,COL1A1bis,63053,107.79554629882783,101.96732371425826,35.033552547119044,33.13938020713393
JRP122,RA,Non-immune cells,COL4A1,23531,107.28042505497315,101.69392986279631,34.866138142866276,33.050527205408805
JRP122,RA,Non-immune cells,COL6A1,285878,106.72308506527507,100.78895118822993,34.6850026462144,32.75640913617473
JRP122,RA,Non-immune cells,FN,285332,107.13626596086036,101.16106476386175,34.819286437279615,32.87734604825507
JRP122,RA,Non-immune cells,MFAP5,243031,106.84484717677779,100.82063084923084,34.72457533245278,32.766705026000025
JRP122,RA,Other Immune cells,CHP,2086,105.12948709211543,100.1712798128651,34.16708330493751,32.555665939181154
JRP122,RA,Other Immune cells,COL1A1bis,1095,106.20735544956739,100.63057556713477,34.517390521109405,32.7049370593188
JRP122,RA,Other Immune cells,COL4A1,351,106.62361680074122,100.47724449862402,34.6526754602409,32.655104462052805
