sample_id,disease_group,gene,present
normal_nondiseased_v1,NormalPancreas,CD68,True
normal_nondiseased_v1,NormalPancreas,C1QA,False
normal_nondiseased_v1,NormalPancreas,C1QB,False
normal_nondiseased_v1,NormalPancreas,C1QC,False
normal_nondiseased_v1,NormalPancreas,AMY2A,True
normal_nondiseased_v1,NormalPancreas,PRSS1,False
normal_nondiseased_v1,NormalPancreas,PRSS2,False
normal_nondiseased_v1,NormalPancreas,CPA1,False
normal_nondiseased_v1,NormalPancreas,CTRB1,False
normal_nondiseased_v1,NormalPancreas,REG1A,False
normal_nondiseased_v1,NormalPancreas,INS,True
normal_nondiseased_v1,NormalPancreas,GCG,True
normal_nondiseased_v1,NormalPancreas,SST,True
normal_nondiseased_v1,NormalPancreas,PPY,True
normal_nondiseased_v1,NormalPancreas,CHGA,True
