,annotation,annotation_level2,annotated_clusters_update3
exp_11070,stroma-fib,stroma-fib,myCAFs
exp_11071,stroma-immune,stroma-immune,Monocytes
exp_11072,stroma-fib,stroma-fib,myCAFs
exp_11073,stroma-fib,stroma-immune,CD4 T cells
exp_11074,stroma-immune,vessel,vessel
exp_11075,stroma-fib,stroma-immune,Unknown
exp_11076,stroma-immune,stroma-immune,Monocytes
exp_11077,stroma-immune,stroma-immune,other immune cells
exp_11078,stroma-immune,stroma-immune,other immune cells
exp_11079,stroma-immune,stroma-immune,other immune cells
exp_11080,stroma-immune,stroma-immune,CD4 T cells
exp_11081,stroma-fib,stroma-immune,other immune cells
exp_11082,stroma-immune,stroma-immune,T cells
exp_11083,stroma-immune,stroma-immune,other immune cells
exp_11084,stroma-immune,stroma-immune,other immune cells
exp_11085,tumour,tumour,tumour
exp_11086,stroma-immune,stroma-immune,other immune cells
exp_11087,tumour,tumour,tumour
exp_11088,stroma-immune,stroma-immune,other immune cells
exp_11089,stroma-immune,vessel,vessel
exp_11090,stroma-fib,stroma-immune,Macrophages
exp_11091,tumour,tumour,tumour
exp_11092,stroma-fib,stroma-immune,other immune cells
exp_11093,stroma-immune,stroma-immune,Monocytes
exp_11094,tumour,tumour,tumour
exp_11095,stroma-immune,stroma-immune,other immune cells
exp_11096,tumour,tumour,tumour
exp_11097,stroma-immune,stroma-immune,other immune cells
exp_11098,stroma-immune,stroma-immune,other immune cells
exp_11099,stroma-immune,vessel,vessel
exp_11100,stroma-immune,stroma-immune,other immune cells
exp_11101,tumour,tumour,tumour
exp_11102,stroma-fib,stroma-immune,Unknown
exp_11103,stroma-immune,stroma-immune,other immune cells
exp_11104,stroma-immune,stroma-immune,Monocytes
exp_11105,stroma-immune,stroma-immune,other immune cells
exp_11106,stroma-immune,stroma-immune,CD4 T cells
exp_11107,stroma-fib,stroma-immune,Unknown
exp_11108,tumour,tumour,tumour
exp_11109,stroma-fib,stroma-fib,myCAFs
exp_11110,stroma-fib,stroma-immune,Unknown
exp_11111,mix,tumour,tumour
exp_11112,stroma-immune,stroma-immune,CD4 T cells
exp_11113,tumour,stroma-immune,other immune cells
exp_11114,stroma-immune,stroma-immune,other immune cells
exp_11115,stroma-immune,stroma-immune,other immune cells
exp_11116,stroma-immune,stroma-immune,other immune cells
exp_11117,stroma-immune,stroma-immune,other immune cells
exp_11118,stroma-immune,stroma-immune,Unknown
exp_11119,tumour,tumour,tumour
exp_11120,stroma-fib,stroma-fib,myCAFs
exp_11121,tumour,tumour,tumour
exp_11122,stroma-fib,stroma-fib,myCAFs
exp_11123,stroma-fib,stroma-fib,myCAFs
exp_11124,stroma-fib,stroma-immune,Unknown
exp_11125,tumour,stroma-immune,Unknown
exp_11126,mix,tumour,tumour
exp_11127,mix,tumour,tumour
exp_11128,mix,stroma-immune,other immune cells
exp_11129,stroma-immune,stroma-immune,CD4 T cells
exp_11130,stroma-immune,stroma-immune,other immune cells
exp_11131,stroma-immune,vessel,vessel
exp_11132,stroma-fib,stroma-immune,T cells
exp_11133,stroma-fib,stroma-fib,Unknown
exp_11134,stroma-fib,stroma-immune,Unknown
exp_11135,tumour,tumour,tumour
exp_11136,tumour,tumour,tumour
exp_11137,tumour,tumour,tumour
exp_11138,stroma-fib,stroma-fib,myCAFs
exp_11139,stroma-immune,vessel,vessel
exp_11140,stroma-immune,stroma-immune,other immune cells
exp_11141,stroma-immune,stroma-immune,other immune cells
exp_11142,stroma-immune,vessel,vessel
exp_11143,stroma-immune,stroma-immune,CD4 T cells
exp_11144,stroma-immune,stroma-immune,other immune cells
exp_11145,stroma-fib,stroma-fib,myCAFs
exp_11146,stroma-fib,stroma-fib,myCAFs
exp_11147,stroma-fib,stroma-immune,Unknown
exp_11148,tumour,tumour,tumour
exp_11149,stroma-fib,stroma-immune,other immune cells
exp_11150,stroma-immune,stroma-immune,CD4 T cells
exp_11151,stroma-immune,stroma-immune,other immune cells
exp_11152,stroma-immune,stroma-immune,other immune cells
exp_11153,stroma-fib,stroma-fib,myCAFs
exp_11154,tumour,tumour,tumour
exp_11155,stroma-fib,stroma-immune,Unknown
exp_11156,stroma-immune,stroma-immune,Monocytes
exp_11157,stroma-immune,stroma-immune,Monocytes
exp_11158,tumour,tumour,tumour
exp_11159,tumour,stroma-immune,other immune cells
exp_11160,stroma-immune,stroma-immune,CD4 T cells
exp_11161,tumour,tumour,tumour
exp_11162,stroma-immune,stroma-immune,Monocytes
exp_11163,stroma-immune,stroma-immune,CD4 T cells
exp_11164,tumour,tumour,tumour
exp_11165,stroma-immune,stroma-immune,other immune cells
exp_11166,stroma-fib,stroma-fib,myCAFs
exp_11167,stroma-immune,stroma-immune,Unknown
exp_11168,tumour,stroma-immune,Monocytes
exp_11169,stroma-immune,stroma-immune,Unknown
exp_11170,stroma-fib,stroma-immune,Unknown
exp_11171,stroma-immune,stroma-immune,other immune cells
exp_11172,stroma-immune,stroma-immune,Monocytes
exp_11173,stroma-immune,stroma-immune,CD4 T cells
exp_11174,stroma-immune,vessel,vessel
exp_11175,stroma-immune,stroma-immune,other immune cells
exp_11176,stroma-immune,stroma-immune,other immune cells
exp_11177,tumour,tumour,tumour
exp_11178,tumour,tumour,tumour
exp_11179,stroma-fib,stroma-immune,Unknown
exp_11180,stroma-fib,stroma-immune,Macrophages
exp_11181,tumour,tumour,tumour
exp_11182,stroma-fib,stroma-immune,other immune cells
exp_11183,stroma-immune,stroma-immune,other immune cells
exp_11184,stroma-immune,stroma-immune,other immune cells
exp_11185,tumour,tumour,tumour
exp_11186,tumour,tumour,tumour
exp_11187,stroma-fib,stroma-fib,myCAFs
exp_11188,stroma-fib,stroma-fib,myCAFs
exp_11189,stroma-immune,vessel,vessel
exp_11190,stroma-immune,stroma-immune,other immune cells
exp_11191,stroma-immune,vessel,vessel
exp_11192,tumour,tumour,tumour
exp_11193,stroma-fib,stroma-fib,myCAFs
exp_11194,stroma-fib,stroma-fib,PDPN+ CAFs
exp_11195,stroma-fib,stroma-immune,CD4 T cells
exp_11196,stroma-fib,stroma-immune,CD4 T cells
exp_11197,stroma-immune,stroma-immune,other immune cells
exp_11198,tumour,tumour,tumour
exp_11199,tumour,tumour,tumour
exp_11200,stroma-immune,stroma-immune,other immune cells
exp_11201,stroma-immune,stroma-immune,other immune cells
exp_11202,stroma-fib,stroma-immune,Unknown
exp_11203,stroma-fib,stroma-fib,myCAFs
exp_11204,tumour,tumour,tumour
exp_11205,tumour,tumour,tumour
exp_11206,stroma-immune,stroma-immune,other immune cells
exp_11207,stroma-immune,stroma-immune,Macrophages
exp_11208,tumour,tumour,tumour
exp_11209,tumour,tumour,tumour
exp_11210,stroma-fib,stroma-fib,CD90+ CAFs
exp_11211,tumour,tumour,tumour
exp_11212,stroma-immune,stroma-immune,other immune cells
exp_11213,stroma-fib,stroma-immune,CD4 T cells
exp_11214,stroma-immune,stroma-immune,other immune cells
exp_11215,stroma-immune,vessel,vessel
exp_11216,stroma-fib,stroma-fib,myCAFs
exp_11217,mix,tumour,tumour
exp_11218,stroma-immune,stroma-immune,other immune cells
exp_11219,stroma-immune,stroma-immune,other immune cells
exp_11220,stroma-immune,stroma-immune,CD4 T cells
exp_11221,tumour,tumour,tumour
exp_11222,tumour,tumour,tumour
exp_11223,stroma-fib,stroma-fib,myCAFs
exp_11224,stroma-fib,stroma-immune,other immune cells
exp_11225,stroma-immune,stroma-immune,other immune cells
exp_11226,stroma-immune,stroma-immune,Monocytes
exp_11227,tumour,stroma-immune,other immune cells
exp_11228,tumour,tumour,tumour
exp_11229,tumour,tumour,tumour
exp_11230,mix,tumour,tumour
exp_11231,mix,tumour,tumour
exp_11232,mix,tumour,tumour
exp_11233,mix,stroma-immune,other immune cells
exp_11234,stroma-immune,stroma-immune,CD4 T cells
exp_11235,tumour,tumour,tumour
exp_11236,tumour,tumour,tumour
exp_11237,stroma-fib,stroma-immune,CD4 T cells
exp_11238,stroma-immune,stroma-immune,other immune cells
exp_11239,stroma-immune,stroma-immune,other immune cells
exp_11240,stroma-immune,stroma-immune,other immune cells
exp_11241,stroma-fib,stroma-immune,other immune cells
exp_11242,stroma-fib,stroma-immune,Unknown
exp_11243,tumour,tumour,tumour
exp_11244,tumour,tumour,tumour
exp_11245,stroma-fib,stroma-fib,PDPN+ CAFs
exp_11246,stroma-immune,stroma-immune,CD4 T cells
exp_11247,stroma-immune,stroma-immune,other immune cells
exp_11248,stroma-fib,stroma-fib,myCAFs
exp_11249,tumour,tumour,tumour
exp_11250,tumour,tumour,tumour
exp_11251,stroma-fib,stroma-fib,myCAFs
exp_11252,stroma-fib,stroma-immune,CD4 T cells
exp_11253,stroma-fib,stroma-fib,myCAFs
exp_11254,tumour,tumour,tumour
exp_11255,stroma-fib,stroma-fib,myCAFs
exp_11256,stroma-immune,vessel,vessel
exp_11257,stroma-fib,stroma-immune,other immune cells
exp_11258,stroma-immune,stroma-immune,other immune cells
exp_11259,stroma-immune,stroma-immune,CD4 T cells
exp_11260,stroma-immune,vessel,vessel
exp_11261,stroma-immune,vessel,vessel
exp_11262,stroma-fib,stroma-immune,Monocytes
exp_11263,stroma-fib,stroma-immune,Monocytes
exp_11264,stroma-fib,stroma-fib,myCAFs
exp_11265,stroma-immune,stroma-immune,Macrophages
exp_11266,tumour,stroma-immune,Unknown
exp_11267,tumour,tumour,tumour
exp_11268,stroma-immune,stroma-immune,other immune cells
exp_11269,stroma-immune,stroma-immune,other immune cells
exp_11270,stroma-immune,stroma-immune,CD4 T cells
exp_11271,stroma-immune,stroma-immune,other immune cells
exp_11272,stroma-immune,vessel,vessel
exp_11273,stroma-fib,stroma-fib,myCAFs
exp_11274,stroma-fib,stroma-immune,CD4 T cells
exp_11275,mix,tumour,tumour
exp_11276,stroma-fib,stroma-immune,Unknown
exp_11277,stroma-fib,stroma-immune,Macrophages
exp_11278,stroma-immune,stroma-immune,Monocytes
exp_11279,stroma-fib,stroma-immune,Monocytes
exp_11280,mix,stroma-immune,Monocytes
exp_11281,stroma-immune,vessel,vessel
exp_11282,tumour,tumour,tumour
exp_11283,stroma-fib,stroma-immune,Unknown
exp_11284,stroma-fib,stroma-fib,myCAFs
exp_11285,stroma-fib,stroma-fib,myCAFs
exp_11286,stroma-fib,stroma-immune,Monocytes
exp_11287,tumour,stroma-immune,Monocytes
exp_11288,stroma-immune,stroma-immune,Monocytes
exp_11289,stroma-immune,stroma-immune,other immune cells
exp_11290,stroma-immune,stroma-immune,other immune cells
exp_11291,stroma-immune,stroma-immune,CD4 T cells
exp_11292,stroma-immune,stroma-immune,CD4 T cells
exp_11293,stroma-immune,stroma-immune,other immune cells
exp_11294,stroma-immune,stroma-immune,other immune cells
exp_11295,tumour,tumour,tumour
exp_11296,tumour,tumour,tumour
exp_11297,tumour,stroma-immune,Monocytes
exp_11298,stroma-fib,stroma-immune,T cells
exp_11299,tumour,tumour,tumour
exp_11300,stroma-immune,stroma-immune,CD4 T cells
exp_11301,stroma-immune,stroma-immune,other immune cells
exp_11302,stroma-immune,stroma-immune,other immune cells
exp_11303,stroma-immune,vessel,vessel
exp_11304,tumour,tumour,tumour
exp_11305,tumour,tumour,tumour
exp_11306,stroma-fib,stroma-fib,myCAFs
exp_11307,stroma-immune,stroma-immune,other immune cells
exp_11308,stroma-fib,stroma-fib,myCAFs
exp_11309,stroma-fib,stroma-immune,Dendritic cells
exp_11310,mix,stroma-immune,Unknown
exp_11311,mix,stroma-immune,Macrophages
exp_11312,mix,stroma-immune,other immune cells
exp_11313,stroma-immune,stroma-immune,CD4 T cells
exp_11314,tumour,tumour,tumour
exp_11315,stroma-immune,stroma-immune,other immune cells
exp_11316,stroma-fib,stroma-immune,Monocytes
exp_11317,tumour,tumour,tumour
exp_11318,tumour,tumour,tumour
exp_11319,stroma-immune,stroma-immune,CD4 T cells
exp_11320,stroma-fib,stroma-fib,myCAFs
exp_11321,stroma-immune,vessel,vessel
exp_11322,tumour,tumour,tumour
exp_11323,stroma-fib,stroma-immune,other immune cells
exp_11324,stroma-immune,stroma-immune,other immune cells
exp_11325,stroma-immune,stroma-immune,CD4 T cells
exp_11326,stroma-immune,stroma-immune,CD4 T cells
exp_11327,stroma-fib,stroma-immune,other immune cells
exp_11328,stroma-fib,stroma-immune,Unknown
exp_11329,tumour,tumour,tumour
exp_11330,stroma-fib,stroma-fib,myCAFs
exp_11331,stroma-fib,stroma-immune,CD4 T cells
exp_11332,stroma-fib,stroma-immune,Unknown
exp_11333,stroma-fib,stroma-fib,myCAFs
exp_11334,tumour,tumour,tumour
exp_11335,stroma-fib,stroma-fib,myCAFs
exp_11336,stroma-fib,stroma-immune,CD4 T cells
exp_11337,stroma-fib,stroma-fib,myCAFs
exp_11338,tumour,stroma-immune,other immune cells
exp_11339,mix,tumour,tumour
exp_11340,tumour,stroma-immune,Unknown
exp_11341,stroma-immune,vessel,vessel
exp_11342,stroma-immune,stroma-immune,Monocytes
exp_11343,tumour,tumour,tumour
exp_11344,stroma-immune,stroma-immune,other immune cells
exp_11345,stroma-immune,stroma-immune,CD4 T cells
exp_11346,stroma-immune,vessel,vessel
exp_11347,stroma-fib,stroma-fib,Unknown
exp_11348,stroma-immune,vessel,vessel
exp_11349,tumour,tumour,tumour
exp_11350,tumour,tumour,tumour
exp_11351,stroma-fib,stroma-immune,Unknown
exp_11352,stroma-fib,stroma-immune,Monocytes
exp_11353,stroma-immune,stroma-immune,CD4 T cells
exp_11354,tumour,tumour,tumour
exp_11355,stroma-fib,stroma-immune,other immune cells
exp_11356,stroma-fib,stroma-immune,Unknown
exp_11357,stroma-immune,stroma-immune,T cells
exp_11358,stroma-fib,stroma-immune,Monocytes
exp_11359,stroma-immune,stroma-immune,Unknown
exp_11360,stroma-fib,stroma-fib,myCAFs
exp_11361,mix,stroma-immune,other immune cells
exp_11362,mix,stroma-immune,other immune cells
exp_11363,tumour,tumour,tumour
exp_11364,stroma-immune,stroma-immune,other immune cells
exp_11365,stroma-immune,vessel,vessel
exp_11366,stroma-immune,stroma-immune,Monocytes
exp_11367,stroma-immune,vessel,vessel
exp_11368,stroma-fib,stroma-fib,myCAFs
exp_11369,stroma-fib,stroma-fib,myCAFs
exp_11370,stroma-fib,stroma-fib,myCAFs
exp_11371,tumour,tumour,tumour
exp_11372,stroma-immune,stroma-immune,other immune cells
exp_11373,mix,stroma-immune,other immune cells
exp_11374,stroma-immune,vessel,vessel
exp_11375,stroma-immune,stroma-immune,T cells
exp_11376,stroma-immune,stroma-immune,other immune cells
exp_11377,stroma-immune,stroma-immune,other immune cells
exp_11378,tumour,tumour,tumour
exp_11379,tumour,tumour,tumour
exp_11380,stroma-fib,stroma-fib,myCAFs
exp_11381,stroma-immune,vessel,vessel
exp_11382,stroma-immune,stroma-immune,CD4 T cells
exp_11383,tumour,tumour,tumour
exp_11384,stroma-immune,stroma-immune,T cells
exp_11385,stroma-immune,stroma-immune,other immune cells
exp_11386,stroma-immune,stroma-immune,other immune cells
exp_11387,stroma-fib,stroma-fib,PDPN+ CAFs
exp_11388,stroma-fib,stroma-immune,Unknown
exp_11389,tumour,tumour,tumour
exp_11390,tumour,tumour,tumour
exp_11391,stroma-fib,stroma-fib,PDPN+ CAFs
exp_11392,tumour,tumour,tumour
exp_11393,tumour,tumour,tumour
exp_11394,mix,tumour,tumour
exp_11395,stroma-fib,stroma-fib,myCAFs
exp_11396,stroma-fib,stroma-immune,Monocytes
exp_11397,stroma-immune,stroma-immune,other immune cells
exp_11398,stroma-immune,stroma-immune,T cells
exp_11399,stroma-immune,vessel,vessel
exp_11400,stroma-immune,stroma-immune,other immune cells
exp_11401,stroma-immune,stroma-immune,Unknown
exp_11402,stroma-fib,stroma-fib,myCAFs
exp_11403,stroma-immune,stroma-immune,T cells
exp_11404,stroma-fib,stroma-fib,myCAFs
exp_11405,stroma-immune,stroma-immune,other immune cells
exp_11406,tumour,stroma-immune,T cells
exp_11407,stroma-immune,stroma-immune,CD4 T cells
exp_11408,stroma-immune,stroma-immune,other immune cells
exp_11409,stroma-immune,stroma-immune,other immune cells
exp_11410,stroma-immune,vessel,vessel
exp_11411,tumour,tumour,tumour
exp_11412,stroma-fib,stroma-fib,myCAFs
exp_11413,stroma-fib,stroma-immune,Unknown
exp_11414,stroma-immune,stroma-immune,other immune cells
exp_11415,mix,stroma-immune,Monocytes
exp_11416,mix,stroma-immune,other immune cells
exp_11417,stroma-immune,stroma-immune,other immune cells
exp_11418,tumour,tumour,tumour
exp_11419,tumour,tumour,tumour
exp_11420,tumour,stroma-immune,Monocytes
exp_11421,stroma-immune,stroma-immune,other immune cells
exp_11422,stroma-fib,stroma-immune,CD4 T cells
exp_11423,tumour,tumour,tumour
exp_11424,tumour,tumour,tumour
exp_11425,tumour,tumour,tumour
exp_11426,stroma-immune,stroma-immune,CD4 T cells
exp_11427,mix,tumour,tumour
exp_11428,mix,tumour,tumour
exp_11429,tumour,tumour,tumour
exp_11430,mix,stroma-immune,other immune cells
exp_11431,stroma-immune,stroma-immune,other immune cells
exp_11432,stroma-immune,stroma-immune,other immune cells
exp_11433,tumour,tumour,tumour
exp_11434,stroma-fib,stroma-immune,CD4 T cells
exp_11435,tumour,tumour,tumour
exp_11436,stroma-fib,stroma-fib,myCAFs
exp_11437,stroma-immune,stroma-immune,CD4 T cells
exp_11438,tumour,stroma-immune,other immune cells
exp_11439,stroma-immune,stroma-immune,other immune cells
exp_11440,stroma-immune,stroma-immune,CD4 T cells
exp_11441,stroma-fib,stroma-fib,myCAFs
exp_11442,tumour,tumour,tumour
exp_11443,stroma-fib,stroma-immune,Unknown
exp_11444,tumour,tumour,tumour
exp_11445,tumour,tumour,tumour
exp_11446,tumour,tumour,tumour
exp_11447,mix,stroma-immune,Macrophages
exp_11448,stroma-immune,stroma-immune,other immune cells
exp_11449,stroma-immune,stroma-immune,Unknown
exp_11450,tumour,tumour,tumour
exp_11451,tumour,tumour,tumour
exp_11452,stroma-immune,stroma-immune,other immune cells
exp_11453,tumour,tumour,tumour
exp_11454,stroma-immune,stroma-immune,Monocytes
exp_11455,stroma-fib,stroma-fib,myCAFs
exp_11456,mix,tumour,tumour
exp_11457,mix,tumour,tumour
exp_11458,mix,tumour,tumour
exp_11459,tumour,tumour,tumour
exp_11460,tumour,tumour,tumour
exp_11461,stroma-immune,vessel,vessel
exp_11462,stroma-immune,stroma-immune,other immune cells
exp_11463,stroma-immune,stroma-immune,other immune cells
exp_11464,stroma-fib,stroma-fib,myCAFs
exp_11465,tumour,tumour,tumour
exp_11466,tumour,tumour,tumour
exp_11467,stroma-fib,stroma-fib,myCAFs
exp_11468,tumour,tumour,tumour
exp_11469,stroma-immune,stroma-immune,CD4 T cells
exp_11470,stroma-immune,stroma-immune,other immune cells
exp_11471,stroma-immune,stroma-immune,other immune cells
exp_11472,tumour,tumour,tumour
exp_11473,tumour,tumour,tumour
exp_11474,stroma-fib,stroma-fib,PDPN+ CAFs
exp_11475,stroma-immune,vessel,vessel
exp_11476,stroma-immune,stroma-immune,CD4 T cells
exp_11477,tumour,tumour,tumour
exp_11478,stroma-fib,stroma-fib,myCAFs
exp_11479,stroma-fib,stroma-fib,myCAFs
exp_11480,stroma-fib,stroma-fib,myCAFs
exp_11481,stroma-immune,stroma-immune,Monocytes
exp_11482,stroma-immune,vessel,vessel
exp_11483,stroma-immune,stroma-immune,CD4 T cells
exp_11484,stroma-immune,stroma-immune,CD4 T cells
exp_11485,stroma-immune,stroma-immune,other immune cells
exp_11486,tumour,tumour,tumour
exp_11487,stroma-fib,stroma-immune,Macrophages
exp_11488,tumour,stroma-immune,Unknown
exp_11489,stroma-immune,vessel,vessel
exp_11490,stroma-immune,stroma-immune,CD4 T cells
exp_11491,stroma-immune,stroma-immune,other immune cells
exp_11492,stroma-immune,stroma-immune,CD4 T cells
exp_11493,tumour,tumour,tumour
exp_11494,tumour,tumour,tumour
exp_11495,tumour,tumour,tumour
exp_11496,tumour,tumour,tumour
exp_11497,stroma-fib,stroma-immune,Monocytes
exp_11498,mix,tumour,tumour
exp_11499,mix,stroma-immune,other immune cells
exp_11500,stroma-immune,stroma-immune,CD4 T cells
exp_11501,stroma-fib,stroma-immune,Unknown
exp_11502,tumour,tumour,tumour
exp_11503,stroma-fib,stroma-immune,other immune cells
exp_11504,stroma-immune,stroma-immune,CD4 T cells
exp_11505,stroma-fib,stroma-immune,CD4 T cells
exp_11506,tumour,tumour,tumour
exp_11507,tumour,tumour,tumour
exp_11508,stroma-fib,stroma-immune,CD4 T cells
exp_11509,stroma-fib,stroma-immune,Unknown
exp_11510,stroma-immune,vessel,vessel
exp_11511,stroma-immune,stroma-immune,T cells
exp_11512,stroma-fib,stroma-immune,CD4 T cells
exp_11513,stroma-immune,stroma-immune,CD4 T cells
exp_11514,stroma-immune,stroma-immune,other immune cells
exp_11515,stroma-immune,stroma-immune,CD4 T cells
exp_11516,stroma-fib,stroma-fib,myCAFs
exp_11517,stroma-fib,stroma-immune,Monocytes
exp_11518,tumour,tumour,tumour
exp_11519,stroma-immune,stroma-immune,T cells
exp_11520,stroma-immune,stroma-immune,Monocytes
exp_11521,tumour,tumour,tumour
exp_11522,stroma-fib,stroma-fib,myCAFs
exp_11523,stroma-fib,stroma-immune,Macrophages
exp_11524,tumour,tumour,tumour
exp_11525,stroma-immune,stroma-immune,Macrophages
exp_11526,stroma-immune,stroma-immune,other immune cells
exp_11527,stroma-immune,stroma-immune,other immune cells
exp_11528,stroma-immune,stroma-immune,other immune cells
exp_11529,tumour,stroma-immune,other immune cells
exp_11530,tumour,tumour,tumour
exp_11531,stroma-fib,stroma-immune,CD4 T cells
exp_11532,stroma-fib,stroma-fib,myCAFs
exp_11533,stroma-immune,stroma-immune,other immune cells
exp_11534,tumour,stroma-immune,Unknown
exp_11535,stroma-immune,stroma-immune,Unknown
exp_11536,stroma-fib,stroma-immune,Monocytes
exp_11537,tumour,tumour,tumour
exp_11538,stroma-immune,stroma-immune,Unknown
exp_11539,tumour,tumour,tumour
exp_11540,stroma-immune,stroma-immune,other immune cells
exp_11541,stroma-immune,stroma-immune,other immune cells
exp_11542,tumour,tumour,tumour
exp_11543,tumour,tumour,tumour
exp_11544,stroma-immune,stroma-immune,T cells
exp_11545,stroma-fib,stroma-fib,myCAFs
exp_11546,mix,tumour,tumour
exp_11547,stroma-fib,stroma-immune,CD4 T cells
exp_11548,tumour,tumour,tumour
exp_11549,stroma-immune,stroma-immune,other immune cells
exp_11550,tumour,tumour,tumour
exp_11551,tumour,tumour,tumour
exp_11552,stroma-immune,stroma-immune,other immune cells
exp_11553,tumour,tumour,tumour
exp_11554,stroma-fib,stroma-immune,Monocytes
exp_11555,stroma-fib,stroma-fib,myCAFs
exp_11556,stroma-immune,stroma-immune,Monocytes
exp_11557,stroma-immune,stroma-immune,other immune cells
exp_11558,stroma-immune,stroma-immune,CD4 T cells
exp_11559,tumour,stroma-immune,CD4 T cells
exp_11560,stroma-immune,stroma-immune,other immune cells
exp_11561,stroma-immune,vessel,vessel
exp_11562,tumour,tumour,tumour
exp_11563,tumour,tumour,tumour
exp_11564,tumour,stroma-immune,Unknown
exp_11565,tumour,tumour,tumour
exp_11566,tumour,tumour,tumour
exp_11567,stroma-fib,stroma-fib,myCAFs
exp_11568,stroma-fib,stroma-fib,myCAFs
exp_11569,stroma-immune,vessel,vessel
exp_11570,tumour,tumour,tumour
exp_11571,tumour,tumour,tumour
exp_11572,stroma-immune,stroma-immune,other immune cells
exp_11573,stroma-fib,stroma-immune,Monocytes
exp_11574,tumour,tumour,tumour
exp_11575,mix,tumour,tumour
exp_11576,stroma-fib,stroma-fib,myCAFs
exp_11577,stroma-fib,stroma-immune,Unknown
exp_11578,stroma-fib,stroma-fib,myCAFs
exp_11579,stroma-fib,stroma-fib,myCAFs
exp_11580,stroma-immune,stroma-immune,Monocytes
exp_11581,tumour,tumour,tumour
exp_11582,stroma-immune,stroma-immune,CD4 T cells
exp_11583,tumour,tumour,tumour
exp_11584,stroma-fib,stroma-immune,Macrophages
exp_11585,tumour,tumour,tumour
exp_11586,tumour,tumour,tumour
exp_11587,stroma-fib,stroma-immune,CD4 T cells
exp_11588,stroma-fib,stroma-immune,other immune cells
exp_11589,stroma-immune,vessel,vessel
exp_11590,stroma-immune,vessel,vessel
exp_11591,stroma-immune,vessel,vessel
exp_11592,stroma-fib,stroma-fib,myCAFs
exp_11593,tumour,tumour,tumour
exp_11594,tumour,tumour,tumour
exp_11595,stroma-immune,stroma-immune,other immune cells
exp_11596,stroma-immune,stroma-immune,other immune cells
exp_11597,stroma-immune,stroma-immune,CD4 T cells
exp_11598,stroma-immune,stroma-immune,other immune cells
exp_11599,tumour,tumour,tumour
exp_11600,tumour,tumour,tumour
exp_11601,mix,tumour,tumour
exp_11602,stroma-immune,stroma-immune,T cells
exp_11603,stroma-fib,stroma-immune,Unknown
exp_11604,stroma-immune,stroma-immune,other immune cells
exp_11605,stroma-immune,vessel,vessel
exp_11606,tumour,stroma-immune,Unknown
exp_11607,tumour,tumour,tumour
exp_11608,tumour,stroma-immune,Unknown
exp_11609,stroma-immune,stroma-immune,other immune cells
exp_11610,stroma-fib,stroma-fib,myCAFs
exp_11611,tumour,tumour,tumour
exp_11612,tumour,tumour,tumour
exp_11613,tumour,tumour,tumour
exp_11614,tumour,tumour,tumour
exp_11615,tumour,tumour,tumour
exp_11616,tumour,tumour,tumour
exp_11617,tumour,tumour,tumour
exp_11618,mix,stroma-immune,Monocytes
exp_11619,stroma-immune,vessel,vessel
exp_11620,tumour,tumour,tumour
exp_11621,stroma-immune,stroma-immune,other immune cells
exp_11622,stroma-immune,stroma-immune,Macrophages
exp_11623,tumour,tumour,tumour
exp_11624,tumour,tumour,tumour
exp_11625,stroma-immune,stroma-immune,CD4 T cells
exp_11626,stroma-immune,stroma-immune,CD4 T cells
exp_11627,stroma-fib,stroma-immune,CD4 T cells
exp_11628,mix,tumour,tumour
exp_11629,stroma-immune,stroma-immune,Monocytes
exp_11630,tumour,tumour,tumour
exp_11631,stroma-immune,vessel,vessel
exp_11632,tumour,tumour,tumour
exp_11633,tumour,tumour,tumour
exp_11634,stroma-fib,stroma-immune,Monocytes
exp_11635,stroma-immune,stroma-immune,T cells
exp_11636,tumour,tumour,tumour
exp_11637,stroma-immune,vessel,vessel
exp_11638,stroma-fib,stroma-immune,CD4 T cells
exp_11639,stroma-immune,stroma-immune,other immune cells
exp_11640,stroma-immune,stroma-immune,CD4 T cells
exp_11641,tumour,tumour,tumour
exp_11642,stroma-immune,stroma-immune,CD4 T cells
exp_11643,stroma-immune,stroma-immune,CD4 T cells
exp_11644,tumour,tumour,tumour
exp_11645,tumour,tumour,tumour
exp_11646,tumour,tumour,tumour
exp_11647,tumour,tumour,tumour
exp_11648,tumour,tumour,tumour
exp_11649,stroma-immune,stroma-immune,Unknown
exp_11650,stroma-immune,vessel,vessel
exp_11651,tumour,tumour,tumour
exp_11652,tumour,tumour,tumour
exp_11653,stroma-immune,vessel,vessel
exp_11654,tumour,tumour,tumour
exp_11655,stroma-immune,stroma-immune,other immune cells
exp_11656,stroma-fib,stroma-immune,other immune cells
exp_11657,stroma-immune,stroma-immune,other immune cells
exp_11658,tumour,tumour,tumour
exp_11659,stroma-immune,stroma-immune,CD4 T cells
exp_11660,stroma-immune,stroma-immune,Dendritic cells
exp_11661,stroma-immune,stroma-immune,other immune cells
exp_11662,stroma-immune,stroma-immune,CD4 T cells
exp_11663,stroma-immune,stroma-immune,CD4 T cells
exp_11664,stroma-fib,stroma-fib,myCAFs
exp_11665,stroma-immune,vessel,vessel
exp_11666,stroma-fib,stroma-immune,T cells
exp_11667,tumour,tumour,tumour
exp_11668,tumour,tumour,tumour
exp_11669,tumour,stroma-immune,Unknown
exp_11670,mix,tumour,tumour
