,annotation,annotation_level2,annotated_clusters_update3
exp_30602,stroma-fib,stroma-fib,myCAFs
exp_30603,tumour,tumour,tumour
exp_30604,tumour,tumour,tumour
exp_30605,tumour,tumour,tumour
exp_30606,tumour,tumour,tumour
exp_30607,tumour,tumour,tumour
exp_30608,stroma-immune,vessel,vessel
exp_30609,stroma-fib,stroma-immune,other immune cells
exp_30610,stroma-fib,stroma-immune,T cells
exp_30611,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30612,tumour,tumour,tumour
exp_30613,tumour,tumour,tumour
exp_30614,tumour,tumour,tumour
exp_30615,stroma-fib,stroma-fib,myCAFs
exp_30616,stroma-fib,stroma-fib,myCAFs
exp_30617,tumour,tumour,tumour
exp_30618,mix,tumour,tumour
exp_30619,tumour,tumour,tumour
exp_30620,tumour,tumour,tumour
exp_30621,tumour,tumour,tumour
exp_30622,stroma-immune,vessel,vessel
exp_30623,tumour,tumour,tumour
exp_30624,stroma-fib,stroma-fib,myCAFs
exp_30625,tumour,tumour,tumour
exp_30626,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30627,stroma-fib,stroma-immune,other immune cells
exp_30628,tumour,tumour,tumour
exp_30629,tumour,tumour,tumour
exp_30630,stroma-immune,vessel,vessel
exp_30631,stroma-fib,stroma-fib,myCAFs
exp_30632,tumour,tumour,tumour
exp_30633,tumour,tumour,tumour
exp_30634,tumour,tumour,tumour
exp_30635,tumour,tumour,tumour
exp_30636,stroma-immune,stroma-immune,other immune cells
exp_30637,stroma-immune,vessel,vessel
exp_30638,tumour,tumour,tumour
exp_30639,tumour,tumour,tumour
exp_30640,stroma-immune,stroma-immune,Monocytes
exp_30641,tumour,tumour,tumour
exp_30642,tumour,tumour,tumour
exp_30643,tumour,tumour,tumour
exp_30644,tumour,tumour,tumour
exp_30645,tumour,tumour,tumour
exp_30646,tumour,tumour,tumour
exp_30647,stroma-immune,stroma-immune,T cells
exp_30648,tumour,tumour,tumour
exp_30649,tumour,tumour,tumour
exp_30650,stroma-immune,vessel,vessel
exp_30651,stroma-fib,stroma-immune,other immune cells
exp_30652,tumour,tumour,tumour
exp_30653,tumour,tumour,tumour
exp_30654,tumour,tumour,tumour
exp_30655,stroma-fib,stroma-immune,Unknown
exp_30656,mix,tumour,tumour
exp_30657,tumour,stroma-immune,other immune cells
exp_30658,tumour,tumour,tumour
exp_30659,tumour,stroma-immune,other immune cells
exp_30660,tumour,tumour,tumour
exp_30661,stroma-immune,stroma-immune,other immune cells
exp_30662,stroma-fib,stroma-fib,myCAFs
exp_30663,tumour,tumour,tumour
exp_30664,tumour,tumour,tumour
exp_30665,tumour,tumour,tumour
exp_30666,tumour,stroma-immune,other immune cells
exp_30667,tumour,tumour,tumour
exp_30668,stroma-fib,stroma-fib,myCAFs
exp_30669,stroma-fib,stroma-immune,CD4 T cells
exp_30670,tumour,stroma-immune,Monocytes
exp_30671,tumour,tumour,tumour
exp_30672,tumour,tumour,tumour
exp_30673,stroma-immune,stroma-immune,CD4 T cells
exp_30674,tumour,tumour,tumour
exp_30675,tumour,tumour,tumour
exp_30676,stroma-fib,stroma-fib,Unknown
exp_30677,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30678,stroma-immune,stroma-immune,other immune cells
exp_30679,tumour,tumour,tumour
exp_30680,tumour,tumour,tumour
exp_30681,tumour,tumour,tumour
exp_30682,tumour,tumour,tumour
exp_30683,tumour,tumour,tumour
exp_30684,stroma-fib,stroma-fib,myCAFs
exp_30685,stroma-immune,stroma-immune,CD4 T cells
exp_30686,tumour,tumour,tumour
exp_30687,tumour,tumour,tumour
exp_30688,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30689,stroma-fib,stroma-fib,Unknown
exp_30690,stroma-fib,stroma-immune,CD4 T cells
exp_30691,stroma-fib,stroma-fib,myCAFs
exp_30692,stroma-fib,stroma-fib,myCAFs
exp_30693,stroma-fib,stroma-fib,myCAFs
exp_30694,tumour,tumour,tumour
exp_30695,tumour,stroma-immune,Unknown
exp_30696,stroma-immune,stroma-immune,Dendritic cells
exp_30697,tumour,tumour,tumour
exp_30698,tumour,tumour,tumour
exp_30699,tumour,tumour,tumour
exp_30700,tumour,tumour,tumour
exp_30701,tumour,tumour,tumour
exp_30702,tumour,tumour,tumour
exp_30703,tumour,stroma-immune,Unknown
exp_30704,tumour,tumour,tumour
exp_30705,tumour,tumour,tumour
exp_30706,tumour,tumour,tumour
exp_30707,tumour,tumour,tumour
exp_30708,stroma-fib,stroma-fib,myCAFs
exp_30709,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30710,tumour,tumour,tumour
exp_30711,tumour,tumour,tumour
exp_30712,tumour,tumour,tumour
exp_30713,tumour,stroma-immune,other immune cells
exp_30714,tumour,tumour,tumour
exp_30715,tumour,tumour,tumour
exp_30716,tumour,tumour,tumour
exp_30717,tumour,tumour,tumour
exp_30718,stroma-fib,stroma-fib,myCAFs
exp_30719,tumour,tumour,tumour
exp_30720,tumour,tumour,tumour
exp_30721,tumour,tumour,tumour
exp_30722,tumour,tumour,tumour
exp_30723,tumour,tumour,tumour
exp_30724,tumour,tumour,tumour
exp_30725,tumour,tumour,tumour
exp_30726,stroma-immune,vessel,vessel
exp_30727,tumour,tumour,tumour
exp_30728,stroma-fib,stroma-fib,myCAFs
exp_30729,stroma-immune,vessel,vessel
exp_30730,tumour,tumour,tumour
exp_30731,stroma-immune,stroma-immune,other immune cells
exp_30732,stroma-immune,stroma-immune,other immune cells
exp_30733,stroma-fib,stroma-fib,myCAFs
exp_30734,stroma-immune,stroma-immune,other immune cells
exp_30735,stroma-fib,stroma-fib,myCAFs
exp_30736,stroma-fib,stroma-fib,myCAFs
exp_30737,stroma-fib,stroma-fib,myCAFs
exp_30738,tumour,tumour,tumour
exp_30739,tumour,tumour,tumour
exp_30740,tumour,tumour,tumour
exp_30741,tumour,tumour,tumour
exp_30742,tumour,tumour,tumour
exp_30743,tumour,tumour,tumour
exp_30744,tumour,tumour,tumour
exp_30745,tumour,tumour,tumour
exp_30746,stroma-fib,stroma-immune,other immune cells
exp_30747,tumour,tumour,tumour
exp_30748,tumour,tumour,tumour
exp_30749,stroma-fib,stroma-immune,Unknown
exp_30750,tumour,tumour,tumour
exp_30751,stroma-fib,stroma-fib,myCAFs
exp_30752,stroma-immune,vessel,vessel
exp_30753,tumour,tumour,tumour
exp_30754,stroma-fib,stroma-fib,myCAFs
exp_30755,stroma-fib,stroma-fib,myCAFs
exp_30756,stroma-fib,stroma-fib,myCAFs
exp_30757,stroma-fib,stroma-fib,myCAFs
exp_30758,tumour,tumour,tumour
exp_30759,tumour,tumour,tumour
exp_30760,stroma-immune,stroma-immune,other immune cells
exp_30761,stroma-fib,stroma-fib,myCAFs
exp_30762,stroma-fib,stroma-fib,myCAFs
exp_30763,tumour,tumour,tumour
exp_30764,stroma-fib,stroma-fib,myCAFs
exp_30765,tumour,tumour,tumour
exp_30766,tumour,tumour,tumour
exp_30767,tumour,tumour,tumour
exp_30768,stroma-immune,stroma-immune,Unknown
exp_30769,stroma-immune,stroma-immune,T cells
exp_30770,stroma-fib,stroma-fib,myCAFs
exp_30771,tumour,tumour,tumour
exp_30772,tumour,tumour,tumour
exp_30773,stroma-fib,stroma-fib,myCAFs
exp_30774,tumour,tumour,tumour
exp_30775,tumour,tumour,tumour
exp_30776,tumour,tumour,tumour
exp_30777,tumour,stroma-immune,Unknown
exp_30778,tumour,tumour,tumour
exp_30779,stroma-fib,stroma-fib,myCAFs
exp_30780,tumour,tumour,tumour
exp_30781,tumour,tumour,tumour
exp_30782,stroma-immune,stroma-immune,CD4 T cells
exp_30783,stroma-fib,stroma-fib,myCAFs
exp_30784,stroma-immune,stroma-immune,other immune cells
exp_30785,tumour,tumour,tumour
exp_30786,tumour,tumour,tumour
exp_30787,stroma-immune,stroma-immune,other immune cells
exp_30788,tumour,tumour,tumour
exp_30789,tumour,stroma-immune,Unknown
exp_30790,tumour,tumour,tumour
exp_30791,stroma-fib,stroma-fib,myCAFs
exp_30792,stroma-fib,stroma-immune,CD4 T cells
exp_30793,tumour,tumour,tumour
exp_30794,tumour,tumour,tumour
exp_30795,tumour,stroma-immune,other immune cells
exp_30796,tumour,tumour,tumour
exp_30797,tumour,tumour,tumour
exp_30798,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30799,tumour,tumour,tumour
exp_30800,tumour,tumour,tumour
exp_30801,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30802,tumour,tumour,tumour
exp_30803,tumour,tumour,tumour
exp_30804,stroma-fib,stroma-fib,PDPN+ CAFs
exp_30805,tumour,tumour,tumour
exp_30806,stroma-fib,stroma-fib,myCAFs
exp_30807,tumour,tumour,tumour
exp_30808,tumour,tumour,tumour
exp_30809,stroma-fib,stroma-fib,Unknown
