,annotated_clusters_update3,svm_prediction
exp_136,noise,noise
exp_137,noise,noise
exp_138,noise,noise
exp_139,noise,noise
exp_140,noise,noise
exp_141,noise,noise
exp_142,noise,noise
exp_143,noise,noise
exp_144,noise,noise
exp_145,tumour,tumour
exp_146,noise,noise
exp_147,noise,noise
exp_148,noise,noise
exp_149,noise,noise
exp_150,noise,noise
exp_151,noise,noise
exp_152,noise,noise
exp_153,noise,noise
exp_154,tumour,tumour
exp_155,noise,noise
exp_156,noise,noise
exp_157,noise,noise
exp_158,noise,noise
exp_159,noise,noise
exp_160,noise,noise
exp_161,noise,noise
exp_162,noise,noise
exp_163,tumour,CD90+ CAFs
exp_164,noise,noise
exp_165,noise,noise
exp_166,noise,noise
exp_167,noise,noise
exp_168,noise,noise
exp_169,noise,noise
exp_170,noise,noise
exp_171,noise,noise
exp_172,noise,noise
exp_173,noise,noise
exp_174,noise,noise
exp_175,tumour,tumour
exp_176,noise,noise
exp_177,noise,noise
exp_178,noise,noise
exp_179,noise,noise
exp_180,noise,noise
exp_181,noise,noise
exp_182,noise,noise
exp_183,noise,noise
exp_184,noise,noise
exp_185,noise,noise
exp_186,noise,noise
exp_187,noise,noise
exp_188,noise,noise
exp_189,noise,noise
exp_190,CD90+ CAFs,CD90+ CAFs
exp_191,noise,noise
exp_192,noise,noise
exp_193,noise,noise
exp_194,noise,noise
exp_195,noise,noise
exp_196,myCAFs,tumour
exp_197,noise,noise
exp_198,noise,noise
exp_199,noise,noise
exp_200,noise,noise
exp_201,noise,noise
exp_202,noise,noise
exp_203,tumour,tumour
exp_204,noise,noise
exp_205,noise,noise
exp_206,noise,noise
exp_207,noise,noise
exp_208,noise,noise
exp_209,noise,noise
exp_210,noise,noise
exp_211,noise,noise
exp_212,noise,noise
exp_213,noise,noise
exp_214,noise,noise
exp_215,noise,noise
exp_216,noise,noise
exp_217,noise,noise
exp_218,noise,noise
exp_219,noise,noise
exp_220,noise,noise
exp_221,noise,noise
exp_222,noise,noise
exp_223,noise,noise
exp_224,noise,noise
exp_225,noise,noise
exp_226,tumour,tumour
exp_227,noise,noise
exp_228,tumour,tumour
exp_229,noise,noise
exp_230,noise,noise
exp_231,noise,noise
exp_232,noise,noise
exp_233,noise,noise
exp_234,noise,noise
exp_235,CD90+ CAFs,CD90+ CAFs
exp_236,noise,noise
exp_237,noise,noise
exp_238,noise,noise
exp_239,noise,noise
exp_240,noise,noise
exp_241,noise,noise
exp_242,noise,noise
exp_243,noise,noise
exp_244,noise,noise
exp_245,noise,noise
exp_246,tumour,tumour
exp_247,tumour,tumour
exp_248,noise,noise
exp_249,noise,noise
exp_250,noise,noise
exp_251,tumour,tumour
exp_252,tumour,tumour
exp_253,noise,noise
exp_254,noise,noise
exp_255,noise,noise
exp_256,tumour,tumour
exp_257,noise,noise
exp_258,noise,noise
exp_259,noise,noise
exp_260,noise,noise
exp_261,noise,noise
exp_262,noise,noise
exp_263,noise,noise
exp_264,noise,noise
exp_265,noise,noise
exp_266,noise,noise
exp_267,noise,noise
exp_268,noise,noise
exp_269,noise,noise
exp_270,noise,noise
exp_271,noise,noise
exp_272,noise,noise
exp_273,noise,noise
exp_274,noise,noise
exp_275,noise,noise
exp_276,noise,noise
exp_277,noise,noise
exp_278,noise,noise
exp_279,noise,noise
exp_280,noise,noise
exp_281,noise,noise
exp_282,noise,noise
exp_283,tumour,tumour
exp_284,noise,noise
exp_285,noise,noise
exp_286,noise,noise
exp_287,noise,noise
exp_288,tumour,tumour
exp_289,noise,noise
exp_290,noise,noise
exp_291,noise,noise
exp_292,PDPN+ CAFs,PDPN+ CAFs
exp_293,noise,noise
exp_294,noise,noise
exp_295,noise,noise
exp_296,tumour,tumour
exp_297,noise,noise
exp_298,noise,noise
exp_299,noise,noise
exp_300,noise,noise
exp_301,noise,noise
exp_302,noise,noise
exp_303,noise,noise
exp_304,noise,noise
exp_305,noise,noise
exp_306,noise,noise
exp_307,noise,noise
exp_308,noise,noise
exp_309,noise,noise
exp_310,noise,noise
exp_311,noise,noise
exp_312,noise,noise
exp_313,noise,noise
exp_314,noise,noise
exp_315,noise,noise
exp_316,noise,noise
exp_317,noise,noise
exp_318,tumour,tumour
exp_319,tumour,tumour
exp_320,noise,noise
exp_321,noise,noise
exp_322,noise,noise
exp_323,noise,noise
exp_324,noise,noise
exp_325,tumour,CD90+ CAFs
exp_326,noise,noise
exp_327,noise,noise
exp_328,noise,noise
exp_329,noise,noise
exp_330,noise,noise
exp_331,noise,noise
exp_332,noise,noise
exp_333,noise,noise
exp_334,noise,noise
exp_335,noise,noise
exp_336,noise,noise
exp_337,noise,noise
exp_338,noise,noise
exp_339,noise,noise
exp_340,noise,noise
exp_341,noise,noise
exp_342,noise,noise
exp_343,noise,noise
exp_344,noise,noise
exp_345,noise,noise
exp_346,noise,noise
exp_347,noise,noise
exp_348,noise,noise
exp_349,noise,noise
exp_350,noise,noise
exp_351,noise,noise
exp_352,tumour,CD90+ CAFs
exp_353,noise,noise
exp_354,tumour,tumour
exp_355,noise,noise
exp_356,noise,noise
exp_357,tumour,tumour
exp_358,noise,noise
exp_359,noise,noise
exp_360,noise,noise
exp_361,tumour,tumour
exp_362,noise,noise
exp_363,noise,noise
exp_364,tumour,tumour
exp_365,noise,noise
exp_366,noise,noise
exp_367,noise,noise
exp_368,noise,noise
exp_369,noise,noise
exp_370,noise,noise
exp_371,noise,noise
exp_372,noise,noise
exp_373,noise,noise
exp_374,noise,noise
exp_375,noise,noise
exp_376,noise,noise
exp_377,noise,noise
exp_378,noise,noise
exp_379,tumour,tumour
exp_380,noise,noise
exp_381,noise,noise
exp_382,noise,noise
exp_383,noise,noise
exp_384,noise,noise
exp_385,noise,noise
exp_386,noise,noise
exp_387,noise,noise
exp_388,noise,noise
exp_389,noise,noise
exp_390,tumour,tumour
exp_391,tumour,tumour
exp_392,noise,noise
exp_393,noise,noise
exp_394,noise,noise
exp_395,noise,noise
exp_396,noise,noise
exp_397,noise,noise
exp_398,noise,noise
exp_399,noise,noise
exp_400,noise,noise
exp_401,noise,noise
exp_402,noise,noise
exp_403,noise,noise
exp_404,noise,noise
exp_405,tumour,tumour
exp_406,noise,noise
exp_407,noise,noise
exp_408,noise,noise
exp_409,noise,noise
exp_410,noise,noise
exp_411,noise,noise
exp_412,noise,noise
exp_413,noise,noise
exp_414,noise,noise
exp_415,noise,noise
exp_416,noise,noise
exp_417,tumour,tumour
exp_418,noise,noise
exp_419,other immune cells,tumour
exp_420,noise,noise
exp_421,noise,noise
exp_422,noise,noise
exp_423,tumour,tumour
exp_424,noise,noise
exp_425,noise,noise
exp_426,noise,noise
exp_427,myCAFs,tumour
exp_428,noise,noise
exp_429,noise,noise
exp_430,noise,noise
exp_431,noise,noise
exp_432,noise,noise
exp_433,noise,noise
exp_434,noise,noise
exp_435,noise,noise
exp_436,noise,noise
exp_437,noise,noise
exp_438,noise,noise
exp_439,noise,noise
exp_440,noise,noise
exp_441,noise,noise
exp_442,noise,noise
exp_443,noise,noise
exp_444,noise,noise
exp_445,noise,noise
exp_446,tumour,tumour
exp_447,noise,noise
exp_448,tumour,tumour
exp_449,noise,noise
exp_450,noise,noise
exp_451,noise,noise
exp_452,noise,noise
exp_453,noise,noise
exp_454,noise,noise
exp_455,noise,noise
exp_456,noise,noise
exp_457,myCAFs,tumour
exp_458,tumour,CD90+ CAFs
exp_459,noise,noise
exp_460,noise,noise
exp_461,noise,noise
exp_462,noise,noise
exp_463,noise,noise
exp_464,noise,noise
exp_465,tumour,tumour
exp_466,noise,noise
exp_467,noise,noise
exp_468,noise,noise
exp_469,noise,noise
exp_470,tumour,tumour
exp_471,other immune cells,tumour
exp_472,noise,noise
exp_473,noise,noise
exp_474,noise,noise
exp_475,noise,noise
exp_476,noise,noise
exp_477,noise,noise
exp_478,noise,noise
exp_479,noise,noise
exp_480,noise,noise
exp_481,noise,noise
exp_482,noise,noise
exp_483,noise,noise
exp_484,noise,noise
exp_485,noise,noise
exp_486,noise,noise
exp_487,tumour,CD90+ CAFs
exp_488,noise,noise
exp_489,noise,noise
exp_490,noise,noise
exp_491,tumour,tumour
exp_492,noise,noise
exp_493,noise,noise
exp_494,noise,noise
exp_495,tumour,tumour
exp_496,noise,noise
exp_497,noise,noise
exp_498,noise,noise
exp_499,noise,noise
exp_500,noise,noise
exp_501,noise,noise
exp_502,noise,noise
exp_503,noise,noise
exp_504,noise,noise
exp_505,noise,noise
exp_506,noise,noise
exp_507,noise,noise
exp_508,noise,noise
exp_509,noise,noise
exp_510,noise,noise
exp_511,myCAFs,CD90+ CAFs
exp_512,noise,noise
exp_513,noise,noise
exp_514,tumour,tumour
exp_515,tumour,tumour
exp_516,noise,noise
exp_517,noise,noise
exp_518,noise,noise
exp_519,myCAFs,CD90+ CAFs
exp_520,noise,noise
exp_521,noise,noise
exp_522,noise,noise
exp_523,noise,noise
exp_524,noise,noise
exp_525,noise,noise
exp_526,noise,noise
exp_527,noise,noise
exp_528,noise,noise
exp_529,noise,noise
exp_530,noise,noise
exp_531,tumour,tumour
exp_532,noise,noise
exp_533,noise,noise
exp_534,noise,noise
exp_535,noise,noise
exp_536,noise,noise
exp_537,noise,noise
exp_538,noise,noise
exp_539,noise,noise
exp_540,noise,noise
exp_541,tumour,CD90+ CAFs
exp_542,noise,noise
exp_543,noise,noise
exp_544,noise,noise
exp_545,noise,noise
exp_546,tumour,tumour
exp_547,noise,noise
exp_548,noise,noise
exp_549,noise,noise
exp_550,noise,noise
exp_551,noise,noise
exp_552,noise,noise
exp_553,noise,noise
exp_554,noise,noise
exp_555,noise,noise
exp_556,noise,noise
exp_557,noise,noise
exp_558,noise,noise
exp_559,noise,noise
exp_560,noise,noise
exp_561,CD90+ CAFs,CD90+ CAFs
exp_562,noise,noise
exp_563,noise,noise
exp_564,noise,noise
exp_565,tumour,tumour
exp_566,noise,noise
exp_567,noise,noise
exp_568,noise,noise
exp_569,noise,noise
exp_570,noise,noise
exp_571,noise,noise
exp_572,noise,noise
exp_573,noise,noise
exp_574,noise,noise
exp_575,noise,noise
exp_576,noise,noise
exp_577,noise,noise
exp_578,noise,noise
exp_579,noise,noise
exp_580,noise,noise
exp_581,noise,noise
exp_582,noise,noise
exp_583,tumour,tumour
exp_584,noise,noise
exp_585,tumour,tumour
exp_586,noise,noise
exp_587,noise,noise
exp_588,noise,noise
exp_589,noise,noise
exp_590,noise,noise
exp_591,noise,noise
exp_592,noise,noise
exp_593,noise,noise
exp_594,noise,noise
exp_595,noise,noise
exp_596,noise,noise
exp_597,noise,noise
exp_598,noise,noise
exp_599,myCAFs,tumour
exp_600,noise,noise
exp_601,noise,noise
exp_602,noise,noise
exp_603,noise,noise
exp_604,noise,noise
exp_605,noise,noise
exp_606,noise,noise
exp_607,tumour,tumour
exp_608,noise,noise
exp_609,noise,noise
exp_610,noise,noise
exp_611,noise,noise
exp_612,noise,noise
exp_613,noise,noise
exp_614,noise,noise
exp_615,noise,noise
exp_616,noise,noise
exp_617,tumour,tumour
exp_618,noise,noise
exp_619,noise,noise
exp_620,noise,noise
exp_621,noise,noise
exp_622,noise,noise
exp_623,noise,noise
exp_624,noise,noise
exp_625,noise,noise
exp_626,noise,noise
exp_627,noise,noise
exp_628,noise,noise
exp_629,noise,noise
exp_630,noise,noise
exp_631,noise,noise
exp_632,noise,noise
exp_633,noise,noise
exp_634,noise,noise
exp_635,noise,noise
exp_636,noise,noise
exp_637,noise,noise
exp_638,noise,noise
exp_639,noise,noise
exp_640,noise,noise
exp_641,noise,noise
exp_642,noise,noise
exp_643,noise,noise
exp_644,noise,noise
exp_645,noise,noise
exp_646,noise,noise
exp_647,noise,noise
exp_648,noise,noise
exp_649,noise,noise
exp_650,noise,noise
exp_651,noise,noise
exp_652,noise,noise
exp_653,noise,noise
exp_654,noise,noise
exp_655,noise,noise
exp_656,noise,noise
exp_657,noise,noise
exp_658,noise,noise
exp_659,noise,noise
exp_660,noise,noise
exp_661,tumour,CD90+ CAFs
exp_662,tumour,tumour
exp_663,CD90+ CAFs,CD90+ CAFs
exp_664,tumour,tumour
exp_665,noise,noise
exp_666,tumour,tumour
exp_667,noise,noise
exp_668,noise,noise
exp_669,noise,noise
exp_670,noise,noise
exp_671,noise,noise
exp_672,noise,noise
exp_673,noise,noise
exp_674,noise,noise
exp_675,noise,noise
exp_676,noise,noise
exp_677,noise,noise
exp_678,noise,noise
exp_679,noise,noise
exp_680,tumour,tumour
exp_681,noise,noise
exp_682,noise,noise
exp_683,noise,noise
exp_684,noise,noise
exp_685,noise,noise
exp_686,noise,noise
exp_687,noise,noise
exp_688,noise,noise
exp_689,noise,noise
exp_690,noise,noise
exp_691,tumour,tumour
exp_692,noise,noise
exp_693,noise,noise
exp_694,noise,noise
exp_695,noise,noise
exp_696,myCAFs,CD90+ CAFs
exp_697,noise,noise
exp_698,noise,noise
exp_699,noise,noise
exp_700,noise,noise
exp_701,noise,noise
exp_702,noise,noise
exp_703,noise,noise
exp_704,noise,noise
exp_705,noise,noise
exp_706,noise,noise
exp_707,noise,noise
exp_708,noise,noise
exp_709,noise,noise
exp_710,noise,noise
exp_711,noise,noise
exp_712,noise,noise
exp_713,noise,noise
exp_714,tumour,tumour
exp_715,noise,noise
exp_716,noise,noise
exp_717,noise,noise
exp_718,noise,noise
exp_719,noise,noise
exp_720,noise,noise
exp_721,noise,noise
exp_722,noise,noise
exp_723,noise,noise
exp_724,tumour,tumour
exp_725,noise,noise
exp_726,noise,noise
exp_727,noise,noise
exp_728,tumour,tumour
exp_729,noise,noise
exp_730,noise,noise
exp_731,noise,noise
exp_732,noise,noise
exp_733,noise,noise
exp_734,noise,noise
exp_735,noise,noise
exp_736,noise,noise
exp_737,noise,noise
exp_738,noise,noise
exp_739,noise,noise
exp_740,noise,noise
exp_741,tumour,tumour
exp_742,noise,noise
exp_743,noise,noise
exp_744,noise,noise
exp_745,noise,noise
exp_746,noise,noise
exp_747,noise,noise
exp_748,noise,noise
exp_749,noise,noise
exp_750,noise,noise
exp_751,noise,noise
exp_752,noise,noise
exp_753,tumour,tumour
exp_754,noise,noise
exp_755,noise,noise
exp_756,noise,noise
exp_757,noise,noise
exp_758,noise,noise
exp_759,noise,noise
exp_760,noise,noise
exp_761,noise,noise
exp_762,noise,noise
exp_763,tumour,tumour
exp_764,tumour,tumour
exp_765,noise,noise
exp_766,tumour,tumour
exp_767,noise,noise
exp_768,noise,noise
exp_769,noise,noise
exp_770,noise,noise
exp_771,noise,noise
exp_772,noise,noise
exp_773,noise,noise
exp_774,noise,noise
exp_775,noise,noise
exp_776,tumour,tumour
exp_777,noise,noise
exp_778,noise,noise
exp_779,noise,noise
exp_780,noise,noise
exp_781,noise,noise
exp_782,noise,noise
exp_783,tumour,tumour
exp_784,noise,noise
exp_785,noise,noise
exp_786,noise,noise
exp_787,tumour,tumour
exp_788,noise,noise
exp_789,noise,noise
exp_790,noise,noise
exp_791,noise,noise
exp_792,noise,noise
exp_793,noise,noise
exp_794,tumour,tumour
exp_795,noise,noise
exp_796,noise,noise
exp_797,noise,noise
exp_798,tumour,tumour
exp_799,noise,noise
exp_800,noise,noise
exp_801,noise,noise
exp_802,tumour,tumour
exp_803,noise,noise
exp_804,noise,noise
exp_805,noise,noise
exp_806,noise,noise
exp_807,noise,noise
exp_808,noise,noise
exp_809,tumour,tumour
exp_810,noise,noise
exp_811,noise,noise
exp_812,noise,noise
exp_813,tumour,tumour
exp_814,noise,noise
exp_815,noise,noise
exp_816,noise,noise
exp_817,noise,noise
exp_818,noise,noise
exp_819,noise,noise
exp_820,tumour,tumour
exp_821,noise,noise
exp_822,tumour,tumour
exp_823,noise,noise
exp_824,noise,noise
exp_825,tumour,tumour
exp_826,tumour,tumour
exp_827,noise,noise
exp_828,noise,noise
exp_829,noise,noise
exp_830,noise,noise
exp_831,noise,noise
exp_832,noise,noise
exp_833,noise,noise
exp_834,T cells,T cells
exp_835,noise,noise
exp_836,tumour,tumour
exp_837,tumour,tumour
exp_838,noise,noise
exp_839,noise,noise
exp_840,noise,noise
exp_841,noise,noise
exp_842,noise,noise
exp_843,noise,noise
exp_844,noise,noise
exp_845,tumour,tumour
exp_846,noise,noise
exp_847,noise,noise
exp_848,noise,noise
exp_849,noise,noise
exp_850,tumour,tumour
exp_851,noise,noise
exp_852,tumour,tumour
exp_853,noise,noise
exp_854,noise,noise
exp_855,noise,noise
exp_856,tumour,tumour
exp_857,noise,noise
exp_858,noise,noise
exp_859,tumour,tumour
exp_860,noise,noise
exp_861,noise,noise
exp_862,noise,noise
exp_863,noise,noise
exp_864,noise,noise
exp_865,tumour,tumour
exp_866,noise,noise
exp_867,tumour,tumour
exp_868,tumour,tumour
exp_869,noise,noise
exp_870,noise,noise
exp_871,noise,noise
exp_872,noise,noise
exp_873,noise,noise
exp_874,tumour,tumour
exp_875,noise,noise
exp_876,noise,noise
exp_877,noise,noise
exp_878,noise,noise
exp_879,noise,noise
exp_880,noise,noise
exp_881,noise,noise
exp_882,noise,noise
exp_883,noise,noise
exp_884,noise,noise
exp_885,noise,noise
exp_886,noise,noise
exp_887,noise,noise
exp_888,noise,noise
exp_889,noise,noise
exp_890,tumour,tumour
exp_891,noise,noise
exp_892,noise,noise
exp_893,noise,noise
exp_894,noise,noise
exp_895,tumour,tumour
exp_896,tumour,tumour
exp_897,tumour,tumour
exp_898,tumour,tumour
exp_899,noise,noise
exp_900,tumour,tumour
exp_901,tumour,tumour
exp_902,noise,noise
exp_903,tumour,tumour
exp_904,noise,noise
exp_905,noise,noise
exp_906,noise,noise
exp_907,noise,noise
exp_908,noise,noise
exp_909,noise,noise
exp_910,noise,noise
exp_911,noise,noise
exp_912,noise,noise
exp_913,noise,noise
exp_914,noise,noise
exp_915,tumour,tumour
exp_916,noise,noise
exp_917,noise,noise
exp_918,noise,noise
exp_919,noise,noise
exp_920,noise,noise
exp_921,noise,noise
exp_922,noise,noise
exp_923,noise,noise
exp_924,noise,noise
exp_925,noise,noise
exp_926,noise,noise
exp_927,noise,noise
exp_928,noise,noise
exp_929,noise,noise
exp_930,noise,noise
exp_931,tumour,tumour
exp_932,tumour,tumour
exp_933,tumour,tumour
exp_934,noise,noise
exp_935,tumour,tumour
exp_936,noise,noise
exp_937,tumour,tumour
exp_938,noise,noise
exp_939,noise,noise
exp_940,noise,noise
exp_941,noise,noise
exp_942,noise,noise
exp_943,noise,noise
exp_944,noise,noise
exp_945,noise,noise
exp_946,noise,noise
exp_947,tumour,tumour
exp_948,other immune cells,tumour
exp_949,noise,noise
exp_950,noise,noise
exp_951,noise,noise
exp_952,noise,noise
exp_953,tumour,tumour
exp_954,noise,noise
exp_955,noise,noise
exp_956,tumour,tumour
exp_957,noise,noise
exp_958,noise,noise
exp_959,noise,noise
exp_960,noise,noise
exp_961,noise,noise
exp_962,noise,noise
exp_963,other immune cells,tumour
exp_964,noise,noise
exp_965,noise,noise
exp_966,noise,noise
exp_967,noise,noise
exp_968,noise,noise
exp_969,noise,noise
exp_970,noise,noise
exp_971,noise,noise
exp_972,tumour,tumour
exp_973,noise,noise
exp_974,noise,noise
exp_975,noise,noise
exp_976,noise,noise
exp_977,tumour,tumour
exp_978,noise,noise
exp_979,tumour,tumour
exp_980,noise,noise
exp_981,noise,noise
exp_982,noise,noise
exp_983,noise,noise
exp_984,tumour,tumour
exp_985,noise,noise
exp_986,tumour,tumour
exp_987,noise,noise
exp_988,noise,noise
exp_989,noise,noise
exp_990,noise,noise
exp_991,noise,noise
exp_992,Macrophages,Macrophages
exp_993,noise,noise
exp_994,noise,noise
exp_995,noise,noise
exp_996,noise,noise
exp_997,noise,noise
exp_998,noise,noise
exp_999,noise,noise
exp_1000,noise,noise
exp_1001,other immune cells,CD90+ CAFs
exp_1002,noise,noise
exp_1003,noise,noise
exp_1004,noise,noise
exp_1005,noise,noise
exp_1006,noise,noise
exp_1007,noise,noise
exp_1008,tumour,tumour
exp_1009,noise,noise
exp_1010,noise,noise
exp_1011,noise,noise
exp_1012,tumour,tumour
exp_1013,noise,noise
exp_1014,tumour,tumour
exp_1015,noise,noise
exp_1016,noise,noise
exp_1017,noise,noise
exp_1018,noise,noise
exp_1019,noise,noise
exp_1020,noise,noise
exp_1021,noise,noise
exp_1022,noise,noise
exp_1023,noise,noise
exp_1024,noise,noise
exp_1025,noise,noise
exp_1026,noise,noise
exp_1027,noise,noise
exp_1028,noise,noise
exp_1029,tumour,tumour
exp_1030,noise,noise
exp_1031,noise,noise
exp_1032,noise,noise
exp_1033,noise,noise
exp_1034,noise,noise
exp_1035,tumour,tumour
exp_1036,noise,noise
exp_1037,noise,noise
exp_1038,noise,noise
exp_1039,noise,noise
exp_1040,noise,noise
exp_1041,noise,noise
exp_1042,noise,noise
exp_1043,noise,noise
exp_1044,noise,noise
exp_1045,noise,noise
exp_1046,noise,noise
exp_1047,tumour,tumour
exp_1048,noise,noise
exp_1049,noise,noise
exp_1050,CD90+ CAFs,CD90+ CAFs
exp_1051,noise,noise
exp_1052,noise,noise
exp_1053,noise,noise
exp_1054,noise,noise
exp_1055,noise,noise
exp_1056,noise,noise
exp_1057,noise,noise
exp_1058,noise,noise
exp_1059,noise,noise
exp_1060,noise,noise
exp_1061,noise,noise
exp_1062,noise,noise
exp_1063,noise,noise
exp_1064,noise,noise
exp_1065,noise,noise
exp_1066,noise,noise
exp_1067,noise,noise
exp_1068,noise,noise
exp_1069,tumour,tumour
exp_1070,noise,noise
exp_1071,noise,noise
exp_1072,noise,noise
exp_1073,noise,noise
exp_1074,noise,noise
exp_1075,noise,noise
exp_1076,noise,noise
exp_1077,tumour,tumour
exp_1078,noise,noise
exp_1079,noise,noise
exp_1080,noise,noise
exp_1081,noise,noise
exp_1082,noise,noise
exp_1083,noise,noise
exp_1084,noise,noise
exp_1085,noise,noise
exp_1086,tumour,tumour
exp_1087,noise,noise
exp_1088,noise,noise
exp_1089,noise,noise
exp_1090,noise,noise
exp_1091,noise,noise
exp_1092,noise,noise
exp_1093,Unknown,tumour
exp_1094,noise,noise
exp_1095,noise,noise
exp_1096,noise,noise
exp_1097,tumour,tumour
exp_1098,noise,noise
exp_1099,noise,noise
exp_1100,noise,noise
exp_1101,noise,noise
exp_1102,noise,noise
exp_1103,noise,noise
exp_1104,noise,noise
exp_1105,noise,noise
exp_1106,noise,noise
exp_1107,noise,noise
exp_1108,noise,noise
exp_1109,noise,noise
exp_1110,tumour,tumour
exp_1111,noise,noise
exp_1112,noise,noise
exp_1113,noise,noise
exp_1114,noise,noise
exp_1115,noise,noise
exp_1116,noise,noise
exp_1117,noise,noise
exp_1118,noise,noise
exp_1119,noise,noise
exp_1120,noise,noise
exp_1121,noise,noise
exp_1122,noise,noise
exp_1123,noise,noise
exp_1124,noise,noise
exp_1125,noise,noise
exp_1126,noise,noise
exp_1127,noise,noise
exp_1128,noise,noise
exp_1129,noise,noise
exp_1130,noise,noise
exp_1131,noise,noise
exp_1132,noise,noise
exp_1133,noise,noise
exp_1134,tumour,tumour
exp_1135,noise,noise
exp_1136,noise,noise
exp_1137,tumour,tumour
exp_1138,noise,noise
exp_1139,noise,noise
exp_1140,noise,noise
exp_1141,noise,noise
exp_1142,noise,noise
exp_1143,noise,noise
exp_1144,noise,noise
exp_1145,noise,noise
exp_1146,noise,noise
exp_1147,noise,noise
exp_1148,CD90+ CAFs,tumour
exp_1149,noise,noise
exp_1150,noise,noise
exp_1151,noise,noise
exp_1152,noise,noise
exp_1153,noise,noise
exp_1154,noise,noise
exp_1155,noise,noise
exp_1156,noise,noise
exp_1157,noise,noise
exp_1158,noise,noise
exp_1159,noise,noise
exp_1160,noise,noise
exp_1161,noise,noise
exp_1162,noise,noise
exp_1163,noise,noise
exp_1164,noise,noise
exp_1165,noise,noise
exp_1166,noise,noise
exp_1167,noise,noise
exp_1168,noise,noise
exp_1169,noise,noise
exp_1170,tumour,tumour
exp_1171,noise,noise
exp_1172,noise,noise
exp_1173,noise,noise
exp_1174,noise,noise
exp_1175,noise,noise
exp_1176,noise,noise
exp_1177,noise,noise
exp_1178,noise,noise
exp_1179,noise,noise
exp_1180,noise,noise
exp_1181,noise,noise
exp_1182,noise,noise
exp_1183,noise,noise
exp_1184,noise,noise
exp_1185,noise,noise
exp_1186,noise,noise
exp_1187,noise,noise
exp_1188,noise,noise
exp_1189,noise,noise
exp_1190,noise,noise
exp_1191,noise,noise
exp_1192,noise,noise
exp_1193,noise,noise
exp_1194,noise,noise
exp_1195,noise,noise
exp_1196,noise,noise
exp_1197,noise,noise
exp_1198,noise,noise
exp_1199,noise,noise
exp_1200,noise,noise
exp_1201,noise,noise
exp_1202,noise,noise
exp_1203,noise,noise
exp_1204,T cells,T cells
exp_1205,noise,noise
exp_1206,noise,noise
