,svm_prob_CD4 T cells,svm_prob_CD90+ CAFs,svm_prob_Dendritic cells,svm_prob_Macrophages,svm_prob_Monocytes,svm_prob_PDPN+ CAFs,svm_prob_T cells,svm_prob_myCAFs,svm_prob_other immune cells,svm_prob_tumour,svm_prob_vessel
exp_15112,1.2848041194652142e-08,1.731802889137304e-08,1.562295752282149e-08,8.985124135333547e-09,1.5504013919785112e-08,2.243867700006905e-08,1.3232175052697947e-08,4.924572935597718e-08,5.053733069773962e-08,0.9999992191834853,5.75084436788994e-07
exp_15113,0.00021103350298025002,0.0002447314335657751,0.0007466186641388963,0.00018120182049963802,0.0005083697215629861,0.003200719623446896,0.00028677425723061837,0.8350189938123396,0.13265802112214814,0.02373550776645951,0.0032080282756276565
exp_15114,4.6467244734842454e-07,6.366158921184996e-07,8.312604475817685e-06,1.6514007313232305e-06,1.3103767097231449e-05,2.031132512076503e-05,6.566163748376656e-06,0.00014708847601864952,0.0007970260636998892,0.9989940111495508,1.0827761217833082e-05
exp_15115,8.139606575488182e-07,7.165186907653287e-06,0.0011899427323119197,3.056439151745793e-06,4.825464247290078e-06,9.681425174454409e-05,3.1440121176702907e-06,0.996708922516437,0.0016656247108395804,0.0003176625217323054,2.0282038525795013e-06
exp_15116,0.0033523037697417804,0.0020565697535307034,0.013918860902439788,0.25052316100340394,0.0036630046646536144,0.003235996290870894,0.009614013641042063,0.28500636731580437,0.35529554571803224,0.0690391938272485,0.004294983113232692
exp_15117,0.0032031095126047243,0.0008027523092541953,0.0008880161986102072,0.002835699423821669,0.0027093131293037006,0.004300701880380569,0.002513964993529563,0.6679856254542962,0.019846435756676557,0.2894341252844625,0.005480256057060531
exp_15118,2.2784123271045468e-08,2.9027802938194233e-08,2.6307960571608617e-08,1.5760674217241773e-08,2.5460998083121532e-08,3.965240081957328e-08,2.0765818840882595e-08,8.633410187311651e-08,7.581603632036873e-08,0.9999972177050555,2.4403850277062162e-06
exp_15119,3.804864626914029e-05,3.3113387962168634e-06,3.3133873475034085e-06,4.687498569945888e-06,4.647229431245485e-06,3.0567649602772666e-06,3.3462101557808725e-05,8.563096954848754e-06,0.004171376645691162,6.898281571562697e-05,0.9956605504747063
exp_15120,0.002009113162258691,0.0005524414515745093,0.0003727032369258054,0.6415595428385549,0.0010262794492227217,0.00045163393474923326,0.0006610728525553226,0.023158718340073655,0.004396220264150883,0.3241632886729247,0.0016489857970097804
exp_15121,0.0023404991651775836,0.0010483161404011786,0.001710309475602541,0.0016748652260413276,0.0018254119917866702,0.04872931931962599,0.004402420957377827,0.01313081669527352,0.1222076477259365,0.6285448013067733,0.1743855919960032
exp_15122,1.8664288068756626e-06,8.000491784708024e-06,9.021301055523602e-07,2.585034044377925e-06,8.385333705462713e-07,1.4660430375360006e-05,0.0001297699606717821,2.500791258128715e-05,0.000832591383915658,0.9989817892520434,1.988442300283129e-06
exp_15123,0.013149009771462617,0.00546458579373674,0.06005229308467702,0.0027180722668815357,0.0042524661246356845,0.016811449588704938,0.37654450453236826,0.3675336070555341,0.11448650046347862,0.035722659441540926,0.0032648518769794878
exp_15124,2.044923113135081e-06,0.0014195562962925157,3.525006184785575e-05,5.965195370648305e-05,5.6987195858216935e-05,0.000974816610955024,3.3257002178768495e-05,0.0003918865160431363,0.00029624568673525936,0.9967014431088171,2.8860644452246266e-05
exp_15125,4.972395947197001e-07,4.722277362254077e-06,1.9787455570552462e-06,5.096606955955979e-06,1.5658681983061347e-05,0.0016430423984608803,5.164646824006409e-06,3.608423842113221e-05,4.724295530931905e-05,0.9982398884208025,6.237887291043407e-07
exp_15126,0.00015633016704540774,0.00015230508384533675,0.00014858113149293943,7.228022431889982e-05,0.000751018854958297,0.00016621268986820816,0.0001602329324525523,0.004950956633031548,0.02322175013208143,0.6898906062163276,0.280329725934578
exp_15127,2.1156491835033702e-08,3.249789145700494e-08,2.9067539268977064e-08,1.5775763680434463e-08,2.600448464780812e-08,4.4520946851908517e-08,2.1795262531069943e-08,6.61426960682648e-08,9.247603343270981e-08,0.9999986537300529,9.968328373136603e-07
exp_15128,5.613452896164124e-08,8.523315678987948e-08,7.752381782226732e-08,4.512314905262698e-08,6.977669189295859e-08,9.77363822441136e-08,5.671834262425381e-08,2.0530150477657145e-07,2.2337199976164125e-07,0.9999970740427775,2.0090376485740663e-06
exp_15129,2.1733072108492193e-07,5.36438972010526e-07,7.917600164546421e-06,8.560934227772922e-07,8.232398542433717e-06,5.686902203852231e-05,2.5843080640367384e-06,5.251806656157299e-05,0.00047548540282703393,0.9993894897331449,5.29360554136457e-06
exp_15130,0.00022146941104653862,0.0006530120653598739,0.0008531408242462886,0.8481417037303114,0.005598873713937576,0.001267126972708127,0.0002329554260197857,0.0881209875766786,0.005306147074038972,0.04779163393523491,0.0018129492704186472
exp_15131,2.2753350947246624e-07,5.16173400251039e-07,2.8628104864146375e-06,5.808486574515226e-07,3.4851166264758744e-06,8.643115626516103e-06,1.938106722159307e-06,0.00012240932559036175,0.001018494317984387,0.9988392690671831,1.5735842136217316e-06
exp_15132,4.201213158264018e-06,1.98212388294196e-05,0.0008553853251049918,1.1003621197599288e-05,1.914653354681132e-06,0.00017579859563044277,8.711955459935754e-05,0.9976212354565651,0.0006981835224849732,0.0005170955410367949,8.241278038262818e-06
exp_15133,8.681024478793598e-08,1.160545986568494e-07,1.0846506444446526e-07,6.7485317795388e-08,1.057468771038407e-07,1.4415027074110163e-07,8.220455975804964e-08,3.2426875862942163e-07,2.8586231376936105e-07,0.9999924689002522,6.210051742135295e-06
