cell_id,group
aagiclfg-1,T cells
aagiikch-1,Fibroblasts
aagiplgg-1,Fibroblasts
aagipmfh-1,Fibroblasts
aagkajok-1,T cells
aagkfbpg-1,Fibroblasts
aagkknfp-1,Unknown
aagkmedm-1,Unknown
aagkonik-1,Endothelial cells
aagllcfe-1,T cells
aaglombe-1,T cells
aagmcjml-1,T cells
aagmpndb-1,Fibroblasts
aagncdje-1,Fibroblasts
aagnibnd-1,Fibroblasts
aagnkmfl-1,Fibroblasts
aagohdck-1,Fibroblasts
aagojngm-1,Myeloid cells
aagokikh-1,Fibroblasts
aagpfbjp-1,Myeloid cells
aagpmgna-1,Myeloid cells
aahabmfn-1,Endothelial cells
aahacemf-1,Fibroblasts
aahadddn-1,Myeloid cells
aahagpin-1,Fibroblasts
aahbcgen-1,Fibroblasts
aahcfhho-1,Endothelial cells
aahcndla-1,Myeloid cells
aahdainc-1,Unknown
aahdhkln-1,Fibroblasts
aahdnboa-1,Endothelial cells
aahdobhf-1,Myeloid cells
aahedahg-1,Myeloid cells
aahefkkk-1,Myeloid cells
aahehnag-1,Fibroblasts
aahekbpi-1,Endothelial cells
aahekgcf-1,Myeloid cells
aahelddm-1,Myeloid cells
aahemphe-1,Unknown
aahenobd-1,Mast cells
aahfbecl-1,T cells
aahfbmpe-1,Myeloid cells
aahgbhmk-1,Myeloid cells
aahgehij-1,Myeloid cells
aahgmghl-1,Fibroblasts
aahhdbkd-1,Fibroblasts
aahhehii-1,Fibroblasts
aahhffdj-1,Fibroblasts
aahhngna-1,Unknown
aahicnma-1,Fibroblasts
aahidolp-1,Fibroblasts
aahigahd-1,Fibroblasts
aahijfmj-1,Fibroblasts
aahikphd-1,Myeloid cells
aahjapfb-1,T cells
aahjiokc-1,Myeloid cells
aahjjcfn-1,Myeloid cells
aahkpapb-1,T cells
aahkpbpk-1,Mast cells
aahlbhha-1,Unknown
aahllcif-1,Fibroblasts
aahlmobe-1,T cells
aahloekm-1,Fibroblasts
aahlolbp-1,Endothelial cells
aahmnbpc-1,Unknown
aahnfknl-1,Fibroblasts
aahnnagm-1,Fibroblasts
aahopfgf-1,Fibroblasts
aahpcfed-1,Fibroblasts
aahpgkcc-1,Fibroblasts
aahpodfc-1,T cells
aaiacpja-1,Myeloid cells
aaiahbge-1,Fibroblasts
aaiakkgh-1,Fibroblasts
aaiaollj-1,Fibroblasts
aaibcoib-1,Unknown
aaichaln-1,T cells
aaicmoem-1,Fibroblasts
aaicogmo-1,Fibroblasts
aaidapll-1,Myeloid cells
aaieekbb-1,Fibroblasts
aaiefooa-1,Islets
aaiehoek-1,Fibroblasts
aaieknnf-1,Fibroblasts
aaifaogj-1,Myeloid cells
aaifokob-1,Endothelial cells
aaigahnh-1,Myeloid cells
aaigfcdc-1,Unknown
aaigloni-1,Myeloid cells
aaigoijn-1,T cells
aaihamfp-1,Myeloid cells
