cell_id,group
aakollkp-1,acinar epithelial
aakooone-1,ductal/tumor epithelial
aakpjnln-1,acinar epithelial
aalaigbm-1,acinar epithelial
aalbaidd-1,ductal/tumor epithelial
aalbibka-1,acinar epithelial
aalbjfcl-1,endothelial
aalcbhpn-1,acinar epithelial
aalchfjj-1,acinar epithelial
aaldcdcd-1,acinar epithelial
aalddjmf-1,acinar epithelial
aalengnp-1,proliferative ductal/tumor epithelial
aalfgjla-1,ductal/tumor epithelial
aalhnkll-1,ductal/tumor epithelial
aalhpffa-1,acinar epithelial
aalibdia-1,endothelial
aalipacj-1,ductal/tumor epithelial
aaljaaag-1,acinar epithelial
aalkahjg-1,acinar epithelial
aalkmdbh-1,acinar epithelial
aallgiaj-1,acinar epithelial
aalmaefi-1,acinar epithelial
aalmkahi-1,ductal/tumor epithelial
aalnmdmo-1,acinar epithelial
aalnpgic-1,ductal/tumor epithelial
aaloabnh-1,acinar epithelial
aalokabe-1,acinar epithelial
aalpmbbp-1,ductal/tumor epithelial
aamadgde-1,acinar epithelial
aamahoee-1,acinar epithelial
aambpahh-1,acinar epithelial
aamcchib-1,acinar epithelial
aamdadmp-1,myeloid/macrophage
aamdlnip-1,acinar epithelial
aamdpcpi-1,ductal/tumor epithelial
aamegpde-1,ductal/tumor epithelial
aamemmpe-1,acinar epithelial
aamgnojf-1,acinar epithelial
aamhgepp-1,acinar epithelial
aamhhcij-1,acinar epithelial
aamhhibg-1,acinar epithelial
aamhhoem-1,acinar epithelial
aamiigoh-1,acinar epithelial
aamjbpho-1,acinar epithelial
aamjekfm-1,acinar epithelial
aammband-1,ductal/tumor epithelial
aammifok-1,ductal/tumor epithelial
aamnhfge-1,ductal/tumor epithelial
aamnhgob-1,acinar epithelial
aanajofe-1,myeloid/macrophage
aanakgpf-1,ductal/tumor epithelial
aananoog-1,ductal/tumor epithelial
aanbjhaj-1,acinar epithelial
aanchcbg-1,ductal/tumor epithelial
aanchnhl-1,ductal/tumor epithelial
aanckdln-1,acinar epithelial
aancnokl-1,ductal/tumor epithelial
aandebli-1,ductal/tumor epithelial
aandjkpo-1,acinar epithelial
aandokaj-1,acinar epithelial
aanejakd-1,acinar epithelial
aanfhogn-1,acinar epithelial
aanfimgh-1,acinar epithelial
aanfpmaj-1,acinar epithelial
aangagmb-1,acinar epithelial
aangdfeg-1,acinar epithelial
aangjjho-1,acinar epithelial
aanhmgao-1,acinar epithelial
aanhnenc-1,endothelial
aanhodik-1,acinar epithelial
aanihmin-1,proliferative ductal/tumor epithelial
aanikega-1,acinar epithelial
aanimimi-1,endothelial
aaninlgb-1,activated fibroblast/stellate
aankdbeh-1,endothelial
aankodni-1,acinar epithelial
aanlajkp-1,endothelial
aanlcocl-1,ductal/tumor epithelial
aannahnk-1,acinar epithelial
aanncoci-1,acinar epithelial
aannmfpi-1,myeloid/macrophage
aanoiccl-1,activated fibroblast/stellate
aanpggoh-1,acinar epithelial
aanpipjp-1,ductal/tumor epithelial
aanpnmdd-1,acinar epithelial
aaoaajel-1,acinar epithelial
aaoabmjn-1,endothelial
aaoapmhf-1,proliferative ductal/tumor epithelial
aaobcggi-1,ductal/tumor epithelial
aaobkmcb-1,acinar epithelial
aaocdidj-1,acinar epithelial
aaodnepp-1,proliferative ductal/tumor epithelial
aaoffaec-1,acinar epithelial
aaofjhoh-1,acinar epithelial
aaoginnl-1,endothelial
aaohpmfo-1,Tregs
aaoihjcc-1,endothelial
aaoiohle-1,proliferative ductal/tumor epithelial
aaojiehi-1,acinar epithelial
aaojkmmn-1,acinar epithelial
aaojnhkb-1,ductal/tumor epithelial
aaolglek-1,acinar epithelial
aaoljimh-1,acinar epithelial
aaollcdl-1,acinar epithelial
aaomlgdd-1,ductal/tumor epithelial
aaonclpe-1,ductal/tumor epithelial
aaoneene-1,acinar epithelial
aaongajm-1,activated fibroblast/stellate
aaoodcje-1,activated fibroblast/stellate
aaoohgel-1,endothelial
aaoojiif-1,acinar epithelial
aaoolocp-1,activated fibroblast/stellate
aaoomhnn-1,acinar epithelial
aaopjoma-1,acinar epithelial
aaopmbcm-1,acinar epithelial
aapalble-1,acinar epithelial
aapamehn-1,acinar epithelial
aapbhkee-1,ductal/tumor epithelial
aapccokp-1,ductal/tumor epithelial
aapcgfhe-1,ductal/tumor epithelial
aapckapk-1,ductal/tumor epithelial
aapcnehn-1,acinar epithelial
aapdcacc-1,acinar epithelial
aapddfhp-1,acinar epithelial
aapdfcdp-1,acinar epithelial
aapfagca-1,acinar epithelial
aapfkjpa-1,ductal/tumor epithelial
aapgaflb-1,acinar epithelial
aapgbkbl-1,acinar epithelial
aapgohic-1,ductal/tumor epithelial
aaphlmee-1,activated fibroblast/stellate
aaphppde-1,acinar epithelial
aapinlob-1,acinar epithelial
aapkjnpe-1,myeloid/macrophage
aaplmimi-1,acinar epithelial
aapmacaa-1,acinar epithelial
aapmnhip-1,acinar epithelial
aapndgfb-1,acinar epithelial
aapneegl-1,acinar epithelial
aapnfeci-1,ductal/tumor epithelial
aapnhmbn-1,ductal/tumor epithelial
aapnlfff-1,ductal/tumor epithelial
abaabkjf-1,acinar epithelial
ababdikj-1,acinar epithelial
abacaoan-1,acinar epithelial
abacbogl-1,acinar epithelial
abaccilh-1,ductal/tumor epithelial
abaegabf-1,acinar epithelial
abaekgfm-1,proliferative ductal/tumor epithelial
abaeneik-1,endothelial
abafagne-1,ductal/tumor epithelial
abaglghh-1,ductal/tumor epithelial
abagmlhn-1,ductal/tumor epithelial
abagmnad-1,acinar epithelial
abagpolp-1,endothelial
abahdkkk-1,endothelial
abahngbj-1,proliferative ductal/tumor epithelial
abahoolj-1,acinar epithelial
abahopif-1,acinar epithelial
abaifkjg-1,acinar epithelial
abaifpkm-1,ductal/tumor epithelial
abaioeki-1,ductal/tumor epithelial
abajapmp-1,proliferative ductal/tumor epithelial
abakgbkg-1,acinar epithelial
abakglgg-1,activated fibroblast/stellate
abakjcka-1,ductal/tumor epithelial
abakkmln-1,endothelial
abalaihi-1,acinar epithelial
abalcghl-1,proliferative ductal/tumor epithelial
abalnoph-1,acinar epithelial
abamnlgj-1,ductal/tumor epithelial
abaojkng-1,acinar epithelial
abapdmej-1,ductal/tumor epithelial
abaplofb-1,ductal/tumor epithelial
abappnka-1,acinar epithelial
abbachab-1,endothelial
abbadedn-1,ductal/tumor epithelial
abbajkib-1,acinar epithelial
abbbfefm-1,acinar epithelial
abbbipgm-1,acinar epithelial
abbbjjjd-1,acinar epithelial
abbcnock-1,myeloid/macrophage
abbdopkd-1,acinar epithelial
abbeafig-1,acinar epithelial
abbemego-1,acinar epithelial
abbfkdkg-1,acinar epithelial
abbgchcp-1,acinar epithelial
abbgongc-1,acinar epithelial
abbhoojn-1,acinar epithelial
abbiadeb-1,acinar epithelial
abbibbgc-1,acinar epithelial
abbiofbj-1,myeloid/macrophage
abbjnfaj-1,endothelial
abbjnijm-1,ductal/tumor epithelial
abbkckab-1,endothelial
abblaece-1,ductal/tumor epithelial
abbngplk-1,ductal/tumor epithelial
abbnjjdc-1,ductal/tumor epithelial
abboagff-1,acinar epithelial
abbpfgda-1,ductal/tumor epithelial
abcamnoi-1,ductal/tumor epithelial
abcaonfn-1,ductal/tumor epithelial
abcbfkbi-1,proliferative ductal/tumor epithelial
abcbgcdf-1,proliferative ductal/tumor epithelial
abcbibge-1,ductal/tumor epithelial
abcbieml-1,acinar epithelial
abcbioei-1,acinar epithelial
abcblghl-1,ductal/tumor epithelial
abccipcf-1,ductal/tumor epithelial
abccmbam-1,acinar epithelial
abcdcejj-1,ductal/tumor epithelial
abcfelgi-1,acinar epithelial
abchakck-1,acinar epithelial
