fiber_type,n_fibers,n_with_cells,mean_signal,median_signal,imageid,pathology,phenotype
COL6A1,10614,7754,2.5060042230282606,1.6136023080780366,JRP122,RA,Macrophages
FN,10765,8069,2.4714726801790774,1.636455117011835,JRP122,RA,Macrophages
MFAP5,9030,6660,2.4690249733926306,1.626568217826252,JRP122,RA,Macrophages
CHP,6262,461,1.1760713917853176,0.6651843299003573,JRP122,RA,MERTK+ Macrophages
COL1A1bis,2683,101,0.8419979785784187,0.4333121754987184,JRP122,RA,MERTK+ Macrophages
COL4A1,904,22,0.627581636333835,0.45895887123810053,JRP122,RA,MERTK+ Macrophages
COL6A1,10614,966,1.4250518559288097,0.7696784706832037,JRP122,RA,MERTK+ Macrophages
FN,10765,896,1.2824333860295822,0.741868512425027,JRP122,RA,MERTK+ Macrophages
MFAP5,9030,732,1.2604007673398798,0.6938283928095168,JRP122,RA,MERTK+ Macrophages
CHP,6262,5002,5.404259052700889,3.5934039687187918,JRP122,RA,Monocytes
COL1A1bis,2683,2496,6.3835653027944765,4.7182001427619795,JRP122,RA,Monocytes
COL4A1,904,776,5.81736054485812,4.1668275308904175,JRP122,RA,Monocytes
COL6A1,10614,9093,5.636081249812802,3.9785191851242105,JRP122,RA,Monocytes
FN,10765,9094,5.75604858906922,3.9764595519870256,JRP122,RA,Monocytes
MFAP5,9030,7598,5.0164696560251905,3.527628952301315,JRP122,RA,Monocytes
CHP,6262,2059,1.3505601274015597,0.8099677129388093,JRP122,RA,Dendritic cells
COL1A1bis,2683,844,1.1560490794222655,0.7381996394720232,JRP122,RA,Dendritic cells
COL4A1,904,361,1.2970643328725393,0.8655756162736913,JRP122,RA,Dendritic cells
COL6A1,10614,3393,1.179313187307147,0.7717890013376398,JRP122,RA,Dendritic cells
FN,10765,3296,1.0515071987747069,0.7277114570523091,JRP122,RA,Dendritic cells
MFAP5,9030,2684,1.1041025469390457,0.7191864266403944,JRP122,RA,Dendritic cells
CHP,6262,1087,0.9136436029764814,0.6394619729042808,JRP122,RA,Neutrophils
COL1A1bis,2683,535,0.9626384052511014,0.6691515256409024,JRP122,RA,Neutrophils
COL4A1,904,187,1.0830402350993464,0.7786878167413046,JRP122,RA,Neutrophils
COL6A1,10614,1896,0.904188012409322,0.6261062564101478,JRP122,RA,Neutrophils
FN,10765,1949,0.8565159943968108,0.6177641866793274,JRP122,RA,Neutrophils
MFAP5,9030,1527,0.8695055631254583,0.6341603380761912,JRP122,RA,Neutrophils
CHP,6262,3728,3.5334885816488053,2.2935263287731953,JRP122,RA,Vascular cells
COL1A1bis,2683,2250,5.15166983434907,3.860345719048383,JRP122,RA,Vascular cells
COL4A1,904,899,7.9883600329719044,6.9691864694157575,JRP122,RA,Vascular cells
COL6A1,10614,6480,3.4987232324091857,2.286238881143834,JRP122,RA,Vascular cells
FN,10765,6322,3.5648014513247674,2.2444301393735078,JRP122,RA,Vascular cells
MFAP5,9030,5430,3.4287741655722757,2.1813938876103296,JRP122,RA,Vascular cells
CHP,22967,14218,5.1825804799544954,2.402316314769341,JRP141,RA,CD4 T cells
COL1A1bis,24898,14850,5.133267451426837,2.3856157116764765,JRP141,RA,CD4 T cells
COL4A1,2177,1774,6.940699976236461,4.402675750759487,JRP141,RA,CD4 T cells
COL6A1,36712,22015,4.592076758264838,2.072431351311539,JRP141,RA,CD4 T cells
FN,32332,19639,3.7327373383587736,1.8451874590262043,JRP141,RA,CD4 T cells
MFAP5,20800,12039,3.2653814166980712,1.6662505239822987,JRP141,RA,CD4 T cells
CHP,22967,13212,2.880955728009127,1.7531511331890033,JRP141,RA,CD8 T cells
COL1A1bis,24898,13372,2.702555400959944,1.6088134462188481,JRP141,RA,CD8 T cells
COL4A1,2177,1659,3.8210865240507603,2.6805537983421486,JRP141,RA,CD8 T cells
COL6A1,36712,20196,2.6048841660539033,1.549227782968868,JRP141,RA,CD8 T cells
FN,32332,17655,2.31344669034189,1.4047063890561735,JRP141,RA,CD8 T cells
MFAP5,20800,10795,2.145412819059149,1.2898802812672647,JRP141,RA,CD8 T cells
CHP,22967,6001,1.6566929595411966,0.9051439887495278,JRP141,RA,T cells
COL1A1bis,24898,5965,1.5627234579084575,0.8703647770025031,JRP141,RA,T cells
COL4A1,2177,735,2.425213704872734,0.9632196928757553,JRP141,RA,T cells
COL6A1,36712,8661,1.6009872828303457,0.8613045306109195,JRP141,RA,T cells
FN,32332,7908,1.6509200026116169,0.8923835516579541,JRP141,RA,T cells
MFAP5,20800,5160,1.5983923738553394,0.9054962361702521,JRP141,RA,T cells
CHP,22967,4626,8.073085130193432,0.960107782060936,JRP141,RA,B cells
COL1A1bis,24898,4474,4.080735742230788,0.8856233108164987,JRP141,RA,B cells
COL4A1,2177,657,4.025429461840895,0.8933182138536021,JRP141,RA,B cells
COL6A1,36712,6358,4.85160983489691,0.8837241726839205,JRP141,RA,B cells
FN,32332,5253,4.123349244978411,0.8290107149838059,JRP141,RA,B cells
MFAP5,20800,3027,3.212761358437895,0.7817734359768296,JRP141,RA,B cells
CHP,22967,7198,4.068153394962171,1.3712084334094885,JRP141,RA,Plasma cells
COL1A1bis,24898,8221,2.643287653575639,1.2186934790218378,JRP141,RA,Plasma cells
COL4A1,2177,938,3.252672715149864,1.4923832062857507,JRP141,RA,Plasma cells
COL6A1,36712,11408,3.272142547045373,1.371374284054061,JRP141,RA,Plasma cells
FN,32332,9934,3.1467811964709087,1.2887402757673525,JRP141,RA,Plasma cells
MFAP5,20800,7088,3.510910429181751,1.4020013104661289,JRP141,RA,Plasma cells
CHP,22967,17456,3.2208534246730895,2.278186480908327,JRP141,RA,Macrophages
COL1A1bis,24898,17764,2.6448372243337,1.8682293146140436,JRP141,RA,Macrophages
COL4A1,2177,1497,2.445124469892177,1.6505980512264347,JRP141,RA,Macrophages
COL6A1,36712,27423,3.056430727809056,2.1077249251285233,JRP141,RA,Macrophages
FN,32332,24732,3.1828187715633343,2.2179371153805665,JRP141,RA,Macrophages
MFAP5,20800,16044,3.19925178051157,2.260359484942141,JRP141,RA,Macrophages
CHP,22967,5527,1.8847463144254237,0.9554367170857738,JRP141,RA,MERTK+ Macrophages
COL1A1bis,24898,5502,1.7176453942106225,0.9514694935187173,JRP141,RA,MERTK+ Macrophages
COL4A1,2177,339,1.2930452890222384,0.7106103006868338,JRP141,RA,MERTK+ Macrophages
COL6A1,36712,8160,1.858818849942766,0.9513541683977857,JRP141,RA,MERTK+ Macrophages
FN,32332,7269,1.752596083802553,0.9454242227594092,JRP141,RA,MERTK+ Macrophages
MFAP5,20800,4931,1.767799337325955,0.9508357043211267,JRP141,RA,MERTK+ Macrophages
CHP,22967,17944,7.66083321270182,5.009554942353845,JRP141,RA,Monocytes
COL1A1bis,24898,19746,6.536606815265753,4.225857132888999,JRP141,RA,Monocytes
COL4A1,2177,1881,7.808071236815264,5.762862037834843,JRP141,RA,Monocytes
COL6A1,36712,30520,7.059545432850814,4.810518544844595,JRP141,RA,Monocytes
FN,32332,25443,7.171090865247054,4.733349157611008,JRP141,RA,Monocytes
MFAP5,20800,17628,7.214367164155947,4.982989675513328,JRP141,RA,Monocytes
CHP,22967,17817,5.741342483134804,3.0009770899541244,JRP141,RA,Dendritic cells
COL1A1bis,24898,18777,5.136667836221177,2.8283684360767323,JRP141,RA,Dendritic cells
COL4A1,2177,1836,6.2995633129679325,3.8235603392162725,JRP141,RA,Dendritic cells
COL6A1,36712,28512,4.772176367737142,2.6094864599088456,JRP141,RA,Dendritic cells
FN,32332,25381,4.730662680103172,2.65621918821007,JRP141,RA,Dendritic cells
MFAP5,20800,15504,4.034383648026798,2.284208510500598,JRP141,RA,Dendritic cells
CHP,22967,11426,1.7414339440033175,0.9678346853333948,JRP141,RA,Neutrophils
COL1A1bis,24898,11758,1.7118648835712322,0.9610609977575111,JRP141,RA,Neutrophils
COL4A1,2177,1277,2.18819194066268,1.2116139576402871,JRP141,RA,Neutrophils
COL6A1,36712,17193,1.6922583878443271,0.9550841807961947,JRP141,RA,Neutrophils
FN,32332,15268,1.6421531765828516,0.9388482614655371,JRP141,RA,Neutrophils
MFAP5,20800,9485,1.45910709160959,0.8731127857111504,JRP141,RA,Neutrophils
CHP,22967,6164,2.3827805264184567,1.3482719124577334,JRP141,RA,Vascular cells
COL1A1bis,24898,7880,2.39653050960339,1.3445189771217694,JRP141,RA,Vascular cells
COL4A1,2177,1560,4.448121200395688,2.94258676278871,JRP141,RA,Vascular cells
COL6A1,36712,10847,2.3377395327996444,1.3284556585889633,JRP141,RA,Vascular cells
FN,32332,8263,2.1101591754762135,1.195558657762408,JRP141,RA,Vascular cells
MFAP5,20800,5445,1.8254533944461746,1.0602123436926099,JRP141,RA,Vascular cells
CHP,10212,3389,1.703802802205256,0.8119760536832701,JRP144,OA,CD4 T cells
COL1A1bis,5522,2572,1.7474480683141587,0.9137168863374827,JRP144,OA,CD4 T cells
COL4A1,1407,877,2.0687325674923662,1.3310878403183701,JRP144,OA,CD4 T cells
COL6A1,17798,5868,1.4353150227034546,0.7815672917018677,JRP144,OA,CD4 T cells
FN,15956,4886,1.315044766964951,0.7638992696899201,JRP144,OA,CD4 T cells
MFAP5,12045,4233,1.5661725338539525,0.8145046434416562,JRP144,OA,CD4 T cells
CHP,10212,1985,1.2826228873589496,0.7258165892253324,JRP144,OA,CD8 T cells
COL1A1bis,5522,1572,1.2074560235103369,0.7592848731544697,JRP144,OA,CD8 T cells
COL4A1,1407,415,1.2136070504959091,0.7608822000160156,JRP144,OA,CD8 T cells
COL6A1,17798,3203,1.0887646570894631,0.6851356799671094,JRP144,OA,CD8 T cells
FN,15956,2526,1.0230962231309826,0.6857226326360235,JRP144,OA,CD8 T cells
MFAP5,12045,2233,1.1129147552263408,0.6683284364766916,JRP144,OA,CD8 T cells
CHP,10212,502,2.3196042785003446,0.7756678596157129,JRP144,OA,T cells
COL1A1bis,5522,478,3.057901147885562,0.9296384431618407,JRP144,OA,T cells
COL4A1,1407,124,5.113605209238652,1.4263586744026675,JRP144,OA,T cells
COL6A1,17798,868,2.512766059962684,0.8107417129366599,JRP144,OA,T cells
FN,15956,793,2.500533608690488,0.8582538735663169,JRP144,OA,T cells
MFAP5,12045,662,3.219079226461592,0.9919566173329543,JRP144,OA,T cells
CHP,10212,352,11.322738232030186,0.8977338401203103,JRP144,OA,B cells
COL1A1bis,5522,215,2.261103638424409,0.707018186134641,JRP144,OA,B cells
COL4A1,1407,57,1.8571397538991001,0.6946572806907253,JRP144,OA,B cells
COL6A1,17798,495,4.058731820391954,0.7854039392049857,JRP144,OA,B cells
