imageid,phenotype,fiber_type,error
JRP141,T cells,MFAP5,Increase link radius to cover all radii
JRP141,B cells,CHP,Increase link radius to cover all radii
JRP141,B cells,COL1A1bis,Increase link radius to cover all radii
JRP141,B cells,COL4A1,Increase link radius to cover all radii
JRP141,B cells,COL6A1,Increase link radius to cover all radii
JRP141,B cells,FN,Increase link radius to cover all radii
JRP141,B cells,MFAP5,Increase link radius to cover all radii
JRP141,Plasma cells,CHP,Increase link radius to cover all radii
JRP141,Plasma cells,COL1A1bis,Increase link radius to cover all radii
JRP141,Plasma cells,COL4A1,Increase link radius to cover all radii
JRP141,Plasma cells,COL6A1,Increase link radius to cover all radii
JRP141,Plasma cells,FN,Increase link radius to cover all radii
JRP141,Plasma cells,MFAP5,Increase link radius to cover all radii
JRP141,Macrophages,CHP,Increase link radius to cover all radii
JRP141,Macrophages,COL1A1bis,Increase link radius to cover all radii
JRP141,Macrophages,COL4A1,Increase link radius to cover all radii
JRP141,Macrophages,COL6A1,Increase link radius to cover all radii
JRP141,Macrophages,FN,Increase link radius to cover all radii
JRP141,Macrophages,MFAP5,Increase link radius to cover all radii
JRP141,MERTK+ Macrophages,CHP,Increase link radius to cover all radii
JRP141,MERTK+ Macrophages,COL1A1bis,Increase link radius to cover all radii
JRP141,MERTK+ Macrophages,COL4A1,Increase link radius to cover all radii
JRP141,MERTK+ Macrophages,COL6A1,Increase link radius to cover all radii
JRP141,MERTK+ Macrophages,FN,Increase link radius to cover all radii
JRP141,MERTK+ Macrophages,MFAP5,Increase link radius to cover all radii
JRP141,Monocytes,CHP,Increase link radius to cover all radii
JRP141,Monocytes,COL1A1bis,Increase link radius to cover all radii
JRP141,Monocytes,COL4A1,Increase link radius to cover all radii
JRP141,Monocytes,COL6A1,Increase link radius to cover all radii
JRP141,Monocytes,FN,Increase link radius to cover all radii
JRP141,Monocytes,MFAP5,Increase link radius to cover all radii
JRP141,Dendritic cells,CHP,Increase link radius to cover all radii
JRP141,Dendritic cells,COL1A1bis,Increase link radius to cover all radii
JRP141,Dendritic cells,COL4A1,Increase link radius to cover all radii
JRP141,Dendritic cells,COL6A1,Increase link radius to cover all radii
JRP141,Dendritic cells,FN,Increase link radius to cover all radii
JRP141,Dendritic cells,MFAP5,Increase link radius to cover all radii
JRP141,Neutrophils,CHP,Increase link radius to cover all radii
JRP141,Neutrophils,COL1A1bis,Increase link radius to cover all radii
JRP141,Neutrophils,COL4A1,Increase link radius to cover all radii
JRP141,Neutrophils,COL6A1,Increase link radius to cover all radii
JRP141,Neutrophils,FN,Increase link radius to cover all radii
JRP141,Neutrophils,MFAP5,Increase link radius to cover all radii
JRP141,Vascular cells,CHP,Increase link radius to cover all radii
JRP141,Vascular cells,COL1A1bis,Increase link radius to cover all radii
JRP141,Vascular cells,COL4A1,Increase link radius to cover all radii
JRP141,Vascular cells,COL6A1,Increase link radius to cover all radii
JRP141,Vascular cells,FN,Increase link radius to cover all radii
JRP141,Vascular cells,MFAP5,Increase link radius to cover all radii
JRP144,CD4 T cells,CHP,Increase link radius to cover all radii
JRP144,CD4 T cells,COL1A1bis,Increase link radius to cover all radii
JRP144,CD4 T cells,COL4A1,Increase link radius to cover all radii
JRP144,CD4 T cells,COL6A1,Increase link radius to cover all radii
JRP144,CD4 T cells,FN,Increase link radius to cover all radii
JRP144,CD4 T cells,MFAP5,Increase link radius to cover all radii
JRP144,CD8 T cells,CHP,Increase link radius to cover all radii
JRP144,CD8 T cells,COL1A1bis,Increase link radius to cover all radii
JRP144,CD8 T cells,COL4A1,Increase link radius to cover all radii
JRP144,CD8 T cells,COL6A1,Increase link radius to cover all radii
JRP144,CD8 T cells,FN,Increase link radius to cover all radii
JRP144,CD8 T cells,MFAP5,Increase link radius to cover all radii
JRP144,T cells,CHP,Increase link radius to cover all radii
JRP144,T cells,COL1A1bis,Increase link radius to cover all radii
JRP144,T cells,COL4A1,Increase link radius to cover all radii
JRP144,T cells,COL6A1,Increase link radius to cover all radii
JRP144,T cells,FN,Increase link radius to cover all radii
JRP144,T cells,MFAP5,Increase link radius to cover all radii
JRP144,B cells,CHP,Increase link radius to cover all radii
JRP144,B cells,COL1A1bis,Increase link radius to cover all radii
JRP144,B cells,COL4A1,Increase link radius to cover all radii
JRP144,B cells,COL6A1,Increase link radius to cover all radii
JRP144,B cells,FN,Increase link radius to cover all radii
JRP144,B cells,MFAP5,Increase link radius to cover all radii
JRP144,Plasma cells,CHP,Increase link radius to cover all radii
JRP144,Plasma cells,COL1A1bis,Increase link radius to cover all radii
JRP144,Plasma cells,COL4A1,Increase link radius to cover all radii
JRP144,Plasma cells,COL6A1,Increase link radius to cover all radii
JRP144,Plasma cells,FN,Increase link radius to cover all radii
JRP144,Plasma cells,MFAP5,Increase link radius to cover all radii
JRP144,Macrophages,CHP,Increase link radius to cover all radii
JRP144,Macrophages,COL1A1bis,Increase link radius to cover all radii
JRP144,Macrophages,COL4A1,Increase link radius to cover all radii
JRP144,Macrophages,COL6A1,Increase link radius to cover all radii
JRP144,Macrophages,FN,Increase link radius to cover all radii
JRP144,Macrophages,MFAP5,Increase link radius to cover all radii
JRP144,MERTK+ Macrophages,CHP,Increase link radius to cover all radii
JRP144,MERTK+ Macrophages,COL1A1bis,Increase link radius to cover all radii
JRP144,MERTK+ Macrophages,COL4A1,Increase link radius to cover all radii
JRP144,MERTK+ Macrophages,COL6A1,Increase link radius to cover all radii
JRP144,MERTK+ Macrophages,FN,Increase link radius to cover all radii
JRP144,MERTK+ Macrophages,MFAP5,Increase link radius to cover all radii
JRP144,Monocytes,CHP,Increase link radius to cover all radii
JRP144,Monocytes,COL1A1bis,Increase link radius to cover all radii
JRP144,Monocytes,COL4A1,Increase link radius to cover all radii
JRP144,Monocytes,COL6A1,Increase link radius to cover all radii
JRP144,Monocytes,FN,Increase link radius to cover all radii
JRP144,Monocytes,MFAP5,Increase link radius to cover all radii
JRP144,Dendritic cells,CHP,Increase link radius to cover all radii
JRP144,Dendritic cells,COL1A1bis,Increase link radius to cover all radii
JRP144,Dendritic cells,COL4A1,Increase link radius to cover all radii
JRP144,Dendritic cells,COL6A1,Increase link radius to cover all radii
