phenotype,n_cells,n_with_fiber,median_density,mean_density,imageid,pathology,fiber_type
CD4 T cells,19229,14193,0.0005092958178940651,0.0006772489691413822,JRP141,RA,MFAP5
CD8 T cells,9574,7569,0.0006366197723675814,0.0007419576773633745,JRP141,RA,MFAP5
Dendritic cells,29013,21608,0.0005092958178940651,0.0006912486312126374,JRP141,RA,MFAP5
MERTK+ Macrophages,3249,2886,0.0006366197723675814,0.0007020905791723972,JRP141,RA,MFAP5
Macrophages,17433,15320,0.0006366197723675814,0.0007739418154332413,JRP141,RA,MFAP5
Monocytes,33258,29639,0.0008912676813146139,0.0010028989873960875,JRP141,RA,MFAP5
Myeloid cells,6247,5699,0.0007639437268410976,0.0008901952914541596,JRP141,RA,MFAP5
Neutrophils,6360,4902,0.0006366197723675814,0.0006833727544264001,JRP141,RA,MFAP5
Non-immune cells,75694,60987,0.0006366197723675814,0.0007826893904615037,JRP141,RA,MFAP5
Other Immune cells,5742,3802,0.0003819718634205488,0.0005383639905618746,JRP141,RA,MFAP5
Plasma cells,6501,5899,0.0008912676813146139,0.0009862372354226784,JRP141,RA,MFAP5
T cells,3482,2935,0.0005092958178940651,0.0006669432627174921,JRP141,RA,MFAP5
Vascular cells,4539,3830,0.0006366197723675814,0.0006771772722259861,JRP141,RA,MFAP5
B cells,1651,1646,0.0005092958178940651,0.0005737313306987061,JRP144,OA,CHP
CD4 T cells,1760,1690,0.0007639437268410976,0.0007955863664143976,JRP144,OA,CHP
CD8 T cells,662,653,0.0008912676813146139,0.0009014068017321067,JRP144,OA,CHP
Dendritic cells,710,676,0.0007639437268410976,0.0008592483436511557,JRP144,OA,CHP
MERTK+ Macrophages,1389,1184,0.00025464790894703254,0.00033669873433832726,JRP144,OA,CHP
Macrophages,6912,6225,0.0003819718634205488,0.00042386093310115306,JRP144,OA,CHP
Monocytes,13090,12658,0.0006366197723675814,0.000671745009294546,JRP144,OA,CHP
Myeloid cells,133,112,0.0005092958178940651,0.000616156993970052,JRP144,OA,CHP
Neutrophils,1037,964,0.0005092958178940651,0.0005194658847970326,JRP144,OA,CHP
Non-immune cells,26470,25755,0.0006366197723675814,0.0007052970923266607,JRP144,OA,CHP
Other Immune cells,158,148,0.0007639437268410976,0.000824164516119112,JRP144,OA,CHP
Plasma cells,193,192,0.0007639437268410976,0.0008136796465573149,JRP144,OA,CHP
T cells,641,606,0.0003819718634205488,0.0004452136295864373,JRP144,OA,CHP
Vascular cells,6556,6519,0.0006366197723675814,0.0007302523905215984,JRP144,OA,CHP
B cells,1651,348,0.00012732395447351627,0.00034721388734300845,JRP144,OA,COL1A1bis
CD4 T cells,1760,1548,0.0006366197723675814,0.0006641737289235426,JRP144,OA,COL1A1bis
CD8 T cells,662,589,0.0006366197723675814,0.0007449207930657675,JRP144,OA,COL1A1bis
Dendritic cells,710,577,0.0005092958178940651,0.0006010926377571201,JRP144,OA,COL1A1bis
MERTK+ Macrophages,1389,195,0.00012732395447351627,0.000215471307570566,JRP144,OA,COL1A1bis
Macrophages,6912,2057,0.00012732395447351627,0.00023292175045398238,JRP144,OA,COL1A1bis
Monocytes,13090,8044,0.0003819718634205488,0.0004943537725157708,JRP144,OA,COL1A1bis
Myeloid cells,133,74,0.00025464790894703254,0.00044563384065730697,JRP144,OA,COL1A1bis
Neutrophils,1037,729,0.0005092958178940651,0.000520473778231932,JRP144,OA,COL1A1bis
Non-immune cells,26470,16581,0.0003819718634205488,0.00047309745100496576,JRP144,OA,COL1A1bis
Other Immune cells,158,120,0.0005092958178940651,0.000616460146242608,JRP144,OA,COL1A1bis
Plasma cells,193,158,0.0007639437268410976,0.000701087597417463,JRP144,OA,COL1A1bis
T cells,641,493,0.0006366197723675814,0.0006843985382450671,JRP144,OA,COL1A1bis
Vascular cells,6556,6476,0.0006366197723675814,0.0006527417060717635,JRP144,OA,COL1A1bis
B cells,1651,115,0.00025464790894703254,0.00023471894215987347,JRP144,OA,COL4A1
CD4 T cells,1760,1248,0.00025464790894703254,0.0003082096686414204,JRP144,OA,COL4A1
CD8 T cells,662,421,0.00025464790894703254,0.00027793518803126237,JRP144,OA,COL4A1
Dendritic cells,710,417,0.00025464790894703254,0.0002522052431537756,JRP144,OA,COL4A1
MERTK+ Macrophages,1389,121,0.00012732395447351627,0.00017362357428206765,JRP144,OA,COL4A1
Macrophages,6912,1264,0.00012732395447351627,0.00018977715999058913,JRP144,OA,COL4A1
Monocytes,13090,5354,0.00025464790894703254,0.00024404154292252968,JRP144,OA,COL4A1
Myeloid cells,133,42,0.0001909859317102744,0.0002213011589658735,JRP144,OA,COL4A1
Neutrophils,1037,398,0.00025464790894703254,0.00023929225614620646,JRP144,OA,COL4A1
Non-immune cells,26470,10303,0.00012732395447351627,0.00022679309060448128,JRP144,OA,COL4A1
Other Immune cells,158,87,0.00025464790894703254,0.00026050188386535515,JRP144,OA,COL4A1
Plasma cells,193,106,0.00025464790894703254,0.0002582514170925094,JRP144,OA,COL4A1
T cells,641,398,0.0003819718634205488,0.0003531800144189999,JRP144,OA,COL4A1
Vascular cells,6556,6113,0.00025464790894703254,0.0002819747580013845,JRP144,OA,COL4A1
B cells,1651,906,0.0005092958178940651,0.0005743631367916787,JRP144,OA,COL6A1
CD4 T cells,1760,1672,0.0012732395447351628,0.0011937382238796897,JRP144,OA,COL6A1
CD8 T cells,662,654,0.0012732395447351628,0.0012631159275598984,JRP144,OA,COL6A1
Dendritic cells,710,671,0.0012732395447351628,0.0012242833893638255,JRP144,OA,COL6A1
MERTK+ Macrophages,1389,1279,0.0008912676813146139,0.0008498550424866368,JRP144,OA,COL6A1
Macrophages,6912,6538,0.0008912676813146139,0.0008867496089013598,JRP144,OA,COL6A1
Monocytes,13090,13019,0.0011459155902616464,0.001168272342694741,JRP144,OA,COL6A1
