phenotype,fiber_type,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Plasma cells,COL4A1,3,3,0.00027678024092639815,0.0002233492383839354,5.343100254246274e-05,1.0
Vascular cells,COL4A1,3,3,0.00033942515157692546,0.0002928601653273604,4.656498624956506e-05,0.2
Monocytes,COL4A1,3,3,0.00027268391009529434,0.0002367503955706356,3.593351452465873e-05,1.0
Non-immune cells,COL4A1,3,3,0.000248129500125903,0.00022250799384409474,2.5621506281808283e-05,0.1
Dendritic cells,COL6A1,3,3,0.0012164526642421047,0.0011977631750356998,1.8689489206404888e-05,0.7
CD8 T cells,COL4A1,3,3,0.0002869859679703153,0.00026836671743404004,1.8619250536275258e-05,1.0
Dendritic cells,COL4A1,3,3,0.00026803242844354504,0.0002502145819712732,1.781784647227183e-05,1.0
Myeloid cells,MFAP5,3,3,0.0007565756130003574,0.0007465771866299363,9.99842637042106e-06,0.7
T cells,MFAP5,3,3,0.0007722311145120994,0.0007674400646604888,4.791049851610662e-06,1.0
MERTK+ Macrophages,CHP,3,3,0.0006254488887354547,0.0006270461007006933,-1.5972119652385387e-06,1.0
B cells,COL4A1,3,3,0.00025416964940235155,0.00025653211175954586,-2.362462357194308e-06,0.7
Vascular cells,MFAP5,3,3,0.0008438679290567183,0.0008502581819783641,-6.3902529216458646e-06,0.7
CD4 T cells,COL4A1,3,3,0.0002832959710779102,0.0002905671681448822,-7.271197066971999e-06,0.7
Neutrophils,CHP,3,3,0.0007228115822367922,0.0007310221769333338,-8.210594696541609e-06,1.0
Myeloid cells,COL4A1,3,3,0.00028374880991788694,0.00029327501064111474,-9.526200723227797e-06,1.0
Neutrophils,COL4A1,3,3,0.00026093305094578885,0.0002759403516658591,-1.5007300720070252e-05,0.7
Other Immune cells,COL6A1,3,3,0.0011191908203267303,0.0011348976893335281,-1.5706869006797824e-05,0.7
Macrophages,CHP,3,3,0.0006132315655401013,0.0006320026158702349,-1.8771050330133616e-05,1.0
T cells,COL4A1,3,3,0.00027865465750080503,0.0003017272449357599,-2.307258743495486e-05,0.7
Neutrophils,MFAP5,3,3,0.0006679158650239455,0.0007349002655301145,-6.6984400506169e-05,0.7
MERTK+ Macrophages,COL4A1,3,3,0.0002346658045265014,0.0003125224337077218,-7.785662918122037e-05,0.7
MERTK+ Macrophages,MFAP5,3,3,0.0005560881707272037,0.0006616054237153983,-0.00010551725298819459,1.0
CD4 T cells,CHP,3,3,0.0008052584997588881,0.000933249680925374,-0.00012799118116648583,0.7
Myeloid cells,CHP,3,3,0.0006531966204217157,0.0007897566310721077,-0.000136560010650392,0.7
Monocytes,CHP,3,3,0.0007204390562422595,0.0008603783316057799,-0.00013993927536352045,0.4
Other Immune cells,MFAP5,3,3,0.0006839846407062873,0.0008664949114566396,-0.00018251027075035235,0.1
T cells,CHP,3,3,0.0005243524938754227,0.0007247716007731013,-0.0002004191068976786,0.4
Other Immune cells,CHP,3,3,0.0006764762150349106,0.0008892995202030426,-0.00021282330516813198,0.1
Dendritic cells,CHP,3,3,0.000732761684108841,0.0009496180072708924,-0.00021685632316205134,0.1
CD4 T cells,MFAP5,3,3,0.0006603637916629958,0.0008966872370203272,-0.0002363234453573314,0.1
Dendritic cells,MFAP5,3,3,0.0006522916602515213,0.0008892421075686958,-0.0002369504473171745,0.1
CD8 T cells,MFAP5,3,3,0.0006916925439315018,0.0009295405617827775,-0.00023784801785127572,0.1
Vascular cells,CHP,3,3,0.0006366211268147001,0.0008752006860389249,-0.0002385795592242248,0.2
CD8 T cells,CHP,3,3,0.0007705125078883121,0.0010092061595613157,-0.00023869365167300354,0.2
B cells,MFAP5,3,3,0.0005336505933124766,0.0007923530820221708,-0.0002587024887096942,0.4
Non-immune cells,CHP,3,3,0.0005977058502973281,0.0008780208785211445,-0.00028031502822381635,0.2
Plasma cells,CHP,3,3,0.0008567709402855778,0.0011581980495041888,-0.000301427109218611,0.7
