imageid,pathology,phenotype,fiber_type,feature_fiber,cell_feature,cross_morans_i
JRP112,RA,B cells,FN,minor_axis_length,is_B_cells,-0.000371779987110617
JRP112,RA,B cells,FN,area,is_B_cells,-0.016898171328053806
JRP112,RA,B cells,FN,eccentricity,is_B_cells,-0.02656939664882574
JRP112,RA,B cells,FN,alignment_score,is_B_cells,0.04990263814912196
JRP112,RA,B cells,MFAP5,major_axis_length,is_B_cells,-0.03375963838161967
JRP112,RA,B cells,MFAP5,minor_axis_length,is_B_cells,-0.039660363870009874
JRP112,RA,B cells,MFAP5,area,is_B_cells,-0.022844734251348392
JRP112,RA,B cells,MFAP5,eccentricity,is_B_cells,0.03495940699339137
JRP112,RA,B cells,MFAP5,alignment_score,is_B_cells,0.025606395739054957
JRP112,RA,Plasma cells,CHP,major_axis_length,is_Plasma_cells,0.021861026363993747
JRP112,RA,Plasma cells,CHP,minor_axis_length,is_Plasma_cells,0.010168320177149094
JRP112,RA,Plasma cells,CHP,area,is_Plasma_cells,0.012141532349211216
JRP112,RA,Plasma cells,CHP,eccentricity,is_Plasma_cells,-0.017561885059117842
JRP112,RA,Plasma cells,CHP,alignment_score,is_Plasma_cells,-0.13803000132113377
JRP112,RA,Plasma cells,COL1A1bis,major_axis_length,is_Plasma_cells,0.010789426005073792
JRP112,RA,Plasma cells,COL1A1bis,minor_axis_length,is_Plasma_cells,-0.02735239496051915
JRP112,RA,Plasma cells,COL1A1bis,area,is_Plasma_cells,-0.01607643244694627
JRP112,RA,Plasma cells,COL1A1bis,eccentricity,is_Plasma_cells,0.06119016091776211
JRP112,RA,Plasma cells,COL1A1bis,alignment_score,is_Plasma_cells,-0.05218376385616166
JRP112,RA,Plasma cells,COL4A1,major_axis_length,is_Plasma_cells,-0.03528956218968635
JRP112,RA,Plasma cells,COL4A1,minor_axis_length,is_Plasma_cells,-0.09056566207834711
JRP112,RA,Plasma cells,COL4A1,area,is_Plasma_cells,-0.0548796007367354
JRP112,RA,Plasma cells,COL4A1,eccentricity,is_Plasma_cells,0.05609274622893618
JRP112,RA,Plasma cells,COL4A1,alignment_score,is_Plasma_cells,-0.05769523306030614
JRP112,RA,Plasma cells,COL6A1,major_axis_length,is_Plasma_cells,0.03591372650108285
JRP112,RA,Plasma cells,COL6A1,minor_axis_length,is_Plasma_cells,-0.008259647765741758
JRP112,RA,Plasma cells,COL6A1,area,is_Plasma_cells,0.0037882054262625285
JRP112,RA,Plasma cells,COL6A1,eccentricity,is_Plasma_cells,0.03629659490197223
JRP112,RA,Plasma cells,COL6A1,alignment_score,is_Plasma_cells,-0.1197332690943151
JRP112,RA,Plasma cells,FN,major_axis_length,is_Plasma_cells,0.007872484779501485
JRP112,RA,Plasma cells,FN,minor_axis_length,is_Plasma_cells,-0.016306916591159227
JRP112,RA,Plasma cells,FN,area,is_Plasma_cells,-0.007482916153237725
JRP112,RA,Plasma cells,FN,eccentricity,is_Plasma_cells,0.04008147427013171
