phenotype,fiber_type,feature_fiber,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
Plasma cells,MFAP5,major_axis_length,3,3,0.015138686401758644,0.004843148401690232,0.010295538000068412,0.4
CD8 T cells,CHP,alignment_score,3,3,-0.0026120530944187975,-0.012895563928028889,0.010283510833610092,1.0
MERTK+ Macrophages,COL6A1,area,3,3,0.0009580449231920163,-0.009189889261565373,0.010147934184757389,0.4
CD8 T cells,COL6A1,area,3,3,0.006961386409628672,-0.003086409055323437,0.01004779546495211,0.7
CD4 T cells,MFAP5,major_axis_length,3,3,0.006778874790464247,-0.002999672166873475,0.009778546957337722,0.1
Vascular cells,MFAP5,minor_axis_length,3,3,0.010884000692029805,0.0011611032554628223,0.009722897436566982,0.7
Dendritic cells,CHP,eccentricity,3,3,0.01087744314345511,0.001162471642037555,0.009714971501417554,0.7
Plasma cells,MFAP5,minor_axis_length,3,3,0.018953549541635823,0.009280375790146473,0.00967317375148935,0.7
T cells,MFAP5,eccentricity,3,3,-0.004899654901867518,-0.014409599858047198,0.00950994495617968,0.7
MERTK+ Macrophages,COL4A1,eccentricity,3,3,0.01990923425461543,0.010415114140819505,0.009494120113795926,1.0
Macrophages,COL1A1bis,eccentricity,3,3,0.003359803003317515,-0.0060114555138586516,0.009371258517176167,0.4
B cells,COL4A1,alignment_score,3,3,0.017475232596286215,0.008352491523227024,0.00912274107305919,0.7
Dendritic cells,FN,eccentricity,3,3,0.004472777130015314,-0.004493136372158895,0.00896591350217421,0.7
MERTK+ Macrophages,COL1A1bis,major_axis_length,3,3,0.010852213278778547,0.0019414822406704812,0.008910731038108065,0.4
Vascular cells,COL6A1,major_axis_length,3,3,0.03778065527714655,0.02894090670821593,0.008839748568930623,0.4
T cells,FN,eccentricity,3,3,-0.002321353433020351,-0.011151741765092602,0.008830388332072251,0.4
Plasma cells,COL1A1bis,area,3,3,0.003740788549307173,-0.005072876842620064,0.008813665391927237,0.7
Plasma cells,COL1A1bis,minor_axis_length,3,3,0.004755759598781517,-0.003956311615806308,0.008712071214587825,0.7
T cells,COL6A1,major_axis_length,3,3,0.007175034492246278,-0.001480222156274565,0.008655256648520843,0.4
T cells,CHP,major_axis_length,3,3,0.009618571515120949,0.0011851182930006565,0.008433453222120291,0.7
Monocytes,COL4A1,major_axis_length,3,3,0.008867704831457894,0.0005535088174914044,0.00831419601396649,0.7
CD4 T cells,COL1A1bis,minor_axis_length,3,3,0.030200363298133737,0.021971802597820052,0.008228560700313685,1.0
CD8 T cells,COL6A1,major_axis_length,3,3,0.0031016560661922686,-0.0047162469149398725,0.00781790298113214,1.0
Macrophages,FN,eccentricity,3,3,-0.0010600086191328965,-0.008766443915020234,0.007706435295887337,1.0
CD8 T cells,COL4A1,eccentricity,3,3,-0.009021448160367708,-0.016727322417325465,0.007705874256957757,0.7
Plasma cells,COL1A1bis,eccentricity,3,3,0.007560441434902576,-0.0001402821353239419,0.0077007235702265175,1.0
CD8 T cells,COL6A1,alignment_score,3,3,0.0031419749181051094,-0.00430403681077608,0.007446011728881189,1.0
Monocytes,MFAP5,minor_axis_length,3,3,0.011424815475253834,0.004454936928582461,0.006969878546671373,0.7
Neutrophils,COL1A1bis,minor_axis_length,3,3,0.015605127537343784,0.008654449227711657,0.006950678309632127,0.7
Macrophages,CHP,major_axis_length,3,3,-0.016828583804051857,-0.023760711595375957,0.0069321277913241,0.7
Dendritic cells,MFAP5,major_axis_length,3,3,0.0035474447430153713,-0.003284703815165501,0.006832148558180873,0.1
Plasma cells,COL4A1,eccentricity,3,3,-0.00359634650162631,-0.010367701374331946,0.0067713548727056354,1.0
CD4 T cells,CHP,alignment_score,3,3,0.0011717050089506177,-0.005562912059276538,0.006734617068227156,0.7
Plasma cells,MFAP5,alignment_score,3,3,-0.005328370373126959,-0.012018717672973847,0.006690347299846888,1.0
CD4 T cells,MFAP5,area,3,3,-0.0011285244698081014,-0.00780638310721419,0.006677858637406088,0.1
Dendritic cells,COL4A1,eccentricity,3,3,0.010134594424756595,0.003859643489893507,0.006274950934863088,1.0
Dendritic cells,COL1A1bis,eccentricity,3,3,0.007245350175963952,0.0009863661293709229,0.006258984046593029,1.0
Dendritic cells,MFAP5,eccentricity,3,3,0.012075720150548521,0.005956980689441244,0.006118739461107277,0.4
Neutrophils,MFAP5,alignment_score,3,3,0.006470079310039636,0.00043485943162862445,0.006035219878411012,1.0
MERTK+ Macrophages,COL6A1,major_axis_length,3,3,-0.0020341645551356043,-0.007864418883821592,0.005830254328685988,1.0
Monocytes,CHP,alignment_score,3,3,0.03130023339975255,0.02559527666970393,0.005704956730048616,1.0
Vascular cells,COL1A1bis,eccentricity,3,3,0.035733061865969085,0.030094573064850177,0.005638488801118908,0.7
T cells,COL4A1,alignment_score,3,3,0.01461612483717574,0.009365948340432523,0.0052501764967432165,0.7
Macrophages,COL6A1,area,3,3,-0.0024507713353708505,-0.007491660833638103,0.005040889498267252,1.0
T cells,CHP,eccentricity,3,3,-0.0068729504777828585,-0.01160377654251537,0.004730826064732512,0.7
Monocytes,COL6A1,area,3,3,0.028452869949859988,0.024250283945285916,0.0042025860045740715,1.0
Plasma cells,FN,eccentricity,3,3,0.013977854239571944,0.010429643914596047,0.0035482103249758964,1.0
CD4 T cells,MFAP5,minor_axis_length,3,3,-0.0022664523833093534,-0.005656541627849299,0.0033900892445399454,0.7
Plasma cells,CHP,area,3,3,-0.003685913186154587,-0.007064265934290801,0.0033783527481362143,1.0
Plasma cells,COL6A1,major_axis_length,3,3,0.003204362277243205,0.0004563199054002578,0.002748042371842947,1.0
CD8 T cells,CHP,eccentricity,3,3,0.018456501688801783,0.015844824290719376,0.002611677398082407,0.7
Vascular cells,COL6A1,area,3,3,0.02325838212564234,0.021208211338427558,0.0020501707872147834,1.0
CD8 T cells,COL1A1bis,eccentricity,3,3,-0.002596588808174006,-0.00449417018552887,0.0018975813773548637,1.0
MERTK+ Macrophages,COL4A1,minor_axis_length,3,3,-0.010000798011354988,-0.011662425087721119,0.001661627076366131,1.0
Monocytes,MFAP5,major_axis_length,3,3,0.005571253932732304,0.0039734233388056045,0.0015978305939266992,0.7
Dendritic cells,COL6A1,minor_axis_length,3,3,-0.008292877660707562,-0.00956443127565082,0.0012715536149432577,1.0
B cells,MFAP5,area,3,3,-0.0048788087182716966,-0.006132560331283984,0.0012537516130122876,1.0
MERTK+ Macrophages,COL4A1,major_axis_length,3,3,-0.004059986107280832,-0.005185366119801284,0.0011253800125204522,1.0
Macrophages,MFAP5,alignment_score,3,3,-0.006779304323986647,-0.007842057506602178,0.0010627531826155308,0.4
B cells,MFAP5,major_axis_length,3,3,-0.004114572831713229,-0.0046946719423740365,0.0005800991106608075,0.7
Dendritic cells,COL6A1,eccentricity,3,3,0.00466252018032821,0.0048036978361613554,-0.00014117765583314575,0.7
Neutrophils,COL1A1bis,eccentricity,3,3,0.004968280000681336,0.005284705955061562,-0.0003164259543802254,0.7
