phenotype,fiber_type,n_RA,n_OA,mean_RA,mean_OA,RA_minus_OA,p_value_mannwhitney
MERTK+ Macrophages,CHP,3,3,20.693759425999,19.829673807247143,0.864085618751858,1.0
Plasma cells,MFAP5,3,3,15.293481121238898,14.672407177792806,0.6210739434460919,0.7
MERTK+ Macrophages,FN,3,3,13.283413734096632,12.919233274599739,0.36418045949689315,0.7
T cells,COL4A1,3,3,23.736812620974863,23.444622101789985,0.29219051918487793,1.0
MERTK+ Macrophages,MFAP5,3,3,20.352402000727963,20.09212575610059,0.26027624462737364,1.0
Myeloid cells,MFAP5,3,3,16.602815766175237,16.53300747728341,0.06980828889182789,1.0
B cells,COL4A1,3,3,29.879919865549173,29.83325598173786,0.0466638838113127,0.7
Monocytes,COL4A1,3,3,28.64103407731181,28.598564154491598,0.04246992282021367,0.7
Other Immune cells,FN,3,3,14.435566229777393,14.43125883124469,0.004307398532702678,1.0
Dendritic cells,COL6A1,3,3,12.531865705230937,12.692997637899706,-0.1611319326687699,1.0
Non-immune cells,MFAP5,3,3,14.781093607388508,15.052108474751876,-0.2710148673633679,0.7
CD4 T cells,COL6A1,3,3,12.45551392970686,12.816441854393943,-0.3609279246870827,1.0
Monocytes,MFAP5,3,3,15.023455758421884,15.401848865928509,-0.3783931075066249,0.7
Neutrophils,CHP,3,3,17.227128747006926,17.631467312324485,-0.4043385653175591,1.0
Other Immune cells,COL4A1,3,3,24.908096658740934,25.442253250841954,-0.5341565921010201,1.0
Vascular cells,COL4A1,3,3,13.202140573888926,13.741062715650052,-0.5389221417611267,1.0
CD8 T cells,COL4A1,3,3,25.98062877065216,26.60801127819958,-0.62738250754742,1.0
Non-immune cells,COL6A1,3,3,12.241085440518171,12.995392460019039,-0.7543070195008674,0.4
CD8 T cells,COL6A1,3,3,11.987102021708191,12.79591190873272,-0.8088098870245286,0.1
Myeloid cells,FN,3,3,13.934445268844252,14.744660382041593,-0.8102151131973407,1.0
Vascular cells,FN,3,3,14.479685406458833,15.336910541163519,-0.8572251347046862,1.0
MERTK+ Macrophages,COL6A1,3,3,12.605331574637296,13.50631647071918,-0.9009848960818836,1.0
Macrophages,CHP,3,3,18.985964951334434,19.96359694726219,-0.9776319959277551,1.0
Plasma cells,FN,3,3,12.837312185455879,13.907184791875217,-1.069872606419338,1.0
Non-immune cells,FN,3,3,13.311448538066083,14.400197630256073,-1.0887490921899907,1.0
Vascular cells,COL1A1bis,3,3,12.586053959934262,13.747087132991405,-1.1610331730571435,0.7
CD4 T cells,COL1A1bis,3,3,15.952718559974121,17.194871325716136,-1.2421527657420146,0.4
Macrophages,COL4A1,3,3,32.07141845700096,33.37642300823444,-1.3050045512334805,1.0
CD8 T cells,COL1A1bis,3,3,15.685212525743715,17.014258422834946,-1.3290458970912304,0.4
Monocytes,FN,3,3,11.678408728895613,13.044362086032635,-1.3659533571370215,1.0
Non-immune cells,COL4A1,3,3,29.69597220968279,31.1576957040042,-1.4617234943214115,0.1
Other Immune cells,COL1A1bis,3,3,16.111937033373152,17.76796453511676,-1.6560275017436084,0.7
B cells,CHP,3,3,13.42423364974239,15.184239493447556,-1.7600058437051658,0.4
Macrophages,COL6A1,3,3,12.604782849774763,14.367834777378043,-1.7630519276032803,0.2
Monocytes,COL6A1,3,3,11.341248312060458,13.127525360517756,-1.7862770484572987,0.4
Plasma cells,COL6A1,3,3,11.382540025814363,13.374812178376294,-1.992272152561931,0.4
T cells,COL1A1bis,3,3,18.220820296400927,20.252077869069524,-2.031257572668597,1.0
T cells,COL6A1,3,3,12.909739134173337,15.087262601169483,-2.1775234669961456,0.2
T cells,FN,3,3,13.582528137273227,15.843872538606512,-2.261344401333284,0.4
Macrophages,FN,3,3,12.771885505074707,15.048864490912356,-2.2769789858376495,0.1
Neutrophils,FN,3,3,12.466947132098332,14.749644778959274,-2.2826976468609423,0.7
Myeloid cells,COL6A1,3,3,12.049343940562416,14.497922909913733,-2.448578969351317,0.2
Dendritic cells,FN,3,3,13.299254768699761,15.763951803412654,-2.464697034712893,1.0
